chair to collider angle,table to collider angle,audience to collider angle,


47.8917,75.59182,47.8917,
47.8917,75.59182,47.8917,
37.25533,95.82552,104.7155,
24.01412,130.0791,78.66527,
28.19243,143.3089,57.33152,
29.61922,144.4278,55.01524,
31.18034,145.4661,52.65416,
32.80716,146.3619,50.32582,
34.48482,147.1143,48.01109,
36.20771,147.7179,45.69821,
37.9584,148.1436,43.40887,
39.71965,148.4041,42.33515,
57.9478,143.2402,19.64754,
57.7596,143.2223,19.86545,
57.58221,143.2258,20.11001,
57.33937,143.2924,20.45028,
57.02022,143.4091,20.87977,
56.61045,143.5886,21.4437,
56.2505,143.7887,21.98173,
55.86322,143.9995,22.54911,
55.46338,144.1963,23.12837,
55.0356,144.4124,23.75402,
54.64986,144.5813,24.31175,
54.27977,144.7715,24.85311,
53.97095,144.934,25.3381,
53.75361,145.0433,25.70972,
53.67627,145.1356,25.94489,
53.70603,145.181,26.03699,
53.76977,145.13,26.04587,
53.96555,145.0054,25.86542,
54.23538,144.7859,25.57262,
54.66912,144.474,25.0763,
55.17979,144.0964,24.43727,
55.7976,143.5978,23.66349,
56.45951,143.0437,22.81928,
57.18104,142.4401,21.90317,
57.92246,141.8534,20.9857,
58.72612,141.2192,20.0042,
59.52617,140.5776,19.0189,
60.29953,139.955,18.09585,
61.05777,139.3303,17.20061,
61.71247,138.7425,16.38875,
62.30201,138.1534,15.66961,
62.84142,137.613,15.0193,
63.31001,137.0901,14.42243,
63.75352,136.6233,13.9106,
64.20829,136.1882,13.3938,
64.63477,135.7753,12.89627,
65.06705,135.4071,12.43663,
65.47762,135.0715,12.01127,
65.85533,134.7962,11.60702,
66.2216,134.6396,11.26853,
66.60991,134.419,10.89544,
66.99773,134.181,10.51069,
67.37161,133.9163,10.14387,
67.72912,133.6287,9.789524,
68.02228,133.3497,9.474216,
68.28813,133.0567,9.209615,
68.56154,132.772,8.993243,
68.78841,132.5447,8.771,
69.02943,132.374,8.555888,
69.20641,132.2623,8.37562,
69.40134,132.1461,8.206597,
69.52533,132.0888,8.119844,
69.58978,132.0423,8.057273,
69.62229,132.0298,8.061389,
69.63645,132.0378,8.080702,
69.61544,132.0862,8.111886,
69.52744,132.1532,8.230034,
69.37731,132.2438,8.420142,
69.16516,132.3715,8.657915,
68.90266,132.5332,8.954557,
68.57961,132.7446,9.331446,
68.21799,132.9524,9.738476,
67.8131,133.1696,10.20259,
67.33662,133.3906,10.73488,
66.78999,133.646,11.34795,
66.20187,133.9216,12.0052,
65.5066,134.1875,12.76217,
64.72662,134.5158,13.62614,
63.81646,134.9173,14.62055,
62.74037,135.3657,15.79613,
61.63839,135.821,17.05881,
60.36413,136.364,18.45892,
59.09088,136.9245,19.8847,
57.8158,137.5227,21.33224,
56.56261,138.1327,22.77687,
55.37971,138.6654,24.14121,
54.21754,139.1664,25.49976,
53.00053,139.6162,26.89142,
51.70322,139.9844,28.34242,
50.28561,140.2786,29.90619,
48.77741,140.4669,31.5352,
47.16062,140.5441,33.25198,
45.36176,140.4905,35.12311,
43.48866,140.3854,37.09477,
41.40732,140.1485,39.25752,
39.22087,139.748,41.60046,
36.89045,139.2652,44.03008,
34.50697,138.5884,46.4502,
