user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2412958,1.52694,-3.876983,2.05678,0,0,0,0,
0.2412958,1.52694,-3.876983,2.05678,0,0,0,0,
0.241688,1.527192,2.038363,0.8330717,-0.8675175,0.5085621,-1.611644,1.090158,
0.09996895,1.561398,2.038324,0.8329499,-0.8675835,0.5086985,-1.636839,1.090104,
0.07507103,1.558647,2.038319,0.8329291,-0.8675637,0.5087008,-1.638521,1.089733,
0.07282376,1.558701,2.038384,0.8330798,-0.867466,0.5087354,-1.639262,1.089765,
0.07071996,1.558486,2.038388,0.83307,-0.8674414,0.5087795,-1.637337,1.090815,
0.06844001,1.558387,2.038453,0.8331461,-0.8674061,0.5087485,-1.638913,1.090404,
0.06642555,1.558332,2.038443,0.8331071,-0.8675201,0.5087674,-1.639573,1.090497,
0.06449157,1.558073,2.038457,0.8330977,-0.8675432,0.5088279,-1.639606,1.09088,
0.06264642,1.557932,2.038469,0.833106,-0.8674228,0.5086906,-1.639996,1.091174,
0.06105528,1.557888,2.038441,0.833299,-0.8676896,0.5088074,-1.64598,1.09217,
0.04894347,1.557317,2.038382,0.8331888,-0.8677347,0.5088003,-1.646713,1.091885,
0.04865513,1.55729,2.038401,0.8331749,-0.8676956,0.5088115,-1.648161,1.091286,
0.048574,1.557318,2.038421,0.8331103,-0.867558,0.5086555,-1.648078,1.091263,
0.04808305,1.557203,2.038438,0.8331425,-0.8675425,0.5086143,-1.648067,1.091132,
0.04764397,1.557248,2.038443,0.8331352,-0.867542,0.5086107,-1.649051,1.090711,
0.04745892,1.557381,2.038439,0.8331035,-0.8675256,0.5085673,-1.649143,1.090598,
0.04691354,1.557373,2.038456,0.8331509,-0.8675601,0.5085254,-1.649056,1.090505,
0.04642517,1.557484,2.038424,0.8331178,-0.8675437,0.508492,-1.649776,1.090068,
0.04630766,1.557623,2.038484,0.8330954,-0.8674831,0.5084026,-1.649613,1.089922,
0.04610856,1.557891,2.038592,0.8333519,-0.8672121,0.5086234,-1.649209,1.089786,
0.04566393,1.557962,2.038555,0.8333216,-0.8671603,0.5085893,-1.64957,1.08941,
0.04581111,1.557965,2.038321,0.8334595,-0.8674097,0.5089359,-1.649416,1.089252,
0.04538126,1.557957,2.038168,0.8332322,-0.8675294,0.5088496,-1.65012,1.089139,
0.04493088,1.558074,2.038122,0.8332319,-0.8675115,0.5088527,-1.650213,1.088983,
0.04442804,1.558155,2.038438,0.8331604,-0.8673575,0.5086758,-1.650228,1.088867,
0.04403436,1.558325,2.038639,0.8335907,-0.8672018,0.5088077,-1.650314,1.088499,
0.04338718,1.558354,2.038652,0.8336147,-0.8671553,0.50879,-1.650451,1.088431,
0.0432682,1.558203,2.038651,0.8335689,-0.8670485,0.5087752,-1.650476,1.08847,
0.04255171,1.558098,2.038527,0.833302,-0.8672812,0.5085654,-1.650839,1.088534,
0.04182106,1.557804,2.03853,0.833306,-0.8672869,0.5085161,-1.650522,1.088873,
0.04179677,1.557295,2.038455,0.833323,-0.8673236,0.5086074,-1.650773,1.088963,
0.04086515,1.556678,2.038358,0.833135,-0.8674183,0.5084932,-1.651319,1.088959,
