chair to collider angle,table to collider angle,audience to collider angle,


60.61981,82.06368,60.61981,
60.61981,82.06368,60.61981,
125.9315,7.693834,107.1002,
130.7314,11.29004,102.732,
135.1718,16.05088,101.829,
135.359,16.24424,101.6314,
135.5069,16.38652,101.416,
135.5744,16.44747,101.1872,
135.5591,16.42148,100.9406,
135.5328,16.38226,100.7192,
135.463,16.298,100.2758,
135.3424,16.15057,99.5295,
134.5684,15.4467,98.58355,
134.5652,15.43795,98.74888,
134.5936,15.46731,98.81415,
134.6501,15.55136,99.02773,
134.6512,15.57215,99.26197,
134.5814,15.54258,99.45766,
134.5528,15.49898,99.50783,
134.5322,15.49342,99.5739,
134.5103,15.4815,99.6014,
134.4641,15.44143,99.61308,
134.4452,15.43464,99.62328,
134.4261,15.42595,99.61154,
134.4037,15.4157,99.60366,
134.3772,15.39417,99.57132,
134.3527,15.38843,99.52617,
134.3276,15.37695,99.4843,
134.3187,15.37973,99.45036,
134.316,15.39758,99.4118,
134.338,15.44185,99.38754,
134.3792,15.50115,99.34052,
134.4817,15.62718,99.31005,
134.6031,15.7749,99.27415,
134.722,15.93695,99.2386,
134.8751,16.12529,99.18536,
135.0462,16.33021,99.13253,
135.2493,16.5704,99.06721,
135.4817,16.8449,98.98798,
135.7384,17.14014,98.88711,
136.0147,17.44954,98.74833,
136.2773,17.74455,98.61414,
136.5352,18.02455,98.46296,
136.77,18.26997,98.29258,
136.9679,18.47971,98.1303,
137.1415,18.65766,97.94584,
137.3166,18.84573,97.78309,
137.5121,19.05566,97.61247,
137.7347,19.28063,97.44973,
137.9395,19.49637,97.2754,
138.1453,19.70994,97.11112,
138.3402,19.91111,96.94695,
138.5477,20.12783,96.78757,
138.725,20.31801,96.6689,
138.8823,20.49588,96.56355,
139.0038,20.61813,96.47498,
139.0701,20.69684,96.40125,
139.1502,20.78217,96.32052,
139.1777,20.79978,96.26061,
139.1796,20.80397,96.2082,
139.2213,20.84863,96.14254,
139.2319,20.87437,96.10837,
139.2127,20.86288,96.07707,
139.1883,20.84779,96.04584,
139.1518,20.81903,96.0065,
139.1141,20.78452,95.97512,
139.0857,20.75097,95.93931,
139.0557,20.72857,95.89207,
139.0404,20.71139,95.83772,
139.0161,20.70593,95.80323,
139.0024,20.67837,95.75398,
139.0065,20.69498,95.72543,
139.0318,20.72962,95.69444,
139.1244,20.85419,95.67529,
139.2346,20.98742,95.66613,
139.3633,21.12958,95.6498,
139.4005,21.1961,95.64632,
139.4244,21.24834,95.64348,
139.5641,21.41779,95.65808,
139.6788,21.57513,95.67461,
139.8436,21.80125,95.73457,
139.9829,21.97607,95.78289,
140.0657,22.09939,95.84932,
140.143,22.21582,95.91906,
140.1683,22.28923,96.01688,
140.1667,22.34542,96.13811,
140.1585,22.38394,96.25505,
140.0975,22.37569,96.37521,
140.0282,22.35606,96.50193,
139.9361,22.31146,96.62994,
139.776,22.21447,96.75935,
139.6165,22.09138,96.88515,
139.425,21.937,97.01997,
139.2344,21.78375,97.15409,
139.0419,21.62812,97.26983,
138.8343,21.45001,97.38672,
138.6253,21.26341,97.4938,
138.4088,21.06376,97.58241,
138.2035,20.88058,97.67027,
137.9939,20.67145,97.7278,
