user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.5866362,1.466838,-3.876983,2.05678,0,0,0,0,
0.5866362,1.466838,-3.876983,2.05678,0,0,0,0,
0.5864611,1.46711,-0.02071565,0.8588204,1.613879,0.5037904,-2.189537,0.821969,
0.5758078,1.477951,-0.02081051,0.8588996,1.61334,0.5041747,-2.152795,0.9222238,
0.5739211,1.483202,-0.02072814,0.8587266,1.613651,0.5038466,-2.14358,0.9340708,
0.57373,1.483379,-0.02072215,0.8587161,1.613705,0.5036623,-2.138784,0.9410106,
0.5734873,1.48347,-0.02076766,0.8587826,1.613696,0.5036488,-2.133178,0.9453142,
0.5732476,1.483485,-0.02074534,0.8587828,1.61369,0.5037501,-2.128182,0.9498544,
0.5731186,1.483454,-0.02073732,0.8587978,1.613599,0.5038478,-2.123003,0.9549801,
0.5728846,1.483238,-0.02047473,0.8587834,1.613601,0.5038822,-2.116203,0.9613167,
0.5726099,1.483011,-0.02051187,0.8587621,1.613605,0.5041122,-2.121455,0.9532679,
0.5721155,1.482723,-0.02062038,0.8592252,1.612399,0.5055315,-2.026382,1.04984,
0.5681113,1.481359,-0.02063629,0.8591605,1.612725,0.5049703,-2.021557,1.056398,
0.5682768,1.481634,-0.0208194,0.859376,1.612704,0.504992,-2.01986,1.060027,
0.5685,1.481747,-0.02082279,0.8593997,1.612533,0.5050623,-2.017897,1.063711,
0.5690235,1.481978,-0.02089435,0.8590204,1.612629,0.5047562,-2.013054,1.07403,
0.5697169,1.482169,-0.02080691,0.8590496,1.612701,0.5049229,-2.010752,1.080384,
0.5703528,1.48227,-0.0207805,0.8587898,1.612416,0.5050602,-2.007936,1.086368,
0.5703756,1.482243,-0.0208298,0.8588752,1.612649,0.5049639,-2.006213,1.088795,
0.5707178,1.482293,-0.02084357,0.8587987,1.612611,0.5050004,-2.00513,1.091179,
0.5710905,1.482237,-0.02080882,0.8587933,1.612582,0.504895,-2.005401,1.091486,
0.5714558,1.482185,-0.02090323,0.8587818,1.61255,0.5049186,-2.004494,1.09361,
0.5718383,1.482171,-0.02092069,0.8586935,1.612521,0.5049753,-2.004242,1.094878,
0.572204,1.482176,-0.02092648,0.85867,1.612415,0.5049388,-2.004568,1.096323,
0.5726187,1.482169,-0.02093086,0.8586532,1.612373,0.5049436,-2.004312,1.098131,
0.5729784,1.482176,-0.0209448,0.8586287,1.612508,0.5047963,-2.004068,1.099631,
0.5733299,1.482265,-0.02087456,0.8586124,1.612196,0.5051072,-2.004033,1.101197,
0.5737063,1.482386,-0.02088419,0.8586233,1.612153,0.5051343,-2.003611,1.103034,
0.5740895,1.482439,-0.02086326,0.8587457,1.611806,0.5055678,-2.004062,1.104985,
0.5744337,1.482528,-0.02075875,0.8587201,1.611817,0.5057926,-2.004486,1.106984,
0.5748633,1.48267,-0.0207012,0.8587043,1.611875,0.5057619,-2.004918,1.108796,
0.5751997,1.48286,-0.02070293,0.8588642,1.611837,0.5057654,-2.005244,1.110236,
0.5755223,1.483044,-0.02069536,0.8588579,1.612073,0.5055509,-2.005704,1.11162,
0.5759603,1.483151,-0.02064028,0.8588886,1.612045,0.505604,-2.00623,1.112957,
