user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.1041419,1.447751,-3.876983,2.05678,0,0,0,0,
-0.1041419,1.447751,-3.876983,2.05678,0,0,0,0,
-0.104455,1.44779,-0.7277364,0.8328314,1.576837,0.466876,-1.66512,1.040165,
-0.03921416,1.427013,-0.7271817,0.8331804,1.576705,0.4670672,-1.673033,1.045721,
-0.03233837,1.430824,-0.7275234,0.8329263,1.576648,0.4669175,-1.674513,1.047504,
-0.03167278,1.43094,-0.7275171,0.8329165,1.576763,0.4668498,-1.675126,1.048302,
-0.03104133,1.431028,-0.7276535,0.8327596,1.576788,0.4668713,-1.675769,1.049059,
-0.0288502,1.431765,-0.7276576,0.8327806,1.576917,0.4669263,-1.677526,1.05156,
-0.02763718,1.432136,-0.7276592,0.8328304,1.576903,0.4668956,-1.678667,1.053187,
-0.02757109,1.432213,-0.7269223,0.833035,1.577195,0.4667785,-1.69662,1.048438,
-0.01924338,1.439941,-0.7268634,0.8330169,1.577354,0.4667735,-1.697955,1.047894,
-0.01883834,1.440229,-0.7267929,0.8328769,1.577395,0.4666615,-1.700842,1.04675,
-0.01872151,1.440449,-0.7267389,0.8328481,1.577441,0.4667783,-1.702437,1.046182,
-0.01855436,1.440582,-0.7272646,0.8324852,1.577287,0.4667592,-1.704124,1.045692,
-0.01787719,1.441185,-0.727243,0.8326221,1.577479,0.466753,-1.709263,1.044693,
-0.01734982,1.441404,-0.7274632,0.8326123,1.577378,0.4665873,-1.713115,1.044925,
-0.01741783,1.441456,-0.7274662,0.8326221,1.577334,0.4665403,-1.713415,1.045156,
-0.01718022,1.441807,-0.7276977,0.8324089,1.577195,0.4665213,-1.715464,1.045181,
-0.01680133,1.442137,-0.7277136,0.8327522,1.577183,0.4665983,-1.717444,1.045214,
-0.0165918,1.442502,-0.7277411,0.8327491,1.577204,0.4667275,-1.719555,1.04532,
-0.01639503,1.442932,-0.7278832,0.8325629,1.577112,0.4667308,-1.721778,1.045413,
-0.01615467,1.443228,-0.7279121,0.8330214,1.57714,0.4667902,-1.724093,1.04543,
-0.01598898,1.443516,-0.7279532,0.8330102,1.577106,0.4669089,-1.726461,1.045405,
-0.01584817,1.443828,-0.7279172,0.8328316,1.577109,0.4669065,-1.728781,1.045409,
-0.01565585,1.444131,-0.7279487,0.8329341,1.577106,0.4668391,-1.731223,1.045373,
-0.01537628,1.445144,-0.7279124,0.832799,1.57696,0.4668813,-1.738487,1.04586,
-0.01537404,1.445863,-0.7279645,0.8329782,1.576916,0.4668546,-1.744101,1.046317,
-0.01551334,1.446435,-0.7280266,0.8329694,1.576918,0.4668276,-1.749953,1.046748,
-0.01573377,1.446398,-0.7280343,0.8329685,1.576927,0.4667788,-1.750048,1.046913,
-0.01596478,1.446794,-0.7280347,0.8327925,1.576914,0.4667838,-1.752955,1.047095,
-0.01620848,1.447154,-0.728076,0.8332016,1.576951,0.4668648,-1.758655,1.047624,
-0.01686674,1.447835,-0.7274099,0.8330214,1.577111,0.4669108,-1.761554,1.047945,
-0.01714497,1.448097,-0.7273672,0.8334546,1.577194,0.4669573,-1.764652,1.048145,
