chair to collider angle,table to collider angle,audience to collider angle,


96.72192,49.70268,96.72192,
96.72192,49.70268,96.72192,
139.761,92.3619,96.51263,
70.55606,26.12817,27.05646,
70.19051,24.55822,27.09523,
70.20085,24.35892,27.1694,
70.19453,24.16963,27.22192,
70.16525,23.98742,27.24139,
70.14721,23.82182,27.25298,
70.14871,23.65706,27.30462,
70.18997,23.48376,27.41246,
70.25005,23.32332,27.53578,
70.33741,23.20172,27.67369,
74.99223,23.79554,32.0089,
75.18163,23.73934,32.2676,
75.45738,23.73511,32.6067,
75.7198,23.71946,32.93701,
76.55691,23.67043,34.04868,
77.16309,23.60615,34.9325,
77.20519,23.60508,35.00651,
77.53205,23.61103,35.44379,
77.7971,23.60281,35.81655,
78.13162,23.64082,36.25851,
78.46919,23.70405,36.6775,
78.77577,23.77259,37.04322,
79.0862,23.87536,37.37606,
79.35974,23.9835,37.64073,
79.63804,24.11772,37.88461,
79.9045,24.2268,38.14219,
80.17966,24.35766,38.39358,
80.47371,24.47151,38.68731,
80.76073,24.58375,38.98745,
81.03836,24.68413,39.27721,
81.28004,24.76477,39.5457,
81.52334,24.8346,39.79982,
81.74961,24.88771,42.28433,
81.95551,24.91842,42.34378,
82.14839,24.91624,42.41759,
82.33223,24.9123,42.46671,
82.47854,24.88379,42.60085,
82.60214,24.82039,42.75626,
82.69061,24.7424,42.87615,
82.75011,24.62557,43.07663,
82.75996,24.46978,43.3045,
82.80068,24.33051,43.48481,
82.82518,24.17263,43.72861,
82.83242,24.00091,43.98795,
82.83606,23.82612,44.2254,
82.82317,23.6399,44.49809,
82.80602,23.45788,44.76322,
82.7785,23.28771,44.96532,
82.75629,23.13519,45.1711,
82.72911,23.00706,45.34411,
82.762,22.9423,45.43454,
82.82733,22.92491,45.49678,
82.93325,22.94863,45.51379,
83.11572,23.03277,45.51392,
83.34186,23.1598,45.47357,
83.57346,23.31103,45.39363,
83.85632,23.5214,45.26059,
84.21759,23.83043,45.03814,
84.62457,24.1758,44.78047,
85.12747,24.63211,44.42051,
85.72528,25.17785,44.0026,
86.38002,25.79902,43.48506,
87.09047,26.48381,42.92015,
87.93206,27.29931,42.26494,
88.84673,28.18146,41.55056,
89.95261,29.23987,40.71542,
91.07026,30.34922,39.81459,
92.29341,31.58372,38.80555,
93.48512,32.80902,37.77325,
94.75397,34.13993,36.65431,
96.02601,35.48277,35.49088,
97.37656,36.93266,34.23037,
98.71936,38.38406,32.96256,
100.1028,39.89151,31.61633,
101.4927,41.39153,30.30685,
102.8975,42.91329,28.99233,
104.2912,44.40906,27.67783,
105.6151,45.85184,26.41058,
106.878,47.25869,25.14137,
108.0778,48.60801,23.9082,
109.2419,49.91484,22.74323,
110.392,51.20558,21.5912,
111.4899,52.43838,20.52385,
112.5344,53.63898,19.48885,
113.4863,54.76535,18.50736,
114.3475,55.83064,17.55536,
115.1343,56.83224,16.68294,
115.9224,57.81435,15.86434,
116.6823,58.75865,15.09622,
117.4249,59.6693,14.38521,
118.1723,60.58164,13.7139,
118.8988,61.46137,13.06228,
119.6443,62.34718,12.47465,
120.3524,63.18645,11.95649,
121.0363,64.00295,11.46949,
121.7143,64.79505,11.04657,
