pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.576389,4.003173,1.576389,0,4.507173,0,
1.576389,4.003173,1.576389,0,4.507173,0,
1.774668,1.848346,3.522812,1.748717,1.612649,3.820285,
1.800291,1.810994,3.558352,1.731517,1.678995,3.609093,
1.801295,1.810065,3.559018,1.733506,1.677209,3.61115,
1.801348,1.809871,3.558048,1.735482,1.675508,3.612737,
1.801362,1.809862,3.556111,1.73725,1.674023,3.613506,
1.801528,1.809716,3.553941,1.738809,1.672955,3.613587,
1.801442,1.809432,3.543606,1.743861,1.668888,3.611681,
1.801628,1.809378,3.541466,1.743505,1.669237,3.6093,
1.801559,1.809185,3.535318,1.744823,1.667813,3.605901,
1.801771,1.808925,3.28865,1.746648,1.65804,3.387442,
1.798453,1.809313,3.269936,1.745463,1.659022,3.370826,
1.797988,1.809448,3.253099,1.744048,1.660105,3.353802,
1.797565,1.809732,3.23649,1.742545,1.661295,3.337179,
1.797287,1.809938,3.220651,1.740755,1.663122,3.320725,
1.797173,1.81014,3.2046,1.739123,1.664683,3.304329,
1.796679,1.810493,3.188323,1.737453,1.66651,3.287942,
1.796463,1.81069,3.171466,1.735547,1.66844,3.270766,
1.796158,1.81101,3.155769,1.733681,1.670492,3.254807,
1.795989,1.81128,3.140812,1.731408,1.67278,3.239386,
1.795797,1.811623,3.125507,1.729247,1.675065,3.223811,
1.795498,1.812049,3.110808,1.727172,1.677368,3.209035,
1.795209,1.812311,3.096846,1.724746,1.679765,3.194895,
1.794923,1.812436,3.084319,1.722427,1.682175,3.182439,
1.794847,1.812743,3.072648,1.720064,1.684802,3.170492,
1.794595,1.812863,3.06108,1.717943,1.687241,3.15913,
1.794278,1.812981,3.051842,1.715552,1.689725,3.149741,
1.794067,1.812986,3.044512,1.713232,1.692152,3.142306,
1.793743,1.813117,3.038354,1.710718,1.694754,3.135959,
1.793393,1.813221,3.033059,1.708207,1.697518,3.130137,
1.792994,1.813309,3.026762,1.705746,1.700094,3.123599,
1.792608,1.813347,3.022318,1.703044,1.702802,3.118388,
1.792212,1.813287,3.01782,1.700492,1.705389,3.113204,
1.791786,1.813005,3.013119,1.697852,1.708015,3.107813,
1.79129,1.812964,3.008621,1.695144,1.710803,3.102701,
1.790838,1.8127,3.004741,1.692413,1.713549,3.097436,
1.790414,1.812456,3.000956,1.689663,1.716293,3.09225,
1.789855,1.812237,2.997101,1.687046,1.719082,3.087664,
1.789166,1.811906,2.994306,1.68414,1.722136,3.083086,
1.788515,1.811601,2.991757,1.681419,1.724779,3.078808,
1.787863,1.811097,2.988804,1.678553,1.727587,3.07437,
1.787015,1.810465,2.987598,1.67569,1.730139,3.070714,
1.786165,1.809829,2.985339,1.672831,1.732861,3.066436,
1.785204,1.809247,2.982796,1.669936,1.735505,3.062033,
1.784358,1.808522,2.981101,1.667006,1.738272,3.058038,
1.783265,1.807906,2.979207,1.664201,1.740847,3.054169,
1.78249,1.807351,2.977263,1.661456,1.743296,3.050066,
1.781577,1.807002,2.975772,1.658796,1.745702,3.047038,
1.780811,1.806661,2.975252,1.656304,1.747862,3.044833,
