chair to collider angle,table to collider angle,audience to collider angle,


117.2765,68.62572,117.2765,
117.2765,68.62572,117.2765,
70.12138,163.9724,40.20793,
60.07001,166.5128,30.50435,
61.45478,166.6658,31.92642,
61.51204,166.5839,31.96602,
61.58137,166.5607,31.99762,
61.70333,166.5771,32.07203,
62.07099,166.7005,32.25935,
62.07104,166.7381,32.22685,
62.13175,166.7326,32.21394,
62.15664,166.6744,32.15015,
62.87526,168.0444,32.76801,
62.82471,168.1963,32.78168,
62.77631,168.367,32.79238,
62.67369,168.5544,32.75631,
62.57458,168.7273,32.72372,
62.42341,168.905,32.63077,
62.27409,169.0482,32.55246,
62.12512,169.2142,32.48798,
62.00645,169.3727,32.45798,
61.88597,169.5095,32.42146,
61.7515,169.6262,32.37875,
61.62278,169.7265,32.3341,
61.44179,169.7514,32.26616,
61.22896,169.7007,32.19184,
60.94307,169.5464,32.02719,
60.62458,169.3352,31.88022,
60.29015,169.0753,31.71297,
59.9716,168.8339,31.51133,
59.64582,168.6438,31.2908,
59.26837,168.4477,30.99258,
58.84079,168.2402,30.60749,
58.36791,167.9951,30.18618,
57.81033,167.7145,29.6599,
57.1867,167.3785,29.03929,
56.51453,166.9955,28.44698,
55.73182,166.5123,27.75301,
54.91353,165.9894,26.95737,
53.91639,165.3452,26.0522,
52.90569,164.6579,25.12613,
51.75742,163.8566,23.97922,
50.54229,162.9616,22.82421,
49.19742,161.9039,21.52679,
47.72791,160.6917,20.07471,
46.19386,159.3807,18.5836,
44.74677,158.1344,17.15785,
43.34193,156.8957,15.75578,
41.92975,155.6109,14.37404,
40.50672,154.283,12.98882,
39.17172,153.023,11.6917,
38.07169,151.9652,10.59697,
37.12457,151.0618,9.645508,
36.34874,150.3087,8.828417,
35.74675,149.7174,8.152758,
35.21574,149.1614,7.565456,
34.79176,148.7019,7.053187,
34.47426,148.3323,6.652604,
34.22784,148.017,6.354466,
33.98396,147.6909,6.017247,
33.80165,147.4051,5.772852,
33.59603,147.1021,5.540048,
33.39343,146.7998,5.282162,
33.20082,146.5064,5.078907,
33.00452,146.2148,4.910713,
32.80748,145.9135,4.693232,
32.60706,145.6169,4.536348,
32.44463,145.3489,4.398236,
32.27998,145.0879,4.246024,
32.0903,144.8071,4.101025,
31.89417,144.53,3.977541,
31.65592,144.2311,3.75885,
31.39353,143.9153,3.55936,
31.12826,143.6013,3.34041,
30.86871,143.3022,3.101288,
30.63977,143.0363,2.913898,
30.40751,142.7754,2.748514,
30.16238,142.5084,2.534664,
29.92085,142.2495,2.352767,
29.6577,141.9958,2.1411,
29.39717,141.7411,1.897336,
29.1938,141.535,1.985147,
29.00147,141.3721,1.645919,
28.84005,141.2164,1.463398,
28.64178,141.0297,1.283137,
28.46272,140.8607,1.055918,
28.25557,140.6653,0.825194,
28.06975,140.5014,0.6474031,
27.94052,140.3744,0.4865827,
27.84406,140.2601,0.3995845,
27.77235,140.1794,0.3409232,
27.72908,140.1149,0.2940859,
27.70171,140.0526,0.2887141,
27.68655,139.9991,0.2873554,
27.67648,139.9647,0.289391,
27.69447,139.9467,0.3286494,
27.70916,139.926,0.3727285,
27.73607,139.9085,0.3995845,
