user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.02980063,1.494519,-3.876983,2.05678,0,0,0,0,
-0.02980063,1.494519,-3.876983,2.05678,0,0,0,0,
-0.02966346,1.494961,-1.50478,0.8657563,1.846547,0.5810552,-2.116392,1.104085,
-0.02583632,1.499268,-1.504592,0.8658546,1.848763,0.5789652,-2.115493,1.106844,
-0.02974015,1.496236,-1.504656,0.8657662,1.848796,0.5788457,-2.113904,1.108972,
-0.03041035,1.495819,-1.504648,0.8659583,1.848794,0.5788281,-2.112939,1.109913,
-0.03066668,1.495547,-1.504601,0.8658869,1.846727,0.5809603,-2.112116,1.110752,
-0.03161987,1.495107,-1.504716,0.8659863,1.848837,0.5789843,-2.108552,1.113173,
-0.03194555,1.49506,-1.504725,0.8661009,1.846688,0.5810187,-2.10564,1.11317,
-0.03183919,1.495204,-1.504669,0.8658556,1.848602,0.5793006,-2.083244,1.112848,
-0.03047464,1.499094,-1.504758,0.865733,1.846319,0.5812554,-2.082259,1.112971,
-0.03031089,1.499262,-1.504738,0.8657268,1.848388,0.579272,-2.081325,1.112619,
-0.0301904,1.499431,-1.504755,0.8657275,1.848379,0.5792797,-2.080554,1.112564,
-0.03003154,1.499565,-1.504953,0.8656816,1.846215,0.5811331,-2.079311,1.112784,
-0.02951739,1.499799,-1.504925,0.865647,1.848411,0.5790639,-2.075734,1.113318,
-0.0295353,1.499849,-1.504782,0.8657746,1.846251,0.5810878,-2.075213,1.113931,
-0.02921825,1.499895,-1.504789,0.865797,1.848613,0.579097,-2.073893,1.114276,
-0.02910387,1.499954,-1.504677,0.8657243,1.848626,0.5791173,-2.072678,1.114865,
-0.02894045,1.499896,-1.50465,0.8657111,1.846607,0.5808613,-2.071775,1.114938,
-0.02871925,1.499977,-1.504613,0.8656974,1.848825,0.5789242,-2.07067,1.114949,
-0.02859893,1.499917,-1.504595,0.8657274,1.848841,0.5789337,-2.069438,1.11498,
-0.02848776,1.499742,-1.504529,0.86571,1.846644,0.5809755,-2.068305,1.114829,
-0.02851301,1.499656,-1.504555,0.8657271,1.848824,0.5791116,-2.067091,1.114579,
-0.02847684,1.499516,-1.504538,0.8657002,1.848838,0.5790727,-2.066075,1.114752,
-0.02845225,1.499326,-1.504569,0.865682,1.846834,0.5809109,-2.064849,1.114976,
-0.02861262,1.499161,-1.504565,0.8657075,1.848964,0.5788293,-2.063642,1.115066,
-0.02864298,1.49897,-1.504567,0.8657212,1.848981,0.5787921,-2.062531,1.115137,
-0.02869296,1.498796,-1.504555,0.8656834,1.846646,0.5809007,-2.061197,1.115225,
-0.02884657,1.498801,-1.504586,0.8656828,1.848742,0.578891,-2.059977,1.114863,
-0.02890683,1.49857,-1.504541,0.8657811,1.846661,0.5808704,-2.058964,1.114787,
-0.02899188,1.498373,-1.504537,0.8657981,1.846632,0.5808578,-2.057746,1.114817,
-0.02910266,1.498212,-1.50458,0.8658036,1.848757,0.5788949,-2.05679,1.114525,
-0.02925073,1.497976,-1.504555,0.8658576,1.848757,0.5788949,-2.056036,1.114549,
-0.02923955,1.497777,-1.504566,0.865832,1.846508,0.5809236,-2.055366,1.114602,
