chair to collider angle,table to collider angle,audience to collider angle,


93.21828,130.2533,93.21828,
93.21828,130.2533,93.21828,
93.44331,130.0212,93.44331,
82.10938,134.8233,82.10938,
76.13446,135.9069,76.13446,
74.82877,136.112,74.82877,
74.11806,136.2268,74.11806,
73.36585,136.3231,73.36585,
72.57648,136.4218,72.57648,
71.80138,136.4908,71.80138,
71.12744,136.5772,71.12744,
70.59135,136.701,70.59135,
70.21066,136.8595,70.21066,
68.9915,138.5017,68.9915,
68.9698,138.5133,68.9698,
68.95303,138.5226,68.95303,
68.94293,138.5476,68.94293,
68.94415,138.6014,68.94415,
68.99629,138.5889,68.99629,
69.05322,138.6199,69.05322,
69.1048,138.6305,69.1048,
69.16129,138.6497,69.16129,
69.18395,138.6585,69.18395,
69.18526,138.6846,69.18526,
69.17311,138.6912,69.17311,
69.14825,138.6729,69.14825,
69.12981,138.6723,69.12981,
69.10773,138.6462,69.10773,
69.10655,138.5996,69.10655,
69.10792,138.5538,69.10792,
69.10181,138.4695,69.10181,
69.13893,138.3766,69.13893,
69.17742,138.2734,69.17742,
69.22933,138.1565,69.22933,
69.31743,138.0388,69.31743,
69.40386,137.898,69.40386,
69.51347,137.7759,69.51347,
69.61656,137.6422,69.61656,
69.72027,137.5158,69.72027,
69.81824,137.3905,69.81824,
69.93908,137.269,69.93908,
70.04573,137.1738,70.04573,
70.17249,137.0735,70.17249,
70.30212,136.9792,70.30212,
70.45347,136.9154,70.45347,
70.60965,136.854,70.60965,
70.75228,136.7971,70.75228,
70.87054,136.7668,70.87054,
70.97423,136.7434,70.97423,
71.04686,136.7231,71.04686,
71.09544,136.6966,71.09544,
71.13036,136.6855,71.13036,
71.1431,136.6626,71.1431,
71.15125,136.6667,71.15125,
71.15839,136.7128,71.15839,
71.2026,136.8023,71.2026,
71.24673,136.9081,71.24673,
71.28438,137.033,71.28438,
71.30161,137.1811,71.30161,
71.3115,137.3076,71.3115,
71.28551,137.4561,71.28551,
71.27986,137.6052,71.27986,
71.26778,137.7587,71.26778,
71.27227,137.9456,71.27227,
71.25671,138.1583,71.25671,
71.23957,138.3914,71.23957,
71.21632,138.6357,71.21632,
71.18777,138.8661,71.18777,
71.12751,139.1053,71.12751,
71.07357,139.3472,71.07357,
71.02525,139.5891,71.02525,
70.95721,139.8535,70.95721,
70.89627,140.1519,70.89627,
70.80437,140.4962,70.80437,
70.74649,140.8426,70.74649,
70.69147,141.2052,70.69147,
70.6834,141.5695,70.6834,
70.69862,141.8857,70.69862,
70.74244,142.1898,70.74244,
70.81011,142.4812,70.81011,
70.90318,142.7588,70.90318,
71.01913,143.0435,71.01913,
71.13223,143.3164,71.13223,
71.24522,143.548,71.24522,
71.3451,143.7483,71.3451,
71.42844,143.9153,71.42844,
71.48008,144.0438,71.48008,
71.51897,144.1434,71.51897,
71.55309,144.1865,71.55309,
71.57835,144.2138,71.57835,
71.60701,144.2278,71.60701,
71.60767,144.185,71.60767,
71.61785,144.1531,71.61785,
71.58213,144.0417,71.58213,
71.54488,143.8887,71.54488,
71.51166,143.6926,71.51166,
71.46459,143.4066,71.46459,
71.4324,143.1111,71.4324,
71.38834,142.7647,71.38834,
