pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.897348,3.188885,1.897348,0,4.507173,0,
1.897348,3.188885,1.897348,0,4.507173,0,
2.461852,2.136292,2.396846,1.882649,1.724374,2.570212,
2.42361,1.976675,2.436995,2.085625,1.85767,2.25447,
2.421095,1.98112,2.432903,2.085335,1.858019,2.254277,
2.420667,1.981558,2.432528,2.084779,1.858133,2.254,
2.42028,1.982006,2.432198,2.084393,1.858371,2.253835,
2.419904,1.982541,2.431765,2.08395,1.858762,2.253485,
2.419683,1.983135,2.431398,2.083748,1.859275,2.253192,
2.419415,1.983703,2.431077,2.083381,1.859604,2.2529,
2.419002,1.984277,2.430667,2.082941,1.860113,2.252589,
2.418788,1.984838,2.430444,2.08249,1.860445,2.252314,
2.418298,1.985499,2.436075,2.074463,1.870581,2.247001,
2.411884,1.998679,2.424447,2.073702,1.871442,2.246293,
2.411709,1.999488,2.424233,2.073344,1.872023,2.246057,
2.411486,2.00029,2.424086,2.072944,1.872645,2.245788,
2.411437,2.001096,2.423899,2.072599,1.873307,2.245408,
2.411322,2.001962,2.423683,2.072156,1.873987,2.244988,
2.41108,2.002843,2.423384,2.071782,1.874694,2.244638,
2.411012,2.003973,2.423151,2.071526,1.875368,2.244399,
2.410856,2.00472,2.422957,2.070973,1.876217,2.243835,
2.410847,2.005393,2.422906,2.070519,1.876912,2.243486,
2.410428,2.006451,2.422415,2.070162,1.877423,2.243273,
2.410263,2.007082,2.422198,2.069788,1.877982,2.242969,
2.410089,2.008009,2.421855,2.069416,1.87853,2.242647,
2.410277,2.008891,2.421899,2.069139,1.879483,2.242277,
2.410223,2.009784,2.421659,2.068949,1.880059,2.242052,
2.410379,2.010805,2.421543,2.068652,1.880673,2.241662,
2.410326,2.01165,2.421258,2.068279,1.881289,2.241162,
2.410336,2.012487,2.420776,2.068079,1.881766,2.240618,
2.41022,2.013308,2.420316,2.067698,1.882379,2.239997,
2.410193,2.01432,2.419705,2.067417,1.883017,2.239332,
2.410216,2.014972,2.419129,2.066995,1.883564,2.238445,
2.410133,2.015741,2.418558,2.066675,1.884342,2.237682,
2.410201,2.016666,2.417885,2.066471,1.884996,2.236897,
2.41018,2.017343,2.41718,2.066149,1.885558,2.235985,
2.410581,2.017838,2.416584,2.066287,1.885831,2.235219,
2.410241,2.018462,2.415909,2.065569,1.886277,2.234288,
2.410264,2.01909,2.415301,2.065433,1.886632,2.2337,
2.410324,2.019771,2.414802,2.065297,1.887245,2.232988,
2.410446,2.020544,2.414497,2.065239,1.887898,2.232491,
2.410476,2.021246,2.414582,2.065087,1.88844,2.232355,
2.410614,2.021888,2.414705,2.064984,1.888981,2.232184,
2.410685,2.022619,2.41541,2.064838,1.889463,2.232582,
2.41076,2.023289,2.415928,2.064758,1.889962,2.232852,
2.410838,2.024339,2.416565,2.064359,1.890604,2.233051,
2.411165,2.024853,2.417268,2.06467,1.890992,2.233652,
2.411243,2.025562,2.417951,2.064496,1.891576,2.234144,
2.411095,2.026383,2.418057,2.064093,1.892212,2.234171,
2.41135,2.027231,2.418315,2.064033,1.892813,2.234426,
