pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.187171,2.676568,2.187171,0,4.507173,0,
2.187171,2.676568,2.187171,0,4.507173,0,
1.938165,2.688156,1.86333,1.402472,1.935962,3.327018,
1.859436,2.585055,1.968515,1.577224,2.341009,2.040915,
1.829359,2.587791,1.985889,1.570751,2.343711,2.045231,
1.830903,2.588148,1.986233,1.573449,2.34531,2.043303,
1.824674,2.588368,1.989392,1.568813,2.346634,2.044068,
1.822294,2.588342,1.992824,1.56794,2.347977,2.044878,
1.814722,2.587983,1.998277,1.565128,2.351512,2.043118,
1.814398,2.587706,1.997757,1.565687,2.351094,2.042804,
1.815956,2.587507,2.008936,1.573574,2.372443,2.029993,
1.766824,2.579386,2.035082,1.570705,2.376254,2.025844,
1.768354,2.578774,2.03501,1.574545,2.378152,2.021868,
1.76257,2.578371,2.042066,1.571147,2.380037,2.0248,
1.764546,2.578217,2.043579,1.575718,2.381682,2.022991,
1.755558,2.57977,2.044946,1.573176,2.387433,2.015729,
1.757394,2.583385,2.043901,1.577335,2.391664,2.012268,
1.753763,2.584808,2.044481,1.572726,2.391808,2.014837,
1.752786,2.586584,2.043833,1.572258,2.394165,2.013361,
1.756372,2.58812,2.041282,1.57628,2.396076,2.010113,
1.752268,2.589867,2.045551,1.572082,2.398063,2.013421,
1.754724,2.594477,2.045199,1.574676,2.404249,2.010561,
1.754877,2.596782,2.04648,1.573681,2.408266,2.009927,
1.751893,2.598534,2.049775,1.568702,2.412311,2.011112,
1.757266,2.601096,2.049917,1.57169,2.416109,2.010117,
1.753865,2.601186,2.053245,1.567554,2.415919,2.013494,
1.758383,2.602454,2.053024,1.570974,2.417441,2.012828,
1.759212,2.603696,2.05297,1.570466,2.418969,2.012398,
1.756398,2.605484,2.051772,1.566283,2.420507,2.011183,
1.761446,2.607171,2.054725,1.569886,2.421811,2.013822,
1.762804,2.609237,2.053771,1.569732,2.423028,2.01335,
1.760183,2.611343,2.054585,1.565881,2.424403,2.014417,
1.765107,2.613152,2.055662,1.569253,2.425425,2.015934,
1.766732,2.615249,2.054535,1.569366,2.426443,2.015493,
1.764928,2.617116,2.061942,1.566314,2.427359,2.022501,
1.774148,2.622866,2.062038,1.571184,2.430244,2.02415,
1.774789,2.626286,2.063785,1.569378,2.431581,2.027083,
1.778813,2.626232,2.063309,1.573504,2.431228,2.026927,
1.776844,2.628254,2.065384,1.570453,2.43202,2.029743,
1.782333,2.630223,2.064152,1.57455,2.433014,2.029391,
1.784161,2.634083,2.066192,1.573686,2.434999,2.032603,
1.791996,2.635878,2.065643,1.579949,2.436443,2.031804,
1.788079,2.6359,2.061731,1.575833,2.436224,2.028586,
1.794462,2.636721,2.059674,1.581089,2.436807,2.027036,
1.796776,2.637941,2.056834,1.582167,2.437735,2.025158,
1.795472,2.639493,2.055735,1.579716,2.43853,2.025025,
1.805529,2.643343,2.045573,1.587369,2.44083,2.018696,
1.809491,2.645721,2.038607,1.590643,2.442392,2.013915,
1.808439,2.647826,2.033855,1.58919,2.443348,2.010607,
1.812011,2.647648,2.033432,1.593107,2.442906,2.009679,
