user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.427889,1.656595,-3.876983,2.05678,0,0,0,0,
-1.427889,1.656595,-3.876983,2.05678,0,0,0,0,
-1.426752,1.65643,0.4956706,0.8419489,-0.3353557,0.5975959,-3.150394,1.01812,
-1.307231,1.61437,0.4956393,0.8418862,-0.3354443,0.5955422,-3.172112,1.008696,
-1.292319,1.607851,0.4955866,0.8419411,-0.3355572,0.5976343,-3.179506,1.003927,
-1.290889,1.607509,0.495637,0.8417779,-0.3352511,0.5954704,-3.179674,1.004159,
-1.289403,1.606732,0.4959562,0.8417337,-0.3353744,0.5976708,-3.182201,1.002992,
-1.287804,1.606066,0.4960255,0.8416492,-0.3353357,0.597661,-3.184888,1.002203,
-1.283127,1.604157,0.4957498,0.8414714,-0.3355749,0.5979056,-3.188862,1.004435,
-1.282866,1.603886,0.4956117,0.8421364,-0.3355685,0.5978849,-3.188577,1.005755,
-1.281225,1.602842,0.4957348,0.8416941,-0.335223,0.5959549,-3.211246,1.068491,
-1.251692,1.58099,0.4959458,0.8419175,-0.3354002,0.5981054,-3.210661,1.067978,
-1.250273,1.58034,0.4955745,0.8417805,-0.3357328,0.5960457,-3.20841,1.069195,
-1.248993,1.579515,0.4955067,0.8418161,-0.3359268,0.5982418,-3.213355,1.065937,
-1.247809,1.578499,0.4954076,0.8421984,-0.3354708,0.5960274,-3.212859,1.065897,
-1.246367,1.57614,0.4956677,0.8421251,-0.335676,0.598208,-3.210031,1.067554,
-1.248888,1.574586,0.4954558,0.8422532,-0.3354289,0.5961521,-3.209381,1.068715,
-1.250813,1.57413,0.4954151,0.8422807,-0.3356027,0.5985107,-3.211919,1.067178,
-1.252095,1.57317,0.4954728,0.8420116,-0.3356173,0.5985343,-3.211484,1.067791,
-1.253421,1.572553,0.4953872,0.8419759,-0.3354732,0.5962477,-3.209071,1.069577,
-1.254819,1.572288,0.4953685,0.8419528,-0.3356314,0.5983398,-3.213501,1.066692,
-1.258428,1.571218,0.4954622,0.841827,-0.335335,0.5964186,-3.212304,1.066355,
-1.260791,1.571234,0.4954633,0.8417122,-0.3353913,0.5966001,-3.212532,1.064018,
-1.262607,1.571965,0.4957117,0.8419542,-0.3355424,0.5992162,-3.213782,1.059908,
-1.265065,1.572826,0.4955644,0.8422771,-0.3352976,0.5969486,-3.211719,1.056826,
-1.265254,1.573303,0.4955677,0.8422654,-0.3354616,0.5989676,-3.215137,1.053904,
-1.266449,1.57374,0.4956439,0.8420024,-0.3353488,0.5967174,-3.213624,1.052436,
-1.267719,1.574348,0.4955446,0.8418903,-0.3353401,0.5967438,-3.212263,1.050502,
-1.26929,1.575098,0.4959467,0.8417233,-0.3354908,0.5987949,-3.209818,1.049068,
-1.271145,1.575849,0.4958252,0.8414893,-0.335471,0.5964887,-3.212014,1.044834,
-1.273376,1.576636,0.4958311,0.8414178,-0.3354819,0.5965085,-3.210406,1.042935,
-1.275736,1.57711,0.4958056,0.8414046,-0.3356348,0.598609,-3.210792,1.039682,
-1.277793,1.577731,0.4957888,0.8414888,-0.3354647,0.5964828,-3.211108,1.036809,
