pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.075233,2.910505,2.075233,0,4.507173,0,
2.075233,2.910505,2.075233,0,4.507173,0,
1.871301,2.343845,2.60349,1.394644,1.724431,3.568934,
1.847532,2.221577,2.692775,1.519379,1.92594,2.783091,
1.862986,2.210514,2.707114,1.526255,1.923497,2.786067,
1.859534,2.208596,2.709776,1.522178,1.922159,2.787782,
1.860194,2.207872,2.710799,1.522989,1.921151,2.789012,
1.862523,2.205199,2.714642,1.525805,1.917986,2.793005,
1.868458,2.203238,2.717555,1.532219,1.915901,2.795938,
1.863347,2.20347,2.718381,1.54186,1.900423,2.814302,
1.877883,2.190235,2.736063,1.542404,1.899655,2.815338,
1.883806,2.189388,2.737199,1.548237,1.898661,2.816359,
1.879575,2.18881,2.738174,1.543914,1.897951,2.817274,
1.880598,2.188127,2.739298,1.545009,1.897216,2.818292,
1.885827,2.187231,2.740422,1.550366,1.896337,2.81923,
1.881708,2.186651,2.74148,1.546543,1.8956,2.820226,
1.882365,2.18594,2.742493,1.547533,1.894638,2.821351,
1.887846,2.184927,2.743494,1.553385,1.893571,2.822314,
1.883479,2.184285,2.744351,1.549505,1.892724,2.823263,
1.88405,2.183642,2.745205,1.550645,1.891963,2.824176,
1.889716,2.182897,2.745958,1.556785,1.891345,2.824784,
1.885149,2.18238,2.74655,1.553083,1.890628,2.825649,
1.88573,2.181867,2.747427,1.553913,1.890067,2.826302,
1.890764,2.181206,2.748165,1.559393,1.889646,2.826778,
1.886624,2.180737,2.748838,1.555647,1.889183,2.827386,
1.886936,2.180214,2.74931,1.556344,1.888849,2.827743,
1.892306,2.179679,2.749909,1.561871,1.888207,2.828318,
1.887909,2.179289,2.750331,1.557802,1.887825,2.828683,
1.888508,2.178961,2.750918,1.558547,1.887594,2.828964,
1.8944,2.178616,2.751305,1.564524,1.887189,2.829235,
1.890324,2.178267,2.751925,1.560334,1.887153,2.829263,
1.891113,2.177858,2.752314,1.561368,1.886555,2.829631,
1.89263,2.177688,2.752643,1.563025,1.886317,2.8298,
1.893434,2.177481,2.752988,1.563842,1.886029,2.829988,
1.894075,2.177147,2.753404,1.564451,1.885604,2.830211,
1.899612,2.177147,2.753885,1.569656,1.885215,2.830734,
1.896086,2.176742,2.754481,1.565877,1.88459,2.831147,
1.897087,2.176651,2.754954,1.566698,1.883932,2.831763,
1.902843,2.176384,2.755757,1.572147,1.883366,2.832478,
1.898699,2.176125,2.756148,1.567897,1.882759,2.832845,
1.899423,2.175784,2.756765,1.568484,1.882252,2.833181,
1.905493,2.175756,2.757141,1.574084,1.881775,2.833643,
1.901438,2.175433,2.75748,1.570075,1.881013,2.834124,
1.902402,2.175213,2.757694,1.571193,1.880368,2.834651,
1.903447,2.17489,2.7579,1.572292,1.879962,2.834748,
1.904196,2.174673,2.758213,1.573252,1.879525,2.835203,
1.904937,2.174478,2.758583,1.574089,1.87897,2.835626,
1.911233,2.17415,2.758502,1.580371,1.878362,2.835709,
1.907218,2.173906,2.75843,1.576504,1.877804,2.835846,
1.90799,2.173766,2.757927,1.577159,1.877408,2.835382,
