user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.194444,1.696459,-3.876983,2.05678,0,0,0,0,
-1.194444,1.696459,-3.876983,2.05678,0,0,0,0,
-1.194495,1.696492,0.4992734,0.8422652,-0.3342843,0.6057432,-2.819412,1.088469,
-1.124725,1.622197,0.4992535,0.8425832,-0.3347839,0.607959,-2.822263,1.087547,
-1.121407,1.623206,0.4992881,0.8424196,-0.3345703,0.6052392,-2.822436,1.087659,
-1.120852,1.623244,0.4992893,0.842375,-0.3347518,0.6078796,-2.822662,1.087612,
-1.120725,1.623138,0.4993885,0.842416,-0.3347523,0.607898,-2.822596,1.087543,
-1.120003,1.623141,0.4992859,0.8422939,-0.3347252,0.6078746,-2.822933,1.087754,
-1.119497,1.622938,0.4991884,0.8423147,-0.3348352,0.6054447,-2.823641,1.087677,
-1.119435,1.622935,0.4996477,0.8423858,-0.3344853,0.6083214,-2.820829,1.09128,
-1.116598,1.624627,0.4996557,0.8425661,-0.3344788,0.6083412,-2.820764,1.091417,
-1.116438,1.624866,0.4993821,0.8425075,-0.3343734,0.6056306,-2.820943,1.09143,
-1.116386,1.62507,0.499235,0.8425398,-0.3345467,0.6082947,-2.820915,1.091574,
-1.116348,1.625401,0.4991566,0.8428743,-0.334542,0.6083219,-2.821064,1.091682,
-1.116151,1.625494,0.4989572,0.8428385,-0.3346474,0.6059389,-2.821083,1.091672,
-1.115907,1.625611,0.4992001,0.8427348,-0.3348309,0.6084735,-2.821126,1.091508,
-1.115766,1.625672,0.4991751,0.8429462,-0.3348388,0.608536,-2.821065,1.09116,
-1.11557,1.625597,0.4989175,0.8429283,-0.3347185,0.6059988,-2.821224,1.090949,
-1.115397,1.625575,0.4988979,0.8428671,-0.3349294,0.6085639,-2.821298,1.090695,
-1.115305,1.625525,0.4988889,0.8428035,-0.334953,0.6086047,-2.821496,1.090566,
-1.115195,1.62534,0.4988803,0.8428055,-0.3347275,0.6059611,-2.821497,1.090281,
-1.115139,1.625117,0.4988855,0.8427845,-0.3349269,0.6085608,-2.82165,1.090058,
-1.115154,1.625026,0.4989627,0.8423462,-0.3349406,0.6086299,-2.821795,1.089657,
-1.115077,1.624923,0.498987,0.8423842,-0.3347577,0.6062908,-2.821918,1.089411,
-1.11505,1.624831,0.4991692,0.8422887,-0.3349332,0.6088138,-2.822007,1.089346,
-1.115003,1.624616,0.4991627,0.842386,-0.33493,0.6088829,-2.822052,1.089141,
-1.114959,1.624665,0.499099,0.8423427,-0.334796,0.6063735,-2.822144,1.089002,
-1.115014,1.624586,0.499104,0.842348,-0.3349681,0.608917,-2.822229,1.088789,
-1.114972,1.62469,0.4993628,0.8422236,-0.3349599,0.6089666,-2.82222,1.088574,
-1.115041,1.624883,0.4993157,0.8422818,-0.3346736,0.6062324,-2.822002,1.088441,
-1.115156,1.625142,0.4993328,0.8422461,-0.3348417,0.6088445,-2.821936,1.088345,
-1.115385,1.625368,0.4990761,0.8423527,-0.3348195,0.6089253,-2.821752,1.088156,
-1.115568,1.625592,0.4991964,0.8423612,-0.3347552,0.6085935,-2.821388,1.088041,
