chair to collider angle,table to collider angle,audience to collider angle,


61.32721,165.9129,61.32721,
61.32721,165.9129,61.32721,
73.28824,26.16315,148.8905,
30.57404,88.63234,118.3663,
29.6584,89.62453,116.9419,
29.57416,89.87175,116.6312,
29.52455,90.15621,116.3181,
29.46278,90.42701,115.9956,
29.16476,91.24358,114.9178,
29.08826,91.32057,114.791,
28.87162,91.71037,114.476,
28.60548,92.1311,111.3939,
26.93058,96.08434,107.5179,
27.03454,95.92178,107.5812,
27.19339,95.74162,107.6943,
27.41704,95.47248,107.8976,
27.66783,95.14838,108.1559,
27.92951,94.75014,108.4872,
28.2329,94.2823,108.8826,
28.53917,93.78251,109.3232,
28.86102,93.19988,109.8058,
29.18226,92.5748,110.2886,
29.50659,91.90173,110.811,
29.80914,91.21366,111.3226,
30.111,90.52052,111.8448,
30.42902,89.82429,112.365,
31.41454,87.84735,113.8699,
31.97696,86.67331,114.7587,
31.95245,86.7559,114.7085,
32.26736,86.26686,115.109,
32.61293,85.76849,115.5394,
32.95766,85.2847,115.9627,
33.25683,84.81438,116.3271,
33.50646,84.38741,116.6372,
33.70984,83.9921,116.9082,
33.82206,83.67912,117.0662,
33.87729,83.41387,117.1584,
33.88052,83.18887,117.2012,
33.7937,83.03857,117.1426,
33.65202,82.92031,117.0342,
33.41176,82.85378,116.8538,
33.10207,82.84437,116.5992,
32.71219,82.89844,116.2655,
32.29716,82.99283,115.8984,
31.86782,83.14368,115.5037,
31.47084,83.33158,115.1027,
31.05125,83.60653,114.6463,
30.6441,83.8794,114.1936,
30.21586,84.18668,113.7094,
29.7373,84.50763,113.1916,
29.24933,84.79632,112.6659,
28.74095,85.11267,112.1235,
28.18256,85.44111,111.545,
27.62211,85.75002,110.9833,
27.03183,86.05103,110.4002,
26.40683,86.35487,109.7894,
25.7658,86.6418,109.169,
25.11267,86.92566,108.5319,
24.42238,87.21655,107.884,
23.73836,87.49577,107.2431,
23.04231,87.75928,106.6116,
22.36483,88.02163,105.9858,
21.66801,88.26304,105.3707,
20.94195,88.48974,104.7338,
18.70039,89.11414,102.8189,
17.07681,89.40392,101.5137,
17.0387,89.33096,101.5152,
16.30365,89.44157,100.9307,
15.61526,89.52235,100.394,
14.97589,89.5864,99.89057,
14.42261,89.60526,99.46412,
13.91181,89.63385,99.06098,
13.46168,89.62652,98.70753,
13.07337,89.63393,98.3937,
12.6642,89.63401,98.0797,
12.35848,89.6217,97.83598,
12.07674,89.61493,97.61188,
11.79545,89.60355,97.38734,
11.5702,89.57345,97.20406,
11.36964,89.51944,97.05003,
11.1913,89.48528,96.89218,
11.0278,89.42122,96.75358,
10.89202,89.32664,96.64635,
10.76702,89.23765,96.53264,
10.66828,89.15077,96.43839,
10.56662,89.11837,96.33356,
10.45045,89.11776,96.21593,
10.35425,89.13583,96.10381,
10.26008,89.16252,96.00223,
10.1644,89.18041,95.89933,
10.09366,89.17187,95.81943,
10.01532,89.14102,95.72763,
9.96721,89.07995,95.67028,
9.919585,88.99598,95.59888,
9.858179,88.92043,95.51644,
9.780924,88.86854,95.41631,
9.712296,88.83784,95.3236,
9.63221,88.82715,95.22274,
9.593455,88.81558,95.16522,
