user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.4906034,1.629423,-3.876983,2.05678,0,0,0,0,
-0.4906034,1.629423,-3.876983,2.05678,0,0,0,0,
-0.4902441,1.629381,0.4986699,0.8362633,0.5056277,0.546149,-3.083933,1.102423,
-0.4041973,1.647556,0.4987304,0.8358953,0.5056115,0.5460348,-3.079735,1.117175,
-0.3944591,1.647777,0.4986963,0.8358982,0.5056611,0.5458612,-3.07959,1.117797,
-0.3935659,1.64793,0.4986831,0.8359152,0.5053784,0.5460277,-3.078901,1.117996,
-0.3927289,1.64806,0.4984592,0.8359772,0.505343,0.5460434,-3.078372,1.118104,
-0.3920635,1.648111,0.4984109,0.836097,0.5053369,0.546056,-3.07679,1.117991,
-0.3900104,1.648393,0.498626,0.8359549,0.504813,0.5462985,-3.072237,1.117689,
-0.3904991,1.648426,0.4985541,0.835969,0.5049179,0.5460505,-3.070329,1.117929,
-0.3900741,1.648505,0.4985312,0.8359886,0.5047891,0.5462258,-3.078331,1.110713,
-0.3897392,1.648635,0.4983404,0.8362514,0.5053131,0.5461264,-3.015745,1.099413,
-0.3820671,1.649521,0.4987332,0.836166,0.5051767,0.5464132,-3.010412,1.098937,
-0.3809348,1.649599,0.4987438,0.8360592,0.505167,0.5464082,-3.005308,1.098127,
-0.3798155,1.649632,0.4987146,0.8360968,0.5052025,0.5462995,-3.000387,1.097181,
-0.3785064,1.649664,0.4990629,0.835984,0.5053063,0.5465515,-2.994758,1.096296,
-0.3771783,1.649784,0.4990858,0.8360826,0.5053073,0.5465534,-2.989197,1.095492,
-0.3758811,1.649719,0.4990582,0.8360716,0.505418,0.5465569,-2.984134,1.094664,
-0.3744515,1.649617,0.4990835,0.8361168,0.5049588,0.5465758,-2.978745,1.093898,
-0.3729566,1.649428,0.4985699,0.8370051,0.5049037,0.5465844,-2.972536,1.093722,
-0.3715031,1.649156,0.4984547,0.8369882,0.5048934,0.5466046,-2.967035,1.093018,
-0.3701494,1.648779,0.498584,0.8365266,0.5050251,0.5465884,-2.960902,1.092434,
-0.3689423,1.648426,0.4984986,0.8365022,0.50505,0.546427,-2.955252,1.092409,
-0.3677019,1.648126,0.4985307,0.8362806,0.5050258,0.5464597,-2.949953,1.092755,
-0.3665223,1.647761,0.4986821,0.8363491,0.5050754,0.5469153,-2.944897,1.093946,
-0.3654334,1.647456,0.4987378,0.8363442,0.5050572,0.5469201,-2.939862,1.095481,
-0.3623178,1.646662,0.4986358,0.8361686,0.5051315,0.5465221,-2.925044,1.102115,
-0.3606966,1.646282,0.4985985,0.836008,0.5051614,0.546401,-2.916359,1.11101,
-0.3609541,1.646271,0.4985929,0.8360246,0.5051429,0.5463278,-2.9168,1.111528,
-0.360267,1.646187,0.4986791,0.83595,0.5051081,0.5463362,-2.912679,1.114623,
-0.3596995,1.646049,0.4986429,0.8360888,0.5051372,0.5460882,-2.908616,1.116966,
-0.3591409,1.645929,0.4987065,0.8361018,0.5050811,0.5463037,-2.904855,1.118151,
-0.3585995,1.645926,0.4985665,0.8362154,0.5050533,0.5463171,-2.900885,1.119115,
