pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.764542,3.432766,1.764542,0,4.507173,0,
1.764542,3.432766,1.764542,0,4.507173,0,
1.764222,1.976205,2.814238,0,1.724349,3.399571,
1.717446,1.951151,2.738224,0,1.724175,3.39194,
1.724701,1.964031,2.730581,0,1.724061,3.393081,
1.72526,1.964896,2.73176,0,1.724135,3.394518,
1.725931,1.96577,2.732895,0,1.724057,3.395786,
1.726751,1.966805,2.734145,0,1.724034,3.397121,
1.727559,1.967598,2.736513,0,1.724045,3.399461,
1.728343,1.968427,2.738957,0,1.724026,3.401608,
1.729275,1.969269,2.741488,0,1.723975,3.403925,
1.730293,1.969977,2.745191,0,1.724166,3.407366,
1.731351,1.971141,2.828412,0,1.724387,3.48723,
1.748456,1.971322,2.82455,0,1.724411,3.488857,
1.749569,1.970809,2.825863,0,1.724466,3.490634,
1.75081,1.970285,2.82605,0,1.724434,3.491191,
1.751935,1.969568,2.826307,0,1.72446,3.491605,
1.752949,1.968878,2.826734,0,1.724243,3.492165,
1.753985,1.968025,2.826118,0,1.724141,3.491675,
1.754889,1.967079,2.825206,0,1.724154,3.490916,
1.755681,1.96607,2.824007,0,1.724112,3.489885,
1.756486,1.964989,2.822556,0,1.724038,3.48879,
1.757255,1.963991,2.820117,0,1.724079,3.486397,
1.758006,1.963075,2.817938,0,1.724138,3.484652,
1.758861,1.962034,2.814975,0,1.724013,3.482013,
1.759707,1.96108,2.811725,0,1.72409,3.479094,
1.760573,1.960139,2.808338,0,1.724433,3.476324,
1.761506,1.959253,2.804407,0,1.724459,3.472863,
1.762451,1.958338,2.800775,0,1.72446,3.469588,
1.763651,1.957219,2.79723,0,1.724535,3.466221,
1.764807,1.956155,2.793197,0,1.724541,3.462185,
1.766167,1.955111,2.789148,0,1.724462,3.458061,
1.767659,1.954328,2.785065,0,1.724297,3.453826,
1.769403,1.953496,2.781,0,1.724315,3.449435,
1.771268,1.952783,2.777115,0,1.724321,3.445199,
1.773284,1.952227,2.772404,0,1.724176,3.440236,
1.775388,1.951704,2.76821,0,1.724197,3.435548,
1.777422,1.950945,2.764127,0,1.724171,3.430765,
1.779451,1.950307,2.759623,0,1.724183,3.425645,
1.781612,1.949874,2.755594,0,1.724313,3.420791,
1.783677,1.948969,2.751522,0,1.72425,3.415886,
1.785792,1.948134,2.747759,0,1.724312,3.411069,
1.787755,1.947366,2.744419,0,1.724321,3.406795,
1.789665,1.946821,2.740776,0,1.724432,3.402056,
1.791383,1.946111,2.737423,0,1.724293,3.39762,
1.793063,1.945339,2.734173,0,1.724356,3.393364,
1.79476,1.944805,2.731221,0,1.724471,3.389514,
1.796269,1.944309,2.728295,0,1.724493,3.385939,
1.797765,1.943604,2.725541,0,1.724412,3.382417,
1.799133,1.942986,2.722973,0,1.724434,3.379242,
1.800316,1.942442,2.720486,0,1.724454,3.376209,
1.801457,1.941908,2.718197,0,1.724491,3.373418,
1.802329,1.94121,2.715891,0,1.724451,3.370627,
1.803496,1.940673,2.713661,0,1.724431,3.368199,
1.804147,1.939998,2.711893,0,1.724379,3.366459,
1.804622,1.939351,2.709908,0,1.724369,3.364731,
