chair to collider angle,table to collider angle,audience to collider angle,


60.31347,137.6601,60.31347,
60.31347,137.6601,60.31347,
60.18623,73.41321,128.7178,
25.56495,37.61255,121.9149,
27.62355,33.98552,123.6266,
27.74823,33.83768,123.7213,
27.87551,33.71046,123.8187,
27.97381,33.63873,123.8939,
28.04482,33.61102,123.9503,
28.11949,33.58069,124.0006,
28.16727,33.58527,124.0315,
28.19838,33.6349,124.0555,
28.25972,33.68062,124.1345,
31.26664,35.333,127.7163,
31.48621,35.58895,127.975,
31.77394,35.84444,128.2865,
32.07327,36.11126,128.5974,
32.40674,36.34543,128.937,
32.7695,36.6088,129.2937,
33.12597,36.88255,129.6391,
33.46282,37.17896,129.9583,
33.75907,37.4963,130.2339,
33.95649,37.84921,130.3834,
34.1146,38.18011,130.5036,
34.1423,38.5161,130.4748,
34.09622,38.86208,130.3639,
33.88597,39.20183,130.0964,
33.61431,39.52173,129.753,
33.45578,39.81243,129.5147,
33.28707,40.06947,129.2519,
33.16716,40.28772,129.0276,
33.05732,40.4767,128.8038,
32.94542,40.6118,128.5774,
32.83416,40.69931,128.3454,
32.75136,40.78173,128.1379,
32.71947,40.85936,127.9652,
32.76529,40.9061,127.8636,
32.90334,40.96231,127.8371,
33.11103,41.01329,127.8728,
33.46747,41.03904,128.0399,
33.89343,41.07726,128.2643,
34.37336,41.13783,128.5198,
34.83623,41.20594,128.7655,
35.26742,41.29505,128.9628,
35.58873,41.38348,129.0586,
35.82528,41.47765,129.0756,
35.97189,41.57148,129.012,
36.01677,41.69535,128.8544,
36.07077,41.8229,128.6963,
36.03082,41.9791,128.4499,
36.0103,42.1582,128.2143,
35.99136,42.3581,127.9702,
35.94156,42.6018,127.6799,
35.86986,42.85664,127.3577,
35.70267,43.17216,126.9468,
35.45277,43.52897,126.4456,
35.11292,43.91429,125.8607,
34.73934,44.31247,125.2485,
34.39426,44.69494,124.6784,
34.01067,45.09546,124.0699,
33.65222,45.47001,123.5272,
33.30761,45.86767,122.9569,
33.01926,46.27709,122.4333,
32.7772,46.71806,121.9714,
32.55647,47.20058,121.4968,
32.34171,47.71881,120.9873,
32.08328,48.26213,120.4672,
31.79165,48.82551,119.8903,
31.46039,49.4255,119.2859,
31.06965,50.02534,118.6348,
30.64853,50.63385,117.9605,
30.19738,51.22661,117.2671,
29.66321,51.80228,116.5689,
29.14948,52.37385,115.8749,
28.57758,52.9352,115.1378,
28.01027,53.53537,114.406,
27.45194,54.14391,113.6502,
26.9104,54.78738,112.9075,
26.37864,55.46137,112.1369,
25.84161,56.10818,111.3717,
25.28473,56.7519,110.6087,
24.71363,57.36338,109.8525,
24.15131,57.99291,109.0869,
23.55719,58.60288,108.3077,
22.95873,59.21397,107.5352,
22.38403,59.82182,106.7643,
21.81485,60.43471,105.9813,
21.23707,61.02091,105.2187,
20.733,61.62501,104.4525,
20.2834,62.22549,103.6781,
19.92453,62.81316,102.9505,
19.63033,63.38999,102.2437,
19.45276,63.9436,101.6051,
19.34565,64.48485,101.0075,
19.31501,65.02959,100.4311,
19.31991,65.56853,99.85113,
19.42324,66.10452,99.32243,
19.55652,66.63707,98.80061,
19.69345,67.16718,98.25213,
