pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,

1.46627,4.25934,1.46627,0,4.507173,0
,1.46627,4.25934,1.46627,0,4.507173,0
,2.685765,2.376587,2.484447,1.912205,1.590404,2.604794
,2.706474,2.393005,2.479791,2.489443,1.969653,2.026485
,2.711827,2.396878,2.477316,2.484806,1.964863,2.0273
,2.713551,2.398143,2.476058,2.474648,1.954608,2.028508
,2.714187,2.398503,2.47551,2.46981,1.949818,2.029576
,2.714713,2.39887,2.474963,2.465462,1.945947,2.031261
,2.715388,2.399105,2.474869,2.46131,1.942049,2.033617
,2.715789,2.399236,2.474268,2.457093,1.938413,2.035674
,2.715861,2.399516,2.47397,2.453012,1.935259,2.037776
,2.716125,2.399547,2.473809,2.449157,1.932249,2.040643
,2.717197,2.399286,2.472286,2.431833,1.931526,2.07992
,2.710813,2.38939,2.463841,2.433964,1.934272,2.081024
,2.710396,2.388966,2.463563,2.43905,1.940604,2.082664
,2.70934,2.387991,2.463028,2.441939,1.944308,2.08332
,2.708521,2.38649,2.462048,2.451577,1.955346,2.085219
,2.707318,2.385288,2.461367,2.459641,1.964386,2.085328
,2.706591,2.384016,2.461344,2.468863,1.973954,2.085965
,2.706492,2.383871,2.461055,2.469331,1.974345,2.085535
,2.705809,2.383026,2.460233,2.473837,1.979122,2.084962
,2.70463,2.382187,2.459779,2.477929,1.983921,2.084793
,2.704126,2.381481,2.459348,2.485414,1.991418,2.083942
,2.70382,2.38061,2.459014,2.489874,1.995772,2.083908
,2.703363,2.379834,2.458241,2.492801,1.999475,2.085207
,2.70241,2.37892,2.457432,2.496924,2.004143,2.084941
,2.702431,2.377966,2.456437,2.506134,2.013037,2.084103
,2.701279,2.375829,2.454515,2.509849,2.016682,2.083512
,2.699934,2.374571,2.453207,2.513495,2.020951,2.08305
,2.699226,2.373378,2.451883,2.517293,2.025284,2.083397
,2.698524,2.372132,2.450649,2.520891,2.02911,2.083455
,2.69795,2.370844,2.449423,2.524331,2.032765,2.083783
,2.696809,2.369386,2.447984,2.527827,2.036497,2.083155
,2.694789,2.366272,2.445102,2.532309,2.042372,2.085127
,2.693792,2.364871,2.443599,2.533905,2.045002,2.086582
,2.692808,2.363348,2.442187,2.532961,2.044873,2.088419
,2.691861,2.361719,2.440507,2.531935,2.044868,2.090544
,2.689625,2.359305,2.439758,2.53155,2.04591,2.093143
,2.688651,2.357739,2.438174,2.528903,2.044389,2.095718
,2.687599,2.356202,2.436408,2.525977,2.043033,2.09872
,2.686985,2.35516,2.434815,2.521957,2.040959,2.102892
,2.685941,2.353678,2.433626,2.518236,2.038776,2.106405
,2.684954,2.35211,2.432719,2.513528,2.035883,2.1111
,2.684213,2.351063,2.43168,2.509296,2.033404,2.115051
,2.683103,2.349595,2.430909,2.504281,2.030324,2.119728
,2.682037,2.348408,2.430477,2.498911,2.026825,2.124148
,2.680769,2.347218,2.429935,2.493238,2.022522,2.127221
,2.679694,2.345927,2.429451,2.487571,2.018857,2.131666
,2.679129,2.344938,2.429374,2.48303,2.015807,2.136193
,2.678711,2.343886,2.429034,2.478548,2.01168,2.138417
,2.677751,2.34286,2.428847,2.473496,2.008211,2.14233
,2.676827,2.341807,2.428954,2.467796,2.004141,2.146577
,2.676056,2.341034,2.428923,2.46345,2.001209,2.150056
,2.675143,2.340094,2.428822,2.458519,1.997766,2.153874
,2.674489,2.339569,2.428822,2.453094,1.993889,2.157321
,2.673434,2.338793,2.429072,2.447897,1.990292,2.160987
,2.672513,2.337969,2.429291,2.442996,1.986763,2.164441
,2.671947,2.337506,2.429274,2.437738,1.982713,2.167217
,2.670823,2.33721,2.429734,2.432301,1.979022,2.170203
,2.670141,2.336626,2.42988,2.427402,1.975251,2.173158
,2.670138,2.337039,2.431117,2.422434,1.971315,2.176148
,2.670005,2.336931,2.431718,2.418131,1.96757,2.178447
,2.669764,2.336854,2.431952,2.413789,1.963872,2.180121
,2.669759,2.337457,2.432959,2.409642,1.960487,2.181755
,2.669332,2.337916,2.433891,2.405756,1.957548,2.183136
,2.669636,2.338697,2.434911,2.402544,1.954862,2.184168
,2.670275,2.33961,2.43667,2.400025,1.952509,2.185804
,2.67,2.340665,2.43815,2.397313,1.950968,2.187003
,2.670783,2.341992,2.439404,2.395406,1.949184,2.187301
,2.671933,2.343305,2.440396,2.39364,1.947042,2.187069
,2.673165,2.344744,2.441705,2.392113,1.945342,2.187304
,2.675375,2.348099,2.443999,2.382789,1.931661,2.180167
,2.676349,2.349904,2.445402,2.384974,1.93511,2.181084
,2.677541,2.351649,2.446642,2.384801,1.934015,2.179108
,2.678805,2.353111,2.448519,2.384436,1.932712,2.178301
,2.679639,2.354705,2.449687,2.383196,1.931184,2.177172
,2.680799,2.356341,2.450972,2.382417,1.929567,2.175823
,2.681764,2.357956,2.452117,2.381495,1.928234,2.174839
,2.682678,2.359357,2.453061,2.380242,1.926104,2.17295
,2.683588,2.360723,2.454081,2.378679,1.92394,2.17169
,2.684453,2.36192,2.454216,2.377986,1.922409,2.169529
,2.685375,2.363074,2.455167,2.375997,1.919598,2.168597
,2.686087,2.36433,2.456212,2.375506,1.918044,2.166531
,2.686943,2.365249,2.456787,2.375314,1.916548,2.164103
,2.687815,2.366809,2.459006,2.376894,1.915493,2.158922
,2.687799,2.367045,2.459678,2.378351,1.915281,2.155388
,2.687539,2.367593,2.460486,2.380025,1.915897,2.152172
,2.68733,2.367874,2.460835,2.38236,1.916588,2.147625
,2.686856,2.367862,2.461595,2.385175,1.917446,2.142907
,2.686671,2.367842,2.462349,2.387392,1.917849,2.139251
,2.686082,2.367655,2.463122,2.389863,1.918602,2.135134
,2.685414,2.367106,2.463479,2.392464,1.919297,2.130973
,2.684547,2.366602,2.464061,2.395489,1.920919,2.127347
,2.683555,2.36591,2.46478,2.403247,1.923366,2.115095
,2.679978,2.362942,2.465708,2.406188,1.924222,2.110279
,2.678739,2.361649,2.466372,2.409492,1.925339,2.105979
,2.677623,2.360603,2.466609,2.411846,1.925655,2.101571
,2.675706,2.358392,2.467237,2.419846,1.929181,2.092059
,2.674217,2.357215,2.467606,2.423656,1.930862,2.086682
,2.670331,2.353542,2.468104,2.437885,1.938837,2.070797
,2.667655,2.350953,2.467902,2.447672,1.944371,2.059791
,2.664358,2.347966,2.467566,2.453299,1.94615,2.049966
,2.659031,2.34282,2.467474,2.454198,1.942171,2.039417
,2.655504,2.339171,2.467467,2.462883,1.94708,2.029767
,2.653798,2.33748,2.467349,2.465912,1.948731,2.025888
,2.648618,2.33226,2.466982,2.471935,1.950562,2.015548
,2.645277,2.328533,2.466315,2.473949,1.950216,2.010219
,2.644952,2.328439,2.466359,2.473383,1.950143,2.010825
,2.641365,2.324574,2.466165,2.472583,1.947802,2.008229
,2.63918,2.322414,2.465853,2.471908,1.946693,2.007177
,2.635646,2.318371,2.465674,2.471196,1.944926,2.006139
,2.633111,2.316156,2.465382,2.470912,1.944161,2.004328
,2.630875,2.313785,2.465307,2.470429,1.943876,2.005119
,2.628808,2.3114,2.465074,2.468925,1.94082,2.002984
,2.626505,2.309073,2.464734,2.467323,1.938676,2.002121
,2.624188,2.306558,2.463916,2.465214,1.936741,2.002656
,2.622093,2.303972,2.463696,2.462268,1.932667,2.002079
,2.617357,2.299137,2.463447,2.457691,1.927561,2.002288
,2.615119,2.296541,2.463303,2.455545,1.924049,2.000935
,2.605002,2.2862,2.462818,2.440951,1.908432,2.003598
,2.600153,2.281182,2.462653,2.433503,1.900349,2.004613
,2.59616,2.276907,2.462677,2.425347,1.890457,2.004887
,2.592736,2.273013,2.463044,2.417618,1.881013,2.005438
,2.592977,2.273558,2.463028,2.418015,1.881262,2.004556
,2.591287,2.271779,2.46288,2.414012,1.87649,2.004306
,2.589983,2.270463,2.462933,2.410494,1.871878,2.003762
,2.588363,2.269092,2.462965,2.407053,1.867551,2.003037
,2.586477,2.267325,2.463496,2.400047,1.857714,2.000338
,2.584867,2.266331,2.463521,2.396437,1.853222,1.998762
,2.584224,2.265587,2.46305,2.393255,1.848333,1.996492
,2.583205,2.26488,2.463628,2.390048,1.843779,1.994812
,2.583261,2.264838,2.463092,2.387103,1.839299,1.99273
,2.582658,2.264211,2.463033,2.384076,1.834365,1.990426
,2.582347,2.263809,2.462892,2.380259,1.828953,1.988982
,2.582069,2.263688,2.462874,2.376387,1.823775,1.987723
,2.582023,2.263256,2.463227,2.372768,1.81825,1.986664
,2.581693,2.262681,2.463001,2.369911,1.813363,1.98432
,2.581066,2.262161,2.462695,2.367533,1.808694,1.980612
,2.581019,2.261946,2.462092,2.365936,1.804998,1.97714
,2.580912,2.261393,2.461626,2.364844,1.801181,1.973208
,2.580552,2.260793,2.461116,2.363758,1.797789,1.969564
,2.580595,2.260298,2.460731,2.361971,1.793162,1.966107
,2.579714,2.258775,2.459732,2.357224,1.783754,1.960511
,2.579614,2.25794,2.458882,2.349193,1.77187,1.958136
,2.577886,2.256078,2.457135,2.345031,1.766819,1.957476
,2.576319,2.253644,2.455707,2.330446,1.749075,1.959402
,2.573132,2.250469,2.455775,2.314222,1.733759,1.968268
,2.569815,2.247203,2.454764,2.297831,1.718997,1.977664
,2.569856,2.247244,2.454649,2.295643,1.718295,1.980932
,2.568524,2.245665,2.454097,2.286627,1.710714,1.987482
,2.566817,2.243881,2.453826,2.278236,1.703724,1.993522
,2.565019,2.241993,2.453848,2.268785,1.696564,2.001772
,2.563191,2.239902,2.453741,2.259096,1.689366,2.010479
,2.561479,2.237796,2.454013,2.250159,1.683072,2.01982
,2.559074,2.235667,2.454088,2.231456,1.670893,2.038046
,2.555061,2.23192,2.454611,2.222988,1.665934,2.047126
,2.552985,2.230118,2.455225,2.214961,1.660849,2.055272
,2.551694,2.228734,2.455678,2.208145,1.656694,2.063069
