chair to collider angle,table to collider angle,audience to collider angle,


94.16969,158.7413,94.16969,
94.16969,158.7413,94.16969,
94.05842,158.8059,94.05842,
93.47157,161.8503,93.47157,
93.38834,161.9001,93.38834,
93.36039,161.9404,93.36039,
93.33186,161.9822,93.33186,
93.36388,162.0087,93.36388,
93.37434,162.0319,93.37434,
93.3522,162.0496,93.3522,
93.32368,162.0906,93.32368,
93.29618,162.1295,93.29618,
93.31437,162.1488,93.31437,
93.32122,162.1702,93.32122,
93.07557,162.5123,93.07557,
93.05388,162.49,93.05388,
93.01366,162.469,93.01366,
92.97983,162.4558,92.97983,
92.95979,162.4457,92.95979,
92.94455,162.4442,92.94455,
92.97238,162.4313,92.97238,
92.98266,162.4187,92.98266,
92.98154,162.4344,92.98154,
92.96634,162.4321,92.96634,
92.93946,162.4346,92.93946,
92.91702,162.4433,92.91702,
92.89816,162.4496,92.89816,
92.88223,162.4638,92.88223,
92.87849,162.4907,92.87849,
92.88774,162.5095,92.88774,
92.89427,162.5443,92.89427,
92.89076,162.5633,92.89076,
92.8936,162.5891,92.8936,
92.92929,162.6091,92.92929,
92.96265,162.6315,92.96265,
92.97801,162.6494,92.97801,
92.97343,162.6476,92.97343,
92.95643,162.6463,92.95643,
92.94124,162.6221,92.94124,
92.91815,162.5868,92.91815,
92.90201,162.5377,92.90201,
92.89003,162.49,92.89003,
92.8915,162.4395,92.8915,
92.90122,162.4007,92.90122,
92.92034,162.371,92.92034,
92.93703,162.361,92.93703,
92.9455,162.3468,92.9455,
92.92907,162.3636,92.92907,
92.91778,162.3691,92.91778,
92.92292,162.3736,92.92292,
92.92064,162.3809,92.92064,
92.91438,162.3851,92.91438,
92.88699,162.4042,92.88699,
92.89716,162.4185,92.89716,
92.90517,162.4463,92.90517,
92.91676,162.4637,92.91676,
92.9258,162.4903,92.9258,
92.93179,162.5214,92.93179,
92.93633,162.5418,92.93633,
92.95388,162.5753,92.95388,
92.97749,162.6031,92.97749,
93.00232,162.605,93.00232,
93.01347,162.6054,93.01347,
93.01929,162.5957,93.01929,
93.02867,162.5917,93.02867,
93.0419,162.563,93.0419,
93.06035,162.5304,93.06035,
93.08004,162.4834,93.08004,
93.0907,162.4574,93.0907,
93.09221,162.4143,93.09221,
93.08166,162.3967,93.08166,
93.05832,162.3867,93.05832,
93.04315,162.3905,93.04315,
93.02863,162.3902,93.02863,
93.00323,162.412,93.00323,
92.98115,162.4507,92.98115,
92.98097,162.5008,92.98097,
92.99003,162.555,92.99003,
92.98369,162.6172,92.98369,
92.98548,162.6788,92.98548,
92.976,162.7541,92.976,
92.96149,162.8089,92.96149,
92.97445,162.8707,92.97445,
92.97416,162.9462,92.97416,
92.97456,162.9968,92.97456,
92.972,163.0617,92.972,
92.97498,163.1253,92.97498,
92.9827,163.1663,92.9827,
93.00893,163.1994,93.00893,
93.02972,163.2065,93.02972,
93.05927,163.2286,93.05927,
93.09047,163.2396,93.09047,
93.13627,163.2482,93.13627,
93.18501,163.2595,93.18501,
93.24111,163.2428,93.24111,
93.25583,163.2223,93.25583,
93.25713,163.1961,93.25713,
93.25356,163.1702,93.25356,
93.2728,163.1317,93.2728,
