pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.881439,4.593539,1.881439,0,4.507173,0,
1.881439,4.593539,1.881439,0,4.507173,0,
1.820823,2.166229,3.292497,1.05532,1.727925,3.406308,
1.825363,2.171055,3.29246,1.864726,2.403655,3.133392,
1.826219,2.170404,3.293511,1.863578,2.403304,3.132337,
1.825876,2.170341,3.29361,1.862675,2.4033,3.131905,
1.825884,2.170129,3.293712,1.862303,2.403099,3.131642,
1.825909,2.169571,3.294281,1.861306,2.402243,3.13156,
1.825912,2.169494,3.294468,1.860663,2.400875,3.13232,
1.825948,2.169679,3.294351,1.86089,2.400799,3.132587,
1.826093,2.169338,3.299533,1.860746,2.392951,3.144053,
1.826339,2.16821,3.300897,1.861197,2.392353,3.145256,
1.826239,2.168083,3.301608,1.861637,2.391472,3.147143,
1.826246,2.168083,3.301819,1.862265,2.390446,3.148884,
1.826159,2.168012,3.302014,1.86255,2.389721,3.150024,
1.826112,2.167851,3.302296,1.862807,2.388872,3.151185,
1.826076,2.167727,3.302299,1.862824,2.388504,3.151438,
1.826299,2.167906,3.302582,1.862876,2.388316,3.151876,
1.826551,2.167813,3.302806,1.863419,2.389215,3.151504,
1.826034,2.167787,3.303047,1.863079,2.389763,3.151434,
1.825953,2.167759,3.303477,1.863338,2.390026,3.151934,
1.825748,2.167749,3.303766,1.863473,2.390673,3.152026,
1.825698,2.167676,3.304226,1.863774,2.391048,3.152454,
1.825621,2.16774,3.304161,1.863984,2.391593,3.152286,
1.825721,2.167856,3.303951,1.864214,2.392549,3.151504,
1.825712,2.167824,3.30394,1.864197,2.393365,3.150828,
1.825686,2.167862,3.304377,1.864077,2.393939,3.15087,
1.826007,2.167829,3.303765,1.864392,2.394402,3.149854,
1.825707,2.16766,3.304603,1.863835,2.394999,3.149914,
1.826157,2.167625,3.304321,1.864078,2.395627,3.148872,
1.826199,2.167425,3.304167,1.863842,2.396256,3.147724,
1.825804,2.167627,3.303699,1.863172,2.39676,3.146721,
1.825956,2.167617,3.303763,1.862936,2.3976,3.145705,
1.825834,2.167626,3.302885,1.86253,2.398251,3.144018,
1.825804,2.167495,3.302722,1.86218,2.398712,3.143059,
1.826176,2.1675,3.301676,1.86208,2.399151,3.141186,
1.826128,2.167409,3.299994,1.86168,2.39982,3.138562,
1.82563,2.167541,3.29896,1.860801,2.400746,3.136585,
1.825661,2.167592,3.297756,1.860213,2.401647,3.134189,
1.825454,2.167509,3.295663,1.859737,2.402433,3.131371,
1.825217,2.167494,3.293017,1.85886,2.403137,3.127877,
1.825293,2.167606,3.289556,1.858337,2.403654,3.123868,
1.824516,2.167464,3.284395,1.857007,2.404159,3.118061,
1.824106,2.167399,3.278383,1.856059,2.404607,3.111603,
1.824008,2.167376,3.271808,1.855322,2.40484,3.104659,
1.823066,2.167458,3.26362,1.85373,2.405018,3.096406,
1.822444,2.1675,3.255905,1.852451,2.405212,3.088609,
1.822104,2.167455,3.247986,1.851288,2.40509,3.080742,
1.820683,2.167599,3.238908,1.848913,2.404956,3.071903,
1.819747,2.167605,3.229472,1.846688,2.404513,3.062686,
