chair to collider angle,table to collider angle,audience to collider angle,


94.29942,90.8039,94.29942,
94.29942,90.8039,94.29942,
88.68906,137.0652,51.65759,
89.49809,136.1033,53.19688,
89.46275,136.0848,53.17871,
89.466,136.0792,53.2018,
89.44913,136.0583,53.19991,
89.39637,135.9689,53.21811,
89.37357,135.9079,53.24522,
89.37157,135.9028,53.24108,
89.37522,135.9033,53.27175,
89.19711,136.04,53.00975,
89.16698,136.0439,52.97776,
89.13715,136.0624,52.94282,
89.09584,136.0684,52.89896,
89.04276,136.0657,52.84393,
88.96256,136.0542,52.76307,
88.89982,136.0311,52.70905,
88.8442,136.036,52.64018,
88.78876,136.045,52.58228,
88.7397,136.0641,52.51536,
88.69557,136.0954,52.45044,
88.64783,136.102,52.39562,
88.59952,136.1088,52.34192,
88.5369,136.0923,52.28738,
88.46989,136.0754,52.23876,
88.4204,136.0607,52.2226,
88.38509,136.0544,52.1846,
88.31812,136.0226,52.1599,
88.27704,135.9934,52.126,
88.23679,135.988,52.07927,
88.19462,135.9531,52.05466,
88.12335,135.9115,52.00496,
88.06973,135.8777,51.96279,
87.99988,135.852,51.90077,
87.94645,135.8293,51.84063,
87.87186,135.8074,51.77291,
87.79364,135.8019,51.70437,
87.69321,135.7812,51.61874,
87.5685,135.7429,51.54131,
87.43595,135.7296,51.45163,
87.27272,135.7027,51.32095,
87.06557,135.6765,51.15557,
86.83793,135.6328,50.98461,
86.60035,135.5899,50.78598,
86.31558,135.5266,50.57687,
86.0122,135.4502,50.36176,
85.68694,135.3649,50.13255,
85.2747,135.2456,49.85899,
84.85346,135.1108,49.59425,
84.3657,134.9427,49.2619,
83.83758,134.7376,48.92547,
83.22451,134.5065,48.50626,
82.5677,134.2578,48.0532,
81.89585,134.0414,47.58255,
81.12245,133.8156,46.99292,
80.3609,133.5671,46.4102,
79.57584,133.3269,45.81883,
78.75224,133.0549,45.20514,
77.95473,132.8056,44.57067,
77.13989,132.5563,43.95386,
76.3631,132.3091,43.35316,
75.61052,132.0567,42.77962,
74.89195,131.8052,42.24144,
74.19633,131.5881,41.71783,
73.55136,131.4241,41.1869,
72.92679,131.2937,40.64212,
72.34811,131.2225,40.08851,
71.74619,131.1239,39.51479,
71.12917,131.031,38.91942,
70.49636,130.9522,38.25836,
69.83719,130.8393,37.56943,
69.09357,130.7187,36.77131,
68.29697,130.571,35.92866,
67.4647,130.3817,35.02454,
66.5731,130.1536,34.06977,
65.66666,129.9062,33.11563,
64.73488,129.6079,32.09785,
63.79469,129.3101,31.12581,
62.87342,128.9903,30.13453,
61.96573,128.6607,29.15356,
61.06421,128.3193,28.18291,
60.20102,127.9779,27.26019,
59.36411,127.6185,26.3706,
58.48689,127.2235,25.4996,
57.64691,126.8163,24.65114,
56.86216,126.439,23.82622,
56.07388,126.066,23.03101,
55.33838,125.6803,22.28003,
54.68616,125.3488,21.55509,
54.01146,124.9942,20.88645,
53.40929,124.6595,20.28191,
52.80626,124.3223,19.67817,
52.24055,123.9915,19.13246,
51.74112,123.7068,18.654,
51.29426,123.4412,18.18119,
50.81702,123.1625,17.76019,
50.37889,122.9062,17.33277,
50.00716,122.6718,16.93898,
