pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.85911,4.663784,1.85911,0,4.507173,0,
1.85911,4.663784,1.85911,0,4.507173,0,
1.855602,2.029872,1.859023,1.055683,1.727777,0,
1.862012,2.043799,3.015137,1.825938,1.929609,3.197432,
1.866176,2.046583,3.018725,1.826057,1.929602,3.199375,
1.868297,2.047547,3.023643,1.82618,1.929167,3.203528,
1.869789,2.048221,3.026619,1.826342,1.929276,3.205491,
1.872821,2.049825,3.033663,1.826391,1.929066,3.210998,
1.875945,2.051153,3.038176,1.826533,1.929319,3.213305,
1.876255,2.05115,3.043876,1.827436,1.929367,3.218763,
1.881799,2.052555,3.048041,1.827497,1.928813,3.219027,
1.881372,2.052483,3.04743,1.827685,1.928798,3.219047,
1.880011,2.052108,3.046318,1.827574,1.928273,3.219086,
1.878787,2.051721,3.045238,1.827612,1.927995,3.219145,
1.877602,2.05149,3.043605,1.827766,1.927563,3.219246,
1.875734,2.051075,3.03879,1.827607,1.927368,3.217472,
1.873978,2.050673,3.037859,1.827726,1.927141,3.217864,
1.87265,2.050313,3.036142,1.827952,1.926658,3.218019,
1.870585,2.049815,3.033439,1.828113,1.926658,3.217396,
1.868943,2.049427,3.031926,1.828192,1.926669,3.217297,
1.867531,2.049012,3.030155,1.82826,1.926444,3.217192,
1.86559,2.048507,3.028624,1.828248,1.925916,3.217439,
1.864078,2.048203,3.026745,1.828284,1.925622,3.21737,
1.862992,2.047666,3.02553,1.828306,1.925191,3.21751,
1.861273,2.047269,3.024343,1.828213,1.924665,3.217878,
1.860067,2.046967,3.023642,1.82829,1.923547,3.218753,
1.859338,2.046585,3.02268,1.828229,1.92317,3.218737,
1.857908,2.046172,3.022034,1.828048,1.922447,3.219228,
1.856872,2.045825,3.022322,1.828049,1.921492,3.220363,
1.856189,2.045575,3.021896,1.82797,1.921299,3.220601,
1.854877,2.045211,3.021557,1.827936,1.921127,3.221323,
1.854027,2.044827,3.021501,1.828164,1.920473,3.222338,
1.853739,2.044633,3.021596,1.828648,1.920248,3.223375,
1.85272,2.044309,3.021561,1.828793,1.920468,3.223823,
1.852111,2.044134,3.021729,1.829118,1.92072,3.224574,
1.851989,2.043853,3.022348,1.829501,1.920988,3.225443,
1.851114,2.043537,3.022503,1.829717,1.921472,3.225999,
1.850632,2.043206,3.023426,1.830147,1.921434,3.227182,
1.850615,2.042849,3.024146,1.830505,1.922161,3.227612,
1.849874,2.042485,3.024286,1.830675,1.92275,3.227806,
1.84954,2.042154,3.025391,1.830989,1.923256,3.228448,
1.84972,2.041821,3.021806,1.831213,1.924415,3.225958,
1.84905,2.041646,3.021765,1.831147,1.925753,3.225462,
1.848791,2.041377,3.021786,1.83135,1.926417,3.225241,
1.848909,2.040928,3.021676,1.831253,1.927865,3.22399,
1.848389,2.04068,3.021431,1.831142,1.928838,3.223166,
1.848138,2.040142,3.020768,1.831153,1.930127,3.221757,
1.848459,2.040185,3.020183,1.831217,1.931817,3.220104,
1.847939,2.039916,3.019274,1.831114,1.93334,3.218268,
1.847862,2.039391,3.018503,1.831224,1.934553,3.216692,
