chair to collider angle,table to collider angle,audience to collider angle,


73.0787,54.27396,73.0787,
73.0787,54.27396,73.0787,
53.15388,125.2289,73.03086,
58.03261,128.7046,24.79117,
60.46101,130.2518,27.2498,
61.56801,130.8915,28.49569,
62.26886,131.2833,29.26586,
64.38878,132.4148,31.70795,
66.32548,133.3272,33.95013,
66.44907,133.3428,34.18979,
69.66095,134.8619,37.70572,
69.19922,134.6709,37.16249,
68.52941,134.4082,36.39799,
67.75245,134.0979,35.48528,
66.82081,133.7309,34.32815,
65.81568,133.3271,33.07659,
64.73433,132.8767,31.74051,
63.66208,132.382,30.40731,
62.53044,131.8307,29.05388,
61.50193,131.2964,27.81778,
60.45023,130.721,26.5382,
59.43744,130.1761,25.32326,
58.51153,129.6612,24.17639,
57.6614,129.176,23.08611,
56.85578,128.7069,22.11046,
56.12992,128.253,21.24665,
55.44071,127.7967,20.40195,
54.79642,127.3961,19.63441,
54.2135,127.0145,18.92778,
53.68717,126.652,18.27173,
53.17979,126.3332,17.67625,
52.71189,126.0018,17.14177,
52.3101,125.7053,16.65254,
51.89535,125.419,16.20784,
51.52864,125.1528,15.77659,
51.21845,124.9219,15.39327,
50.92508,124.7414,15.01823,
50.64495,124.5363,14.70835,
50.3902,124.3255,14.4583,
50.07213,124.078,14.21294,
49.81372,123.8623,13.99797,
49.57864,123.6612,13.76493,
49.32209,123.4723,13.54354,
49.10996,123.305,13.33589,
48.91502,123.1306,13.15348,
48.68096,122.9592,12.93994,
48.5114,122.8479,12.69541,
48.28202,122.642,12.4857,
47.99289,122.4085,12.28047,
47.70048,122.1574,12.07083,
47.42396,121.9064,11.8578,
47.12693,121.6743,11.64283,
46.87643,121.4659,11.4342,
46.6749,121.2794,11.25223,
46.4241,121.0854,11.06504,
46.18864,120.8886,10.85776,
45.94708,120.6722,10.62705,
45.65105,120.4399,10.39644,
45.35991,120.206,10.14038,
45.1256,119.9928,9.933512,
44.85295,119.7812,9.745056,
44.61568,119.5784,9.59657,
44.41499,119.3946,9.408637,
44.17302,119.2053,9.22882,
43.92586,118.9898,9.075778,
43.65563,118.7339,8.944678,
43.35511,118.4818,8.835312,
43.07533,118.2365,8.751157,
42.81743,117.9861,8.655125,
42.52168,117.7383,8.568641,
42.25938,117.5052,8.504522,
42.02285,117.2772,8.449152,
41.73433,117.0322,8.419839,
41.45263,116.7673,8.428115,
41.15506,116.4726,8.438919,
40.78888,116.1406,8.521409,
40.50724,115.8878,8.469975,
40.20438,115.6204,8.409103,
39.81874,115.2529,8.539597,
39.41802,114.8749,8.701432,
39.02271,114.48,8.908871,
38.54126,114.04,9.183846,
38.08971,113.6105,9.455421,
37.64029,113.1708,9.705512,
37.13852,112.7131,10.00443,
36.58512,112.1832,10.39601,
36.07057,111.6793,10.75481,
35.46605,111.123,11.18984,
34.8559,110.5372,11.66167,
34.20852,109.9055,12.16967,
33.58356,109.3089,12.642,
32.94289,108.7006,13.13484,
32.26144,108.0364,13.71949,
31.51399,107.3391,14.3526,
30.70058,106.5663,15.10354,
29.87267,105.7685,15.86648,
29.06872,104.9907,16.61797,
28.3261,104.2505,17.32328,
27.58657,103.549,17.97048,
26.90291,102.884,18.59507,
