pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.834091,4.540204,1.834091,0,4.507173,0,
1.834091,4.540204,1.834091,0,4.507173,0,
1.83414,4.540313,1.83414,0,4.507173,0,
1.889475,4.559811,1.889475,1.233425,4.780658,1.233425,
1.888077,4.558186,1.888077,1.231883,4.780628,1.231883,
1.887788,4.557551,1.887788,1.231491,4.780595,1.231491,
1.8875,4.557275,1.8875,1.231079,4.780566,1.231079,
1.886598,4.556203,1.886598,1.22929,4.780352,1.22929,
1.88608,4.554982,1.88608,1.227552,4.780105,1.227552,
1.886029,4.554803,1.886029,1.229805,4.776428,1.229805,
1.877955,4.5441,1.877955,1.229401,4.776476,1.229401,
1.877623,4.543869,1.877623,1.229471,4.776503,1.229471,
1.877341,4.543437,1.877341,1.229292,4.776489,1.229292,
1.877007,4.543292,1.877007,1.229253,4.776303,1.229253,
1.876751,4.543118,1.876751,1.22924,4.775674,1.22924,
1.876427,4.542988,1.876427,1.229033,4.775514,1.229033,
1.876329,4.542937,1.876329,1.22877,4.775377,1.22877,
1.876,4.54287,1.876,1.228897,4.774919,1.228897,
1.875838,4.542979,1.875838,1.22876,4.774447,1.22876,
1.87569,4.542973,1.87569,1.228661,4.773884,1.228661,
1.875645,4.543135,1.875645,1.228634,4.772924,1.228634,
1.875718,4.543399,1.875718,1.22847,4.77233,1.22847,
1.87555,4.54364,1.87555,1.22822,4.771845,1.22822,
1.87531,4.543924,1.87531,1.228096,4.770918,1.228096,
1.875204,4.544151,1.875204,1.227783,4.770286,1.227783,
1.875149,4.544491,1.875149,1.227371,4.769647,1.227371,
1.875087,4.544721,1.875087,1.227064,4.769058,1.227064,
1.874935,4.545184,1.874935,1.226705,4.768368,1.226705,
1.874844,4.545471,1.874844,1.226461,4.767541,1.226461,
1.874749,4.545769,1.874749,1.226301,4.766793,1.226301,
1.874634,4.54613,1.874634,1.226236,4.765869,1.226236,
1.874454,4.546412,1.874454,1.22633,4.764914,1.22633,
1.874213,4.54672,1.874213,1.226388,4.763691,1.226388,
1.873979,4.54704,1.873979,1.226716,4.762624,1.226716,
1.873681,4.547338,1.873681,1.226751,4.761851,1.226751,
1.87335,4.547649,1.87335,1.227164,4.760288,1.227164,
1.873014,4.548114,1.873014,1.227664,4.759302,1.227664,
1.872672,4.548425,1.872672,1.228251,4.758209,1.228251,
1.872425,4.548697,1.872425,1.228978,4.757446,1.228978,
1.8721,4.548815,1.8721,1.229714,4.756419,1.229714,
1.871661,4.549016,1.871661,1.230449,4.755508,1.230449,
1.871167,4.54925,1.871167,1.231416,4.754487,1.231416,
1.870507,4.549376,1.870507,1.232414,4.753323,1.232414,
1.86976,4.549735,1.86976,1.233437,4.752174,1.233437,
1.868958,4.550126,1.868958,1.234469,4.75069,1.234469,
1.868234,4.550469,1.868234,1.235411,4.749565,1.235411,
1.86769,4.550935,1.86769,1.236368,4.748435,1.236368,
1.86712,4.551309,1.86712,1.237476,4.747936,1.237476,
1.866709,4.551702,1.866709,1.238331,4.747075,1.238331,
1.866294,4.551952,1.866294,1.239176,4.746229,1.239176,
1.865879,4.55223,1.865879,1.23999,4.745345,1.23999,
