chair to collider angle,table to collider angle,audience to collider angle,


111.7993,70.41993,111.7993,
111.7993,70.41993,111.7993,
96.68842,159.7864,49.57834,
62.11222,117.0604,20.52621,
63.18732,117.6273,21.74877,
63.28409,117.653,21.84261,
63.38879,117.7027,21.92632,
63.48978,117.7405,22.0168,
63.6036,117.7858,22.12877,
63.71994,117.8474,22.22874,
63.82424,117.8976,22.33362,
63.92026,117.9604,22.47007,
68.59667,122.0234,25.93864,
68.9547,122.4341,26.12332,
69.29782,122.835,26.30959,
69.58703,123.1849,26.45749,
69.85692,123.5077,26.60454,
70.08651,123.7792,26.73774,
70.31021,124.0638,26.85345,
70.5284,124.3867,26.91858,
70.79243,124.7652,27.01567,
71.06122,125.171,27.10782,
71.38626,125.6349,27.24607,
71.68253,126.0749,27.36791,
71.97983,126.5368,27.48342,
72.2688,127.0428,27.55581,
72.50713,127.5323,27.55128,
72.67592,127.9946,27.47653,
72.79828,128.4277,27.35653,
72.87199,128.8279,27.19116,
72.94875,129.2247,27.04654,
73.02941,129.6173,26.92165,
73.07587,129.991,26.76124,
73.10181,130.3527,26.5987,
73.06403,130.6405,26.40167,
72.98856,130.8636,26.1959,
72.87215,131.0189,25.97181,
72.7583,131.1685,25.76405,
72.6709,131.314,25.61116,
72.61012,131.5097,25.49128,
72.55726,131.6959,25.3955,
72.50314,131.8587,25.33044,
72.4253,131.9568,25.27404,
72.35629,132.0412,25.21989,
72.30397,132.1324,25.20398,
72.2419,132.2054,25.19232,
72.18768,132.2789,25.19391,
72.14468,132.3569,25.21077,
72.11865,132.4126,25.24796,
72.14539,132.5159,25.32677,
72.22231,132.6607,25.46684,
72.32965,132.823,25.64849,
72.4478,133.0032,25.83557,
72.55984,133.1651,26.02416,
72.6389,133.2906,26.18259,
72.69536,133.3839,26.30326,
72.7843,133.4961,26.44401,
72.90923,133.6447,26.62404,
73.10583,133.8651,26.88494,
73.33042,134.1167,27.19848,
73.52579,134.3446,27.50026,
73.69791,134.544,27.77578,
73.82919,134.6964,28.00377,
73.93216,134.8149,28.18733,
74.03233,134.9213,28.35488,
74.17358,135.072,28.56222,
74.34675,135.2469,28.8358,
74.53405,135.4383,29.10898,
74.73974,135.6416,29.40658,
74.9329,135.8333,29.67714,
75.1256,136.0165,29.91842,
75.33601,136.2153,30.1654,
75.56165,136.4336,30.42837,
75.82442,136.6768,30.71398,
76.14057,136.9747,31.05839,
76.50301,137.3135,31.45713,
76.86244,137.6478,31.83519,
77.22585,137.9835,32.19709,
77.57294,138.3047,32.53351,
77.91505,138.6181,32.84711,
78.2434,138.9275,33.1529,
78.58879,139.2357,33.49271,
78.90541,139.5282,33.8036,
79.24113,139.8384,34.13148,
79.55766,140.1243,34.44881,
79.85209,140.397,34.72516,
80.13715,140.6545,34.98375,
80.39606,140.8874,35.22588,
80.6601,141.1333,35.47931,
80.88624,141.3419,35.70613,
81.12757,141.5574,35.95724,
81.35038,141.7622,36.18205,
81.57714,141.971,36.39611,
81.80107,142.17,36.59489,
81.99213,142.324,36.74326,
82.17799,142.4803,36.88385,
82.35435,142.6239,37.03016,
82.52656,142.7754,37.17562,
82.69113,142.9074,37.32635,
