user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.3951393,1.749767,-3.876983,2.05678,0,0,0,0,
-0.3951393,1.749767,-3.876983,2.05678,0,0,0,0,
-0.3927374,1.749625,-0.5530195,0.8987904,-1.86819,0.5838265,-1.337834,1.134652,
-0.2669757,1.671824,-0.5529618,0.8986712,-1.868162,0.5838752,-1.330462,1.13379,
-0.2656016,1.671563,-0.5529696,0.898724,-1.86817,0.5838706,-1.329994,1.134123,
-0.265428,1.671487,-0.5530808,0.8986919,-1.868278,0.5838048,-1.329382,1.134501,
-0.2654546,1.671381,-0.5532412,0.8986874,-1.868394,0.5838344,-1.328749,1.13475,
-0.2652404,1.671337,-0.5532767,0.8987008,-1.868423,0.5838578,-1.327878,1.13524,
-0.2650597,1.671376,-0.5532377,0.8986866,-1.868442,0.5838423,-1.327201,1.135826,
-0.2649063,1.671259,-0.5532334,0.8987443,-1.868422,0.5838621,-1.326346,1.136499,
-0.2647057,1.671239,-0.5532603,0.8987124,-1.868448,0.5838037,-1.325768,1.137221,
-0.2644981,1.671187,-0.5529746,0.8989106,-1.868349,0.5838251,-1.312826,1.150665,
-0.2554143,1.67688,-0.5530533,0.8989111,-1.868363,0.5837591,-1.312818,1.150418,
-0.2548893,1.677521,-0.5527741,0.8988976,-1.868051,0.5837457,-1.312097,1.15016,
-0.2543793,1.678273,-0.5527351,0.8989809,-1.868016,0.5837164,-1.31179,1.149907,
-0.2540646,1.679099,-0.5527452,0.8990477,-1.86807,0.5838082,-1.311567,1.149562,
-0.2535772,1.67974,-0.5528647,0.8990651,-1.868179,0.5838215,-1.311308,1.149085,
-0.2531132,1.68044,-0.5528433,0.8988731,-1.868179,0.5836985,-1.311154,1.148615,
-0.2526889,1.681181,-0.5528196,0.8988916,-1.868145,0.5837004,-1.310957,1.147972,
-0.2523136,1.682127,-0.5529007,0.8988693,-1.868188,0.5836949,-1.310898,1.147206,
-0.2519755,1.683064,-0.5528899,0.8988651,-1.86818,0.5837226,-1.311037,1.146648,
-0.2516029,1.68399,-0.5529248,0.898839,-1.868207,0.5837045,-1.31119,1.146146,
-0.251398,1.685035,-0.5531218,0.8988364,-1.868324,0.5837171,-1.311312,1.145764,
-0.2510225,1.686097,-0.5531363,0.8988717,-1.868214,0.5837235,-1.311476,1.145589,
-0.2506843,1.687236,-0.5530184,0.8988986,-1.868215,0.583724,-1.311702,1.145265,
-0.2505318,1.68842,-0.5530958,0.8989058,-1.868295,0.5837498,-1.312134,1.145192,
-0.2505096,1.689752,-0.553115,0.8988147,-1.868299,0.583715,-1.312319,1.145036,
-0.25063,1.691212,-0.5530146,0.8988444,-1.868214,0.5838134,-1.312589,1.144963,
-0.2508147,1.692614,-0.5530835,0.8988456,-1.868292,0.5838404,-1.312949,1.144919,
-0.2511846,1.694023,-0.5530817,0.8992642,-1.86826,0.5839989,-1.313387,1.144949,
-0.2515137,1.695339,-0.5531088,0.8992386,-1.868282,0.5839479,-1.313792,1.144785,
-0.2518242,1.696733,-0.553116,0.8992819,-1.86831,0.5839694,-1.314229,1.144716,
-0.2523009,1.698263,-0.5531432,0.8989887,-1.868279,0.5838997,-1.31467,1.144654,
