pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.698435,4.138868,1.698435,0,4.507173,0,
1.698435,4.138868,1.698435,0,4.507173,0,
2.021773,1.498182,2.800433,1.76529,1.557534,2.754586,
1.952694,1.476781,2.868374,1.629178,1.263166,2.95029,
1.961354,1.468962,2.880791,1.631691,1.260376,2.954221,
1.962594,1.468197,2.88355,1.636204,1.256189,2.960727,
1.96314,1.467639,2.885133,1.638435,1.253907,2.964207,
1.963744,1.467184,2.886289,1.640576,1.251413,2.967144,
1.965377,1.466164,2.889555,1.647551,1.245019,2.975887,
1.966471,1.465533,2.884664,1.666865,1.226425,2.990606,
1.97006,1.465313,2.884943,1.666482,1.227001,2.989804,
1.969998,1.46516,2.883847,1.666346,1.227113,2.98896,
1.969917,1.465202,2.882862,1.666103,1.226953,2.988267,
1.969798,1.465353,2.881572,1.665563,1.227508,2.987041,
1.969438,1.465886,2.880216,1.665021,1.228438,2.985847,
1.969364,1.466003,2.879107,1.664633,1.228642,2.984989,
1.969112,1.466356,2.878023,1.663633,1.229559,2.983769,
1.968827,1.466791,2.876977,1.662943,1.230644,2.982916,
1.968473,1.46735,2.876284,1.662251,1.231321,2.982403,
1.968132,1.467781,2.875691,1.661072,1.232376,2.981331,
1.967991,1.467944,2.874904,1.660222,1.233345,2.980546,
1.967647,1.468344,2.874484,1.659285,1.233792,2.979932,
1.967323,1.468881,2.873969,1.658496,1.234439,2.979429,
1.966943,1.469654,2.873271,1.657312,1.235934,2.978446,
1.966218,1.471156,2.871474,1.654288,1.238536,2.97563,
1.965964,1.472049,2.870231,1.651867,1.240719,2.972222,
1.966047,1.472137,2.870227,1.651247,1.241235,2.971322,
1.96601,1.472861,2.869337,1.65019,1.242584,2.969802,
1.966068,1.47322,2.868861,1.648966,1.243696,2.968079,
1.96615,1.473816,2.868341,1.647218,1.245029,2.96578,
1.966384,1.474332,2.868049,1.645473,1.246713,2.963309,
1.966411,1.47594,2.867193,1.64238,1.249388,2.958386,
1.966405,1.476782,2.867015,1.639211,1.252243,2.954881,
1.966392,1.47674,2.867294,1.638746,1.252762,2.955039,
1.966629,1.477088,2.86716,1.637116,1.254625,2.953703,
1.966609,1.477348,2.867271,1.63552,1.256102,2.952607,
1.966684,1.47762,2.867512,1.633893,1.257337,2.951707,
1.966789,1.477929,2.86784,1.632285,1.259201,2.950762,
1.966916,1.478548,2.86877,1.62678,1.264312,2.948088,
1.967006,1.478818,2.869402,1.62331,1.267794,2.947014,
1.967258,1.479388,2.870166,1.618569,1.272857,2.944554,
1.967243,1.479631,2.87011,1.618546,1.272565,2.944563,
1.96748,1.479869,2.870418,1.616933,1.274276,2.943683,
1.967922,1.479947,2.870935,1.615052,1.27638,2.942421,
1.968238,1.480008,2.871281,1.613247,1.278165,2.94118,
1.968558,1.480204,2.871742,1.611367,1.279722,2.939914,
1.968603,1.480548,2.871895,1.609483,1.281904,2.938453,
1.969193,1.4811,2.87435,1.603578,1.287568,2.935501,
1.969287,1.481407,2.876682,1.599887,1.291542,2.934606,
1.969431,1.481763,2.879339,1.597037,1.294227,2.934832,
