chair to collider angle,table to collider angle,audience to collider angle,


74.74152,47.93478,74.74152,
74.74152,47.93478,74.74152,
37.17268,131.8949,20.39052,
2.577622,115.2158,48.01061,
1.554693,115.2608,49.40706,
1.55658,115.2913,49.60445,
1.556203,115.2854,49.7057,
1.565606,115.2491,49.81033,
1.657412,115.2422,50.08558,
1.805261,115.2703,49.68172,
2.87746,116.3093,48.05644,
2.921613,116.3274,47.86139,
2.977627,116.3113,47.66642,
3.071986,116.3366,47.44868,
3.161617,116.3677,47.24825,
3.259426,116.3705,47.06404,
3.379045,116.3864,46.86849,
3.494071,116.4294,46.70166,
3.605109,116.442,46.55545,
3.709296,116.4492,46.4206,
3.815621,116.4859,46.30855,
3.934973,116.4819,46.17815,
4.078424,116.5293,46.06271,
4.245932,116.6017,45.90868,
4.730772,116.7651,45.49218,
5.020983,116.9314,45.28302,
5.042166,116.979,45.2888,
5.267787,117.1478,45.12931,
5.5218,117.3235,44.92793,
5.856384,117.5199,44.63443,
6.210725,117.7394,44.31298,
7.248817,118.3348,43.30268,
8.043494,118.7018,42.46387,
8.160653,118.7142,42.32029,
8.636768,118.9127,41.83332,
9.128733,119.0961,41.32521,
9.614702,119.221,40.82022,
10.10089,119.3329,40.29908,
11.55144,119.4855,38.75878,
12.73815,119.4721,37.49326,
14.0283,119.5296,36.14499,
14.12544,119.4984,36.02821,
14.82371,119.4712,35.2809,
15.56049,119.4869,34.49245,
16.30181,119.5194,33.70214,
17.00189,119.5156,32.95501,
17.63668,119.53,32.28403,
19.24851,119.4901,30.57403,
19.93504,119.4505,29.86002,
20.68038,119.3796,29.11547,
20.59789,119.363,29.2148,
20.9864,119.3312,28.84379,
21.36227,119.3237,28.48257,
21.71301,119.2785,28.15249,
22.87017,119.2689,27.04708,
23.86072,119.473,26.09491,
23.96033,119.6114,25.99943,
24.4602,119.7206,25.51968,
24.94382,119.8306,25.054,
25.41428,119.9356,24.60556,
25.87762,120.031,24.16463,
26.37147,120.1575,23.69436,
26.84568,120.3112,23.24413,
28.11303,120.7308,22.04781,
28.71687,121.0087,21.49786,
28.6806,121.0399,21.53449,
29.08848,121.2329,21.15856,
29.50192,121.3679,20.77727,
29.90439,121.5434,20.41077,
30.3039,121.7644,20.04619,
31.44275,122.3609,19.02625,
32.32471,122.68,18.2071,
33.34799,122.9845,17.26453,
34.32296,123.2066,16.38941,
35.22813,123.3195,15.53309,
36.47435,123.4151,14.33773,
36.66822,123.4337,14.15353,
37.38355,123.5234,13.49074,
39.54362,123.7553,11.53087,
41.32807,123.8307,9.917821,
41.54848,123.8533,9.728073,
42.48185,123.9186,8.929091,
45.1268,124.0339,6.81037,
46.902,123.8917,5.463537,
48.74521,123.6863,4.378599,
48.68222,123.6779,4.401219,
49.40939,123.62,4.160854,
51.43491,123.4649,4.140424,
52.50444,123.3024,4.493311,
52.37963,123.3236,4.456544,
52.92086,123.2964,4.730357,
53.44497,123.2884,5.062021,
54.88911,123.2393,6.133827,
55.708,123.2852,6.867185,
56.43002,123.3397,7.56639,
56.26155,123.403,7.482938,
56.49214,123.4433,7.73822,
56.67142,123.5164,8.011312,
57.06089,123.6752,8.500919,
