user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1157269,1.694487,-3.876983,2.05678,0,0,0,0,
0.1157269,1.694487,-3.876983,2.05678,0,0,0,0,
0.117304,1.694824,0.5190177,0.8672359,0.194035,0.5540459,-2.001024,0.9173784,
0.2491999,1.641239,0.5189013,0.8677554,0.1938223,0.5546238,-1.986712,0.9589211,
0.2566138,1.643097,0.519165,0.8674307,0.1938835,0.5546479,-1.986656,0.9611821,
0.2572542,1.643586,0.5190006,0.8677254,0.1938316,0.5545855,-1.986185,0.9654794,
0.2576354,1.643738,0.5189935,0.8677509,0.1939271,0.5546596,-1.986275,0.9675421,
0.2579194,1.643953,0.5192256,0.8673594,0.1939476,0.5545795,-1.985946,0.9693146,
0.2589016,1.644494,0.5190275,0.8676867,0.1939168,0.5545428,-1.984555,0.9743378,
0.2593268,1.644806,0.5191367,0.8673842,0.1939253,0.5544705,-1.957114,0.9868135,
0.2577345,1.647704,0.5191252,0.8674047,0.1938844,0.5548124,-1.95573,0.9877089,
0.2573219,1.647736,0.5189976,0.8678633,0.1937952,0.5548129,-1.954401,0.9882236,
0.2569396,1.647705,0.5192311,0.8674724,0.1939215,0.5548313,-1.953215,0.9887421,
0.2564676,1.647679,0.5192292,0.8674896,0.1939282,0.5548563,-1.95212,0.9891732,
0.2559978,1.647585,0.5190573,0.8676454,0.1938708,0.5548794,-1.950983,0.989727,
0.2554618,1.647472,0.519188,0.867306,0.1938042,0.5548401,-1.950278,0.9903734,
0.2550618,1.647489,0.5191826,0.867327,0.1938182,0.5546131,-1.949522,0.9909467,
0.2546165,1.64747,0.518965,0.8676769,0.1938185,0.5545874,-1.94904,0.9917283,
0.2542797,1.647615,0.5189471,0.867696,0.1938828,0.5545952,-1.949061,0.9926215,
0.2539921,1.647659,0.5190645,0.8674626,0.1938522,0.5548258,-1.949211,0.993798,
0.2535786,1.647812,0.5189021,0.8679359,0.1938556,0.5548649,-1.949441,0.9948502,
0.2533869,1.647966,0.5191376,0.867571,0.1939595,0.5549455,-1.949892,0.9958193,
0.2530454,1.648124,0.5191195,0.8676009,0.1939922,0.5547433,-1.950875,0.99661,
0.2526779,1.648283,0.5189579,0.8677382,0.1939495,0.5547693,-1.951437,0.9974295,
0.2514292,1.648828,0.5187339,0.8673667,0.1935831,0.5545771,-1.95382,0.9987856,
0.2511633,1.649292,0.5190864,0.8672512,0.1937772,0.5545418,-1.954643,0.9987967,
0.2513186,1.649474,0.5190799,0.867263,0.1937906,0.554394,-1.954497,0.9983236,
0.2510512,1.649937,0.518941,0.8674929,0.1940306,0.5544062,-1.954572,0.9983579,
0.250785,1.650281,0.5189285,0.8675025,0.1940657,0.5543637,-1.954695,0.9980142,
0.2503103,1.650807,0.5191877,0.8671794,0.1941024,0.5542171,-1.954316,0.9968075,
0.2498792,1.651521,0.5190787,0.8673908,0.1940534,0.5542643,-1.954032,0.9958271,
0.2484654,1.652781,0.5192571,0.8670443,0.1940232,0.554383,-1.952125,0.9909611,
0.2473255,1.653493,0.5192748,0.8670394,0.1938865,0.5543549,-1.951042,0.9872185,
