pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.069054,3.11497,2.069054,0,4.507173,0,
2.069054,3.11497,2.069054,0,4.507173,0,
1.731054,2.339201,1.379251,1.962739,1.58274,2.705103,
1.803354,2.337672,1.475063,2.788663,4.191054,1.578695,
1.81081,2.327971,1.493987,2.788629,4.19105,1.576727,
1.810419,2.32729,1.494629,2.788691,4.191183,1.575198,
1.81002,2.326666,1.494923,2.788687,4.19118,1.573548,
1.809653,2.32622,1.495157,2.788718,4.191283,1.572024,
1.809304,2.325663,1.495579,2.788856,4.191399,1.570685,
1.808566,2.325284,1.494688,2.788788,4.19141,1.569714,
1.807992,2.324817,1.494134,2.788893,4.19142,1.568668,
1.807119,2.32447,1.492792,2.788806,4.191317,1.567707,
1.806205,2.323966,1.482005,2.788795,4.191244,1.555061,
1.796888,2.321712,1.472787,2.788621,4.191097,1.554217,
1.797253,2.321459,1.473057,2.78863,4.191074,1.55355,
1.798014,2.321657,1.473331,2.788603,4.19104,1.552878,
1.798079,2.321398,1.473182,2.788711,4.191162,1.552453,
1.798191,2.321157,1.472883,2.788704,4.191102,1.55188,
1.798721,2.321543,1.47255,2.788697,4.191067,1.551484,
1.798836,2.321446,1.472355,2.788783,4.191164,1.551256,
1.799157,2.321417,1.472154,2.7888,4.191151,1.550942,
1.799696,2.321785,1.47203,2.788777,4.191211,1.550857,
1.800025,2.321788,1.471968,2.788841,4.191308,1.551095,
1.800351,2.321745,1.471738,2.78879,4.191308,1.551327,
1.801135,2.321979,1.471883,2.788812,4.191268,1.551518,
1.801529,2.321895,1.471743,2.788718,4.191125,1.551561,
1.802271,2.321896,1.471882,2.788769,4.191102,1.551822,
1.80335,2.322304,1.472388,2.78874,4.191163,1.5519,
1.804553,2.322446,1.473027,2.788857,4.191216,1.55214,
1.805702,2.322503,1.473951,2.788824,4.191259,1.552257,
1.807307,2.322827,1.475247,2.788761,4.191241,1.552331,
1.808279,2.322428,1.476589,2.788775,4.191252,1.552513,
1.809192,2.321848,1.477757,2.788842,4.191227,1.552507,
1.810113,2.321569,1.478877,2.788877,4.19126,1.552533,
1.810697,2.32073,1.480048,2.788986,4.191357,1.552375,
1.811071,2.319937,1.481366,2.788905,4.191419,1.552241,
1.811964,2.319438,1.482843,2.789,4.191347,1.552067,
1.812653,2.318733,1.484363,2.788772,4.19118,1.551582,
1.813281,2.317945,1.485975,2.788797,4.191165,1.55116,
1.814436,2.317723,1.487857,2.788749,4.1912,1.550813,
1.815139,2.317159,1.489472,2.788713,4.191202,1.550571,
1.815901,2.316695,1.491037,2.788706,4.191235,1.550407,
1.816918,2.316517,1.492669,2.788666,4.191252,1.55016,
1.817585,2.315886,1.494283,2.788662,4.19125,1.549956,
1.818123,2.315167,1.495979,2.788467,4.191261,1.549694,
1.819339,2.314636,1.497887,2.788422,4.190931,1.549575,
1.820235,2.313947,1.499771,2.788513,4.190925,1.549652,
1.821173,2.313633,1.50165,2.788561,4.191136,1.549759,
1.822389,2.313536,1.503439,2.78855,4.191091,1.54986,
1.82308,2.312834,1.505126,2.788674,4.19113,1.550118,
