chair to collider angle,table to collider angle,audience to collider angle,


81.81274,83.62287,81.81274,
81.81274,83.62287,81.81274,
76.54925,115.1463,50.29984,
117.863,161.8189,70.51023,
124.3423,161.0935,78.17656,
124.3064,160.6593,78.22202,
124.2354,160.2636,78.2149,
124.0943,159.8776,78.14221,
123.9037,159.5383,77.99731,
123.5894,159.1915,77.73232,
123.2011,158.7857,77.41482,
122.667,158.3016,76.96936,
121.9779,157.7621,75.91438,
115.6957,153.3116,70.66589,
116.0707,153.6329,70.93553,
116.305,153.8717,71.08797,
116.4978,154.1891,71.13884,
116.6525,154.6007,71.09846,
116.8032,155.0654,71.04623,
116.9917,155.581,71.01254,
117.2312,156.1273,71.02964,
117.5539,156.7531,71.12579,
117.9225,157.4424,71.25729,
118.2396,158.0936,71.35078,
118.5435,158.7403,71.44642,
118.88,159.4173,71.56451,
119.3378,160.1462,71.81849,
119.9538,160.9688,72.23263,
120.8504,161.9246,72.92568,
121.851,162.8767,73.74206,
122.8001,163.6612,74.57001,
123.6493,164.2184,75.34632,
124.3269,164.5565,75.9908,
124.8578,164.565,76.57521,
125.3047,164.3842,77.10548,
125.7632,164.0468,77.69555,
126.2554,163.5024,78.3849,
126.7801,162.9191,79.11542,
127.3821,162.2722,79.93443,
128.0229,161.6947,80.78631,
128.6564,161.2541,81.57069,
129.2511,160.899,82.28562,
129.7967,160.5724,82.94519,
130.3445,160.1381,83.6324,
130.905,159.5969,84.36747,
131.5741,159.0323,85.22846,
132.2795,158.575,86.07006,
132.9965,158.2454,86.87204,
133.6638,158.0107,87.59622,
134.2744,157.8058,88.23735,
134.9792,157.5358,89.1373,
135.4822,157.2805,89.69844,
135.8861,157.0191,90.17827,
136.1325,156.713,90.50938,
136.2552,156.3175,90.77421,
136.2823,155.8637,90.99234,
136.2226,155.3481,91.14217,
136.1651,154.8266,91.32598,
136.0204,154.228,91.46612,
135.8301,153.6423,91.54304,
135.6866,153.1305,91.65377,
135.6649,152.7838,91.79445,
135.8739,152.6186,92.03687,
136.1706,152.481,92.36032,
136.4945,152.3236,92.70995,
136.7451,152.0685,93.02755,
136.9189,151.7496,93.32328,
137.0897,151.4301,93.61198,
137.2345,151.1292,93.87375,
137.4171,150.8361,94.16542,
137.6055,150.4983,94.49191,
137.8171,150.1159,94.86685,
138.0577,149.6722,95.29061,
138.2929,149.218,95.72246,
138.501,148.8265,96.10081,
138.5739,148.5087,96.33694,
138.5758,148.2299,96.48237,
138.4879,148.0099,96.5372,
138.3805,147.7556,96.58807,
138.2319,147.5578,96.57451,
138.0922,147.447,96.5257,
137.9687,147.4398,96.43599,
137.8341,147.4984,96.31123,
137.6245,147.7028,96.03168,
137.3655,147.9016,95.70816,
137.019,148.1623,95.28888,
136.6095,148.5042,94.75856,
136.2065,148.919,94.18675,
135.8039,149.3548,93.61737,
135.3158,150.0216,92.84998,
134.7459,150.676,92.01547,
134.0655,151.3256,91.08604,
133.1645,152.0539,89.91231,
132.1302,152.86,88.56812,
130.9501,153.8496,86.99429,
129.6444,155.0544,85.20454,
128.334,156.4239,83.32822,
126.9794,158.0053,81.33459,
125.6099,159.3032,79.41621,
124.1591,160.4061,77.46328,
