user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.7938534,1.612537,-3.876983,2.05678,0,0,0,0,
-0.7938534,1.612537,-3.876983,2.05678,0,0,0,0,
-0.799439,1.61168,-0.5518611,0.8906575,-1.869337,0.582988,-2.035465,1.118149,
-0.7684501,1.73089,-0.551665,0.8907512,-1.869094,0.5829668,-2.032486,1.118736,
-0.7527847,1.735287,-0.5517296,0.8907732,-1.869146,0.5829792,-2.032281,1.11882,
-0.7524173,1.734893,-0.551708,0.8911885,-1.869135,0.583235,-2.032265,1.119289,
-0.7521112,1.734434,-0.5516324,0.8912309,-1.869075,0.5832953,-2.031889,1.119678,
-0.751801,1.733717,-0.5516133,0.891227,-1.869074,0.5832846,-2.031641,1.11995,
-0.7517869,1.733165,-0.5516676,0.8909744,-1.869271,0.5831127,-2.031761,1.120358,
-0.7519891,1.73245,-0.5516677,0.8909706,-1.869207,0.5831528,-2.03129,1.121425,
-0.7520448,1.73152,-0.5517094,0.8909845,-1.86927,0.583086,-2.031007,1.122205,
-0.7524241,1.730504,-0.5517113,0.8909146,-1.869272,0.583061,-2.030503,1.123459,
-0.7529833,1.729239,-0.5519456,0.8906454,-1.869606,0.5828538,-2.016741,1.12623,
-0.756421,1.716442,-0.5519436,0.8907572,-1.869554,0.5829887,-2.015913,1.125706,
-0.7560972,1.71701,-0.5519552,0.890746,-1.869573,0.5829713,-2.015108,1.125201,
-0.7555889,1.717768,-0.5519569,0.8907509,-1.869561,0.5829837,-2.014259,1.124856,
-0.7556235,1.718328,-0.551955,0.8906804,-1.869535,0.5830195,-2.01345,1.124592,
-0.7557983,1.71901,-0.5519748,0.8906945,-1.869555,0.5830066,-2.012669,1.124659,
-0.7558852,1.71995,-0.5519618,0.8906972,-1.8695,0.5830104,-2.011849,1.124574,
-0.7561359,1.720755,-0.5519699,0.8906949,-1.869442,0.5829804,-2.01123,1.124524,
-0.756336,1.721637,-0.551954,0.8907003,-1.869442,0.5829134,-2.010619,1.124623,
-0.7565881,1.722767,-0.5520549,0.8906757,-1.869544,0.5829444,-2.010323,1.125011,
-0.7567822,1.723818,-0.5520577,0.8907542,-1.86952,0.582938,-2.010071,1.125512,
-0.7569684,1.724836,-0.5520381,0.8907629,-1.869528,0.5829265,-2.009733,1.126214,
-0.7568271,1.72618,-0.5519716,0.8907721,-1.869445,0.5829301,-2.009377,1.126832,
-0.7568508,1.727262,-0.5519666,0.8908235,-1.869418,0.5830135,-2.008933,1.127535,
-0.7567772,1.728487,-0.5519204,0.890819,-1.869432,0.5828958,-2.008567,1.127941,
-0.7565241,1.73003,-0.552028,0.8907969,-1.869527,0.5829337,-2.008344,1.128336,
-0.7560414,1.73172,-0.5520313,0.8907684,-1.869547,0.5828953,-2.007827,1.12854,
-0.7553927,1.733463,-0.5519462,0.8907567,-1.869439,0.5829048,-2.007337,1.128615,
-0.7544713,1.735403,-0.5519636,0.8907933,-1.86948,0.5830092,-2.006968,1.128601,
-0.7536045,1.736674,-0.551962,0.8908195,-1.869497,0.5830078,-2.006773,1.128435,
-0.7527351,1.737613,-0.5521258,0.8908423,-1.86972,0.5830112,-2.006462,1.12824,
