chair to collider angle,table to collider angle,audience to collider angle,


115.8544,38.78535,115.8544,
115.8544,38.78535,115.8544,
65.41039,78.43349,143.4343,
108.1265,139.9328,9.613373,
110.6046,138.7971,5.838081,
110.8478,138.7038,5.551073,
111.0637,138.5961,5.25117,
111.2626,138.4785,4.983933,
111.4501,138.3712,4.74776,
111.6277,138.2657,4.518871,
111.759,138.1081,4.25754,
111.8839,137.9271,4.001544,
112.0038,137.7608,3.653395,
112.8232,136.4787,2.721173,
112.6837,136.3949,2.55428,
112.5134,136.2827,2.372154,
112.3561,136.1737,2.188922,
112.1698,136.046,1.976551,
111.9929,135.9002,1.76536,
111.7843,135.715,1.512714,
111.5634,135.5288,1.262071,
111.3369,135.3137,0.9829774,
111.0958,135.0788,0.6966124,
110.8562,134.8646,0.4256662,
110.5989,134.6181,0.1968319,
110.3278,134.3653,0.2980514,
110.0677,134.125,0.5865081,
109.8529,133.9012,0.8570652,
109.6662,133.7056,1.106238,
109.5041,133.5343,1.329868,
109.334,133.3587,1.558088,
109.1482,133.1573,1.813265,
108.9428,132.9672,2.065259,
108.7059,132.7412,2.359247,
108.4873,132.5172,2.645527,
108.2821,132.3051,2.89854,
108.0988,132.1256,3.138373,
107.9307,131.9454,3.364005,
107.766,131.7923,3.561505,
107.6038,131.6393,3.756975,
107.4602,131.5045,3.928598,
107.3234,131.3825,4.094286,
107.208,131.2733,4.225495,
107.1392,131.2079,4.314295,
107.098,131.1635,4.381684,
107.0981,131.1502,4.395831,
107.0996,131.1467,4.405756,
107.1024,131.1395,4.414106,
107.1186,131.1496,4.404022,
107.1153,131.1523,4.4082,
107.1102,131.1518,4.409089,
107.1236,131.1667,4.403933,
107.1209,131.1794,4.408112,
107.1425,131.2199,4.368926,
107.1628,131.2776,4.323773,
107.1903,131.3523,4.262459,
107.2166,131.4309,4.1947,
107.2721,131.5177,4.111994,
107.3818,131.6667,3.967978,
107.6356,131.9547,3.668318,
107.8982,132.2723,3.351994,
108.1975,132.6406,3.004982,
108.4843,133.0008,2.691591,
108.6604,133.2836,2.521346,
108.7387,133.4909,2.48601,
108.7591,133.6331,2.533273,
108.6551,133.6349,2.734019,
108.4621,133.5455,3.024462,
108.2728,133.4385,3.314344,
107.9863,133.283,3.707712,
107.616,133.0997,4.194093,
107.2217,132.941,4.713597,
106.8185,132.7874,5.241684,
106.2851,132.5589,5.905746,
105.7781,132.3061,6.526964,
105.2577,132.0187,7.167081,
104.7181,131.6909,7.812685,
104.239,131.3861,8.397957,
103.7823,131.092,8.94828,
103.3085,130.767,9.510021,
102.803,130.3447,10.08684,
102.4036,130.1013,10.57691,
101.9961,129.8842,11.06641,
101.6314,129.7753,11.5232,
101.3194,129.7911,11.96191,
100.9685,129.7882,12.43313,
100.6053,129.8041,12.92053,
100.2493,129.7949,13.41449,
99.87521,129.8029,13.93638,
99.47474,129.7875,14.48475,
99.00372,129.7019,15.09854,
98.46161,129.5254,15.77539,
97.92171,129.347,16.45656,
97.40898,129.1702,17.09691,
96.93822,129.0098,17.69827,
96.51248,128.8554,18.25489,
96.14211,128.7247,18.74769,
95.7803,128.5803,19.2235,
95.44164,128.4296,19.66183,
