pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.842402,3.287906,1.842402,0,4.507173,0,
1.842402,3.287906,1.842402,0,4.507173,0,
1.647668,1.815921,2.078775,1.962059,1.575682,2.094567,
1.828552,1.767697,1.904132,2.789732,4.180422,2.949356,
1.816827,1.757029,1.917599,2.78991,4.180486,2.951068,
1.816172,1.756469,1.916579,2.789796,4.180434,2.952293,
1.815029,1.755418,1.916985,2.789792,4.180441,2.953168,
1.814289,1.755114,1.916087,2.789898,4.180815,2.954318,
1.81371,1.754496,1.914887,2.789965,4.180872,2.955423,
1.812849,1.753771,1.914337,2.789914,4.180873,2.956158,
1.811834,1.753331,1.913204,2.789941,4.180861,2.956714,
1.811329,1.753015,1.912951,2.789953,4.180886,2.957345,
1.810566,1.752423,1.886911,2.790007,4.180954,2.957747,
1.801099,1.746608,1.898947,2.790071,4.180906,2.958233,
1.800831,1.746634,1.898407,2.789973,4.180851,2.958776,
1.800691,1.746655,1.904351,2.790198,4.181008,2.958041,
1.800731,1.747029,1.904269,2.789967,4.181006,2.958613,
1.800406,1.747007,1.904425,2.789806,4.180836,2.959123,
1.800229,1.747055,1.91339,2.789844,4.180883,2.962633,
1.800146,1.747072,1.913053,2.789833,4.18074,2.961944,
1.799992,1.747286,1.913817,2.789773,4.180783,2.96345,
1.799933,1.74744,1.915027,2.789795,4.180799,2.965377,
1.799935,1.747506,1.914851,2.789765,4.180709,2.965201,
1.799811,1.747856,1.915714,2.789761,4.180863,2.966736,
1.799838,1.7479,1.917368,2.789832,4.180904,2.968063,
1.799601,1.747923,1.916601,2.789653,4.180705,2.96851,
1.799609,1.748191,1.917444,2.78967,4.180715,2.970058,
1.79966,1.748364,1.918435,2.789744,4.180775,2.971646,
1.799646,1.748487,1.918704,2.789774,4.180583,2.971973,
1.799739,1.748797,1.920031,2.789752,4.180571,2.97368,
1.799833,1.749016,1.920778,2.789675,4.180514,2.975264,
1.799888,1.749332,1.921317,2.789675,4.180297,2.975893,
1.800004,1.749677,1.922107,2.789624,4.180276,2.977492,
1.799932,1.749756,1.923842,2.789763,4.180281,2.979098,
1.800011,1.749992,1.924289,2.789789,4.180099,2.980036,
1.800329,1.750431,1.925449,2.789768,4.180012,2.98197,
1.800615,1.750515,1.926851,2.790053,4.180313,2.984234,
1.800955,1.751044,1.927587,2.790142,4.180139,2.985685,
1.801275,1.751527,1.928551,2.790052,4.18014,2.987666,
1.801637,1.751774,1.93023,2.789945,4.180156,2.989777,
1.801797,1.752029,1.930891,2.789922,4.180022,2.991261,
1.802163,1.752546,1.931876,2.789903,4.180112,2.99347,
1.802517,1.752829,1.93271,2.789815,4.180035,2.995426,
1.802852,1.753162,1.933217,2.789791,4.179932,2.99716,
1.803736,1.753313,1.934154,2.789752,4.179933,2.999372,
1.804078,1.753902,1.934883,2.78971,4.18004,3.001505,
1.804385,1.754175,1.935601,2.789718,4.179976,3.003435,
1.805465,1.754876,1.935487,2.78966,4.179941,3.005585,
1.805868,1.754446,1.936947,2.789799,4.179809,3.007544,
1.806239,1.754628,1.937291,2.789819,4.179667,3.009369,
