user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.6605011,1.652266,-3.876983,2.05678,0,0,0,0,
-0.6605011,1.652266,-3.876983,2.05678,0,0,0,0,
-0.6611512,1.652587,-0.5504804,0.899457,-1.86809,0.5843287,1.022789,1.017695,
-0.4105124,1.650299,-0.5515124,0.9003487,-1.86803,0.584039,1.053503,1.015276,
-0.4231352,1.650424,-0.5515296,0.9003179,-1.868024,0.5841837,1.053362,1.015279,
-0.4240082,1.650682,-0.5515372,0.9003532,-1.868024,0.5841985,1.052898,1.015366,
-0.4252189,1.650777,-0.5514526,0.9004073,-1.868009,0.5842896,1.052836,1.015226,
-0.42615,1.650542,-0.5514584,0.9004345,-1.868103,0.5840707,1.052477,1.015054,
-0.4270172,1.650728,-0.5514638,0.9004716,-1.868222,0.5840569,1.051826,1.015117,
-0.4280695,1.650867,-0.551619,0.9004971,-1.868244,0.5840545,1.051148,1.014849,
-0.4290102,1.650823,-0.5516276,0.9005725,-1.867931,0.583967,1.050287,1.014475,
-0.429873,1.651165,-0.5514875,0.9005517,-1.867972,0.5839555,1.049837,1.013954,
-0.4308741,1.651261,-0.5515121,0.9006634,-1.868111,0.5840263,1.03405,1.013101,
-0.4426375,1.65256,-0.5515317,0.9005985,-1.868115,0.5840199,1.033993,1.013672,
-0.4430611,1.652756,-0.5515509,0.9006702,-1.86812,0.5840991,1.033889,1.014312,
-0.4434528,1.653023,-0.5515761,0.9006865,-1.868152,0.5841041,1.036386,1.012062,
-0.4438577,1.653362,-0.5515882,0.9007199,-1.868146,0.5838368,1.036588,1.012365,
-0.4442395,1.653573,-0.5514656,0.9006416,-1.868126,0.5840261,1.036987,1.013206,
-0.4446162,1.653835,-0.5514748,0.9006605,-1.868138,0.584096,1.044774,1.017123,
-0.4449771,1.654008,-0.5514843,0.9006083,-1.868195,0.5840223,1.044075,1.017994,
-0.4453588,1.654284,-0.551485,0.900648,-1.868142,0.5840025,1.045143,1.017363,
-0.4456901,1.654649,-0.5514898,0.9006703,-1.868153,0.584054,1.047028,1.018748,
-0.4458635,1.654885,-0.5513636,0.9005764,-1.868088,0.5839894,1.046764,1.019421,
-0.4462568,1.65518,-0.5513475,0.900565,-1.86809,0.5840003,1.047914,1.018644,
-0.4465407,1.655601,-0.5513336,0.9005649,-1.868197,0.5841234,1.049442,1.018864,
-0.4468927,1.655765,-0.5512152,0.900483,-1.868118,0.5841119,1.049322,1.020188,
-0.4471735,1.656033,-0.5511955,0.9004844,-1.868133,0.5840712,1.050537,1.019497,
-0.4474212,1.6564,-0.551176,0.9004967,-1.86814,0.5840366,1.052047,1.019963,
-0.4476459,1.65661,-0.5512202,0.9002911,-1.868105,0.583962,1.052368,1.020259,
-0.4478589,1.656909,-0.5511997,0.9002795,-1.868181,0.5839732,1.054077,1.019876,
-0.448,1.65736,-0.5511945,0.9003234,-1.868178,0.5840988,1.055388,1.020331,
-0.4481894,1.657683,-0.5513344,0.9001545,-1.868128,0.5840802,1.056123,1.020547,
-0.4482546,1.657973,-0.5513335,0.9001976,-1.868125,0.5841455,1.057519,1.0201,
