pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.262077,3.777225,2.262077,0,4.507173,0,
2.262077,3.777225,2.262077,0,4.507173,0,
2.260812,3.77747,2.260812,0,4.507173,0,
1.904515,3.447625,1.904515,1.080465,3.682198,1.080465,
1.906946,3.44336,1.906946,1.082049,3.680461,1.082049,
1.907212,3.44308,1.907212,1.083614,3.678706,1.083614,
1.90765,3.442815,1.90765,1.085217,3.677051,1.085217,
1.907866,3.442591,1.907866,1.086845,3.675429,1.086845,
1.908035,3.442246,1.908035,1.088543,3.673836,1.088543,
1.907905,3.442167,1.907905,1.090311,3.67227,1.090311,
1.907965,3.442213,1.907965,1.092084,3.670667,1.092084,
1.908012,3.442153,1.908012,1.093913,3.669127,1.093913,
1.908139,3.442158,1.908139,1.111526,3.644936,1.111526,
1.908039,3.446151,1.908039,1.111623,3.643805,1.111623,
1.908139,3.446982,1.908139,1.11152,3.643353,1.11152,
1.908311,3.448107,1.908311,1.111563,3.642465,1.111563,
1.908688,3.449262,1.908688,1.111637,3.641575,1.111637,
1.908993,3.450748,1.908993,1.111264,3.641267,1.111264,
1.909491,3.452588,1.909491,1.110929,3.640729,1.110929,
1.910004,3.45451,1.910004,1.110562,3.640229,1.110562,
1.910617,3.457082,1.910617,1.109867,3.640066,1.109867,
1.911297,3.459532,1.911297,1.109205,3.639986,1.109205,
1.912132,3.462306,1.912132,1.108725,3.639916,1.108725,
1.913121,3.465165,1.913121,1.107749,3.640536,1.107749,
1.914116,3.46791,1.914116,1.106861,3.641026,1.106861,
1.915237,3.470925,1.915237,1.106256,3.641457,1.106256,
1.916584,3.474102,1.916584,1.105369,3.642117,1.105369,
1.917867,3.476655,1.917867,1.104464,3.643032,1.104464,
1.919131,3.479803,1.919131,1.103386,3.644104,1.103386,
1.920476,3.482672,1.920476,1.102019,3.645777,1.102019,
1.92175,3.484594,1.92175,1.100798,3.64719,1.100798,
1.922955,3.487188,1.922955,1.099485,3.648607,1.099485,
1.924307,3.489504,1.924307,1.097965,3.650694,1.097965,
1.925495,3.490666,1.925495,1.096597,3.652594,1.096597,
1.926628,3.492726,1.926628,1.095252,3.654608,1.095252,
1.927955,3.494217,1.927955,1.093842,3.656875,1.093842,
1.92909,3.495249,1.92909,1.092548,3.658947,1.092548,
1.930285,3.496428,1.930285,1.091071,3.661285,1.091071,
1.931524,3.497312,1.931524,1.089874,3.663615,1.089874,
1.932576,3.497682,1.932576,1.088665,3.66603,1.088665,
1.933615,3.49845,1.933615,1.087374,3.668435,1.087374,
1.934828,3.499056,1.934828,1.086024,3.671268,1.086024,
1.935808,3.499348,1.935808,1.084792,3.673965,1.084792,
1.936791,3.499692,1.936791,1.083542,3.676696,1.083542,
1.938154,3.499907,1.938154,1.08244,3.679541,1.08244,
1.93905,3.50013,1.93905,1.081312,3.682297,1.081312,
1.94002,3.50022,1.94002,1.08047,3.685154,1.08047,
1.940898,3.500289,1.940898,1.079731,3.687947,1.079731,
1.941741,3.500357,1.941741,1.078787,3.690961,1.078787,
1.942576,3.500361,1.942576,1.077744,3.694081,1.077744,
