pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.66365,3.970282,1.66365,0,4.507173,0,
1.66365,3.970282,1.66365,0,4.507173,0,
1.890361,2.186051,2.167487,1.47105,2.160423,2.183616,
1.849276,2.23556,1.98722,1.931849,2.270028,1.818808,
1.862823,2.238757,1.974552,1.932944,2.269288,1.81487,
1.862881,2.23866,1.970657,1.931943,2.267736,1.811703,
1.863176,2.238837,1.967299,1.933625,2.268504,1.809489,
1.863542,2.23877,1.964028,1.936999,2.26981,1.806746,
1.864694,2.23873,1.955618,1.942418,2.272635,1.801789,
1.864717,2.238831,1.956915,1.94431,2.274439,1.803093,
1.865038,2.238821,1.955089,1.945164,2.275294,1.802592,
1.865406,2.239889,1.936221,1.948026,2.275455,1.794963,
1.872981,2.239315,1.926608,1.949798,2.275801,1.792515,
1.873254,2.239249,1.923298,1.950397,2.275561,1.789119,
1.873479,2.238989,1.920817,1.95094,2.2755,1.787045,
1.873721,2.23891,1.91845,1.952605,2.275463,1.78415,
1.874189,2.238682,1.916395,1.954108,2.275308,1.781706,
1.874485,2.238708,1.914247,1.95408,2.274541,1.779524,
1.874642,2.238618,1.912382,1.954188,2.273837,1.777753,
1.874959,2.238555,1.910689,1.954729,2.273341,1.775991,
1.875082,2.238129,1.909075,1.95367,2.272196,1.775046,
1.87529,2.238052,1.907603,1.95154,2.271211,1.774899,
1.87538,2.237906,1.906805,1.949232,2.269651,1.774964,
1.875614,2.237563,1.905641,1.946093,2.268298,1.775727,
1.875713,2.237482,1.905296,1.943675,2.267146,1.776645,
1.876002,2.237422,1.904874,1.941184,2.26591,1.77743,
1.876145,2.236981,1.904637,1.939924,2.265135,1.778363,
1.876356,2.236768,1.904961,1.93926,2.264428,1.779304,
1.876511,2.236483,1.904961,1.93872,2.264019,1.780057,
1.876643,2.236122,1.904418,1.937928,2.262975,1.779514,
1.876728,2.235849,1.903915,1.940294,2.263827,1.778666,
1.876911,2.235611,1.903106,1.940868,2.263589,1.777458,
1.877017,2.235001,1.901757,1.940967,2.263273,1.776138,
1.877186,2.234724,1.900979,1.943684,2.264792,1.775183,
1.877355,2.234552,1.900302,1.944845,2.26576,1.77472,
1.877409,2.23394,1.899597,1.944945,2.26744,1.775877,
1.877272,2.233584,1.899177,1.945974,2.26899,1.776504,
1.877354,2.233056,1.899033,1.949283,2.2713,1.777211,
1.877667,2.232885,1.898713,1.947865,2.27261,1.779595,
1.8778,2.232509,1.898319,1.947671,2.274161,1.781443,
1.877798,2.231998,1.897834,1.950662,2.27713,1.782376,
1.878026,2.231801,1.897147,1.950803,2.28082,1.785395,
1.878191,2.23144,1.896795,1.951876,2.283413,1.787006,
1.878328,2.230967,1.896135,1.95608,2.287473,1.787815,
1.878464,2.230347,1.895291,1.957901,2.291397,1.789908,
1.878597,2.229905,1.894731,1.961936,2.294541,1.789776,
1.878763,2.2295,1.89421,1.969294,2.29874,1.788856,
1.878807,2.229133,1.893537,1.971895,2.301122,1.788982,
1.878831,2.228573,1.893244,1.973599,2.302105,1.789238,
1.878894,2.227971,1.892839,1.974958,2.303622,1.789852,
