chair to collider angle,table to collider angle,audience to collider angle,


99.28046,68.66589,99.28046,
99.28046,68.66589,99.28046,
146.3424,106.3632,64.66113,
116.2169,103.5642,67.4589,
116.834,102.4079,66.31699,
116.7827,102.3703,66.47547,
116.7416,102.3275,66.60753,
116.7114,102.2987,66.74343,
116.6136,102.202,67.14188,
116.6489,102.2079,67.11282,
116.6376,102.1787,67.22442,
116.6213,102.1652,68.54475,
116.095,101.386,68.02776,
116.0356,101.3505,68.02187,
115.9759,101.3107,68.06502,
115.9044,101.2704,68.10966,
115.8468,101.2399,68.1708,
115.8125,101.2215,68.22992,
115.7749,101.203,68.3006,
115.7352,101.1803,68.36549,
115.7135,101.1576,68.42645,
115.6714,101.1445,68.51067,
115.6268,101.114,68.57674,
115.5911,101.0781,68.63803,
115.5467,101.0483,68.7139,
115.5236,101.0167,68.77177,
115.5112,100.9899,68.83246,
115.4792,100.9411,68.87881,
115.4661,100.8987,68.91114,
115.4422,100.8618,68.92593,
115.4319,100.8102,68.90305,
115.4144,100.7447,68.8541,
115.4122,100.6849,68.80627,
115.3974,100.6203,68.76178,
115.411,100.5564,68.69651,
115.4448,100.4878,68.62583,
115.4643,100.4292,68.57967,
115.5021,100.3591,68.52386,
115.5736,100.302,68.47626,
115.6229,100.2552,68.4407,
115.6727,100.2101,68.39806,
115.7451,100.1642,68.35623,
115.8397,100.1247,68.29675,
115.9267,100.0657,68.21362,
116.0317,99.99057,68.12222,
116.129,99.91936,68.02737,
116.2207,99.86793,67.9577,
116.3095,99.81039,67.89017,
116.3802,99.73913,67.82378,
116.4446,99.66051,67.73876,
116.5414,99.57003,67.63873,
116.6604,99.49549,67.53352,
116.8373,99.4092,67.3949,
117.1103,99.33929,67.24516,
117.5113,99.29508,67.07988,
118.0966,99.2609,66.85828,
118.8906,99.24445,66.60005,
119.9184,99.28123,66.32062,
121.1202,99.31964,66.00195,
122.5529,99.38929,65.65283,
124.1432,99.48647,65.30874,
125.769,99.59097,64.98263,
127.4127,99.74309,64.72243,
129.0087,99.87206,64.49559,
130.7955,100.1025,64.35913,
132.6116,100.3444,64.27554,
134.4373,100.5988,64.26958,
136.2447,100.8496,64.29722,
137.9693,101.0485,64.32998,
139.6342,101.2753,64.44572,
141.0961,101.4622,64.5714,
142.4383,101.6045,64.68196,
143.5329,101.719,64.79739,
144.4642,101.7919,64.8831,
145.2895,101.8409,64.95915,
146.0043,101.8968,65.03626,
146.6165,101.9714,65.12654,
147.191,102.0609,65.23373,
147.7725,102.2085,65.39035,
148.3744,102.3883,65.5877,
149.0233,102.5783,65.79519,
149.6927,102.7812,66.03096,
150.3585,102.9726,66.25266,
151.0045,103.1328,66.45792,
151.5813,103.2839,66.64338,
152.0532,103.3973,66.78751,
152.5142,103.5021,66.92261,
152.8693,103.5881,67.02898,
153.195,103.6734,67.13139,
153.4754,103.734,67.20426,
153.7353,103.8092,67.28546,
154.0216,103.8967,67.39197,
154.3313,103.9893,67.50111,
154.6246,104.0644,67.59491,
154.9389,104.1399,67.69325,
155.2519,104.1838,67.75948,
155.5519,104.2117,67.80995,
155.8247,104.2335,67.85459,
156.066,104.2229,67.86202,
156.2727,104.186,67.84543,
