user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.02116703,1.65487,-3.876983,2.05678,0,0,0,0,
-0.02116703,1.65487,-3.876983,2.05678,0,0,0,0,
-0.02240194,1.654027,-1.861811,0.8480328,0.4184628,0.5484715,-1.857599,0.7422383,
0.05296917,1.6032,-1.86256,0.847513,0.4183826,0.5483723,-1.721235,0.9630512,
0.0493659,1.601936,-1.862582,0.8474966,0.4183285,0.5484633,-1.720655,0.9673557,
0.04924215,1.60165,-1.862589,0.8474833,0.4183702,0.5484478,-1.720037,0.9713038,
0.04914413,1.601489,-1.862568,0.8473455,0.4183738,0.5484388,-1.719534,0.9741857,
0.04899529,1.601354,-1.862528,0.8474196,0.4183426,0.5485086,-1.718997,0.9770529,
0.04837253,1.600896,-1.862537,0.8474495,0.4183121,0.5485649,-1.718589,0.9841188,
0.04836527,1.600929,-1.862575,0.847352,0.4183146,0.5485754,-1.719391,0.9830672,
0.04820288,1.600779,-1.862565,0.8473486,0.4183387,0.5485435,-1.719826,0.9849418,
0.0479411,1.600626,-1.862887,0.8466226,0.4183093,0.5484881,-1.719661,1.001876,
0.04333564,1.598008,-1.862967,0.8464819,0.4182814,0.5485063,-1.718473,1.001945,
0.04310341,1.597844,-1.862991,0.8464801,0.4182403,0.5483708,-1.716086,1.003964,
0.04287165,1.597604,-1.862875,0.8465337,0.4181827,0.5484731,-1.714728,1.004371,
0.04264152,1.597435,-1.862895,0.8465456,0.4181477,0.5484796,-1.713444,1.004745,
0.04216584,1.597335,-1.862904,0.8465648,0.4182707,0.5483906,-1.712808,1.004897,
0.0419191,1.597069,-1.863114,0.8466145,0.4182503,0.5484083,-1.711823,1.005348,
0.04167088,1.596907,-1.863142,0.8465022,0.4182162,0.5484865,-1.711146,1.005746,
0.0414266,1.596784,-1.86318,0.8465236,0.4183568,0.5484531,-1.710642,1.006115,
0.04101204,1.596653,-1.863253,0.8466682,0.4183494,0.5484858,-1.710317,1.006413,
0.04071299,1.596512,-1.86333,0.8467184,0.4183075,0.5485656,-1.710143,1.006692,
0.04047034,1.59636,-1.863368,0.8467293,0.4181433,0.5483539,-1.710524,1.006872,
0.0402058,1.596138,-1.863209,0.8467658,0.4180668,0.5483921,-1.710603,1.007062,
0.03992147,1.595999,-1.863274,0.8467182,0.41804,0.5484245,-1.711542,1.007284,
0.03971766,1.595926,-1.863297,0.8467239,0.4183088,0.5483592,-1.712212,1.007414,
0.03941428,1.595761,-1.863022,0.8467025,0.4182612,0.54843,-1.713125,1.007245,
0.03908335,1.595713,-1.863015,0.846673,0.4182518,0.5484462,-1.714559,1.006947,
0.03871277,1.595625,-1.863012,0.8466846,0.4182877,0.5484617,-1.715652,1.006942,
0.03837248,1.595515,-1.862828,0.8466182,0.418273,0.5484536,-1.715808,1.006203,
0.03801918,1.595414,-1.862827,0.8465194,0.4181901,0.5485985,-1.715783,1.005416,
0.03768415,1.595373,-1.862804,0.8464953,0.4182538,0.5485561,-1.715389,1.004843,
0.03722343,1.595256,-1.862677,0.8465695,0.4182015,0.5486114,-1.71458,1.004323,
0.036797,1.595225,-1.862684,0.8465306,0.4182571,0.5483963,-1.714407,1.003935,
