user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.02225969,1.670716,-3.876983,2.05678,0,0,0,0,
-0.02225969,1.670716,-3.876983,2.05678,0,0,0,0,
-0.02115698,1.669924,-1.860857,0.8825858,-1.675041,0.5406163,-1.48333,1.101835,
0.09346111,1.649092,-1.860764,0.8825884,-1.675119,0.5408843,-1.510441,1.150006,
0.2776001,1.632732,-1.860788,0.8826187,-1.675079,0.5407448,-1.510572,1.152837,
0.2885498,1.633592,-1.860789,0.8826429,-1.675109,0.5407944,-1.51104,1.153725,
0.2937875,1.63421,-1.860757,0.8825648,-1.675025,0.5409348,-1.511613,1.154093,
0.2989101,1.634769,-1.860625,0.8825624,-1.674908,0.5408239,-1.511942,1.154504,
0.3136869,1.636866,-1.860582,0.8827223,-1.675047,0.5407662,-1.514297,1.154251,
0.3218538,1.637608,-1.86073,0.882636,-1.675006,0.5407457,-1.518185,1.151803,
0.3518468,1.645377,-1.860901,0.8826244,-1.675199,0.5403686,-1.519394,1.150431,
0.3520898,1.646271,-1.860871,0.8828512,-1.675233,0.5405674,-1.520031,1.149829,
0.3521703,1.647297,-1.860708,0.8828318,-1.67526,0.5405538,-1.520789,1.1491,
0.3525668,1.64837,-1.860648,0.8828334,-1.675144,0.5404313,-1.52131,1.148435,
0.3524477,1.651407,-1.86059,0.8826243,-1.67514,0.5404961,-1.523783,1.146254,
0.3514892,1.653716,-1.860744,0.882512,-1.675126,0.5406578,-1.525563,1.144624,
0.350736,1.653915,-1.860748,0.8824939,-1.675133,0.5406449,-1.525797,1.144624,
0.3497221,1.655378,-1.860735,0.8824694,-1.675122,0.5405424,-1.52672,1.143855,
0.3485625,1.656666,-1.860716,0.882581,-1.675136,0.5407176,-1.5278,1.143408,
0.3473089,1.657935,-1.860773,0.882594,-1.675278,0.5405235,-1.528835,1.14313,
0.3460596,1.659186,-1.86091,0.8825798,-1.675264,0.5404756,-1.529595,1.143069,
0.3446318,1.660283,-1.860941,0.88252,-1.675177,0.5407021,-1.530404,1.143217,
0.3406545,1.663635,-1.860805,0.8826666,-1.675092,0.5406246,-1.532063,1.143857,
0.3369558,1.6659,-1.860748,0.8828888,-1.674981,0.5409303,-1.532761,1.144992,
0.3367618,1.666228,-1.860658,0.8826498,-1.674844,0.5407891,-1.532432,1.144853,
0.3339559,1.668602,-1.860649,0.8826267,-1.675049,0.5404685,-1.532824,1.145217,
0.3315847,1.670413,-1.860732,0.8825775,-1.675055,0.540472,-1.533115,1.145534,
0.3244747,1.674803,-1.860649,0.8828176,-1.67495,0.5409482,-1.533599,1.146051,
0.3190238,1.676938,-1.86056,0.8828547,-1.674991,0.5409236,-1.533703,1.14623,
0.3136875,1.678295,-1.860617,0.8828034,-1.675016,0.5406914,-1.534276,1.145769,
0.3081105,1.679888,-1.860702,0.8826386,-1.674983,0.5406525,-1.534592,1.145125,
0.3081177,1.678984,-1.860705,0.8825185,-1.674994,0.5406406,-1.534658,1.144813,
0.3051038,1.679666,-1.860761,0.8824911,-1.67503,0.5406404,-1.534826,1.144574,
0.3022432,1.680116,-1.860759,0.8825403,-1.675044,0.5408111,-1.535025,1.144414,
