pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.767404,4.157842,1.767404,0,4.507173,0,
1.767404,4.157842,1.767404,0,4.507173,0,
2.168781,2.905337,2.756559,1.454465,2.426719,2.705178,
2.103549,2.82141,2.729636,2.021116,2.7894,2.607289,
2.054207,2.782244,2.721451,2.020828,2.780679,2.597359,
2.0546,2.782197,2.720922,2.020722,2.776347,2.592197,
2.055008,2.782038,2.72042,2.020711,2.771908,2.587055,
2.056146,2.781901,2.719362,2.021034,2.758671,2.571499,
2.057152,2.78199,2.71876,2.022466,2.749397,2.559727,
2.057174,2.782261,2.718879,2.022802,2.74908,2.558983,
2.057496,2.782198,2.717967,2.028571,2.670603,2.465613,
2.059797,2.782232,2.717376,2.026759,2.664332,2.459766,
2.059773,2.782283,2.717524,2.025211,2.661787,2.458037,
2.059752,2.782277,2.717577,2.023924,2.658914,2.455773,
2.059785,2.782293,2.717573,2.022631,2.656736,2.454228,
2.059817,2.782563,2.717633,2.021127,2.654629,2.452721,
2.059868,2.782711,2.717814,2.019682,2.652709,2.451657,
2.05996,2.782822,2.71793,2.018318,2.650393,2.450074,
2.060074,2.783294,2.718093,2.016688,2.649256,2.449662,
2.060243,2.783437,2.718159,2.015153,2.647693,2.448994,
2.060372,2.783443,2.7183,2.013485,2.646221,2.448719,
2.060737,2.783732,2.718412,2.011958,2.644868,2.448353,
2.061039,2.783732,2.718583,2.010585,2.643819,2.448447,
2.06151,2.784023,2.71874,2.008702,2.643106,2.449089,
2.061851,2.784279,2.718808,2.007501,2.642706,2.449455,
2.062286,2.78462,2.718788,2.006202,2.642584,2.450095,
2.062726,2.785089,2.719115,2.004848,2.642239,2.450721,
2.063092,2.78533,2.719237,2.003963,2.642558,2.451697,
2.063366,2.785648,2.719309,2.003107,2.643192,2.452921,
2.063822,2.786049,2.719635,2.002319,2.643741,2.454158,
2.064302,2.786382,2.719722,2.001568,2.644352,2.45537,
2.064716,2.786486,2.71987,2.000975,2.644962,2.456645,
2.065202,2.78677,2.719943,2.000625,2.646268,2.458284,
2.065531,2.787223,2.720176,1.999989,2.64708,2.459532,
2.065691,2.787289,2.72041,1.999484,2.648268,2.461381,
2.065777,2.787396,2.720587,1.998972,2.649596,2.463249,
2.065777,2.787466,2.721039,1.998218,2.650422,2.464973,
2.065739,2.787477,2.721329,1.997778,2.651942,2.46715,
2.065809,2.787509,2.72149,1.997612,2.653654,2.469239,
2.065801,2.787529,2.721606,1.997398,2.655244,2.471171,
2.065801,2.787515,2.721746,1.997147,2.656965,2.473315,
2.065709,2.787792,2.722123,1.996993,2.658948,2.475606,
2.065593,2.787403,2.721768,1.99715,2.661084,2.477857,
2.065413,2.78735,2.721876,1.997266,2.663332,2.4802,
2.065198,2.787122,2.721887,1.997429,2.665621,2.482733,
2.065012,2.787274,2.722097,1.9977,2.668033,2.485162,
2.064744,2.787169,2.722186,1.99809,2.670597,2.487839,
2.064254,2.786888,2.722322,1.998076,2.672877,2.490562,
2.063964,2.786952,2.722541,1.998418,2.675506,2.493259,
2.06365,2.786994,2.722647,1.998499,2.678216,2.496127,
