pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.612327,3.967143,1.612327,0,4.507173,0,
1.612327,3.967143,1.612327,0,4.507173,0,
1.815688,2.240172,1.51032,1.413813,2.192809,1.804445,
1.844395,2.341152,1.760895,1.383574,2.230615,1.867902,
1.845731,2.355218,1.786152,1.385244,2.232282,1.871758,
1.846159,2.356009,1.789301,1.387482,2.234428,1.876129,
1.846431,2.356709,1.792219,1.389578,2.236586,1.88064,
1.846921,2.357409,1.794927,1.392316,2.239467,1.885558,
1.848034,2.359648,1.802732,1.401463,2.248495,1.898679,
1.848782,2.360969,1.80634,1.410385,2.257715,1.908632,
1.848847,2.360963,1.80573,1.411674,2.259044,1.909045,
1.849393,2.361974,1.827664,1.520334,2.360967,2.004693,
1.858251,2.374641,1.842466,1.544043,2.380635,2.017672,
1.858606,2.375181,1.843992,1.54613,2.382881,2.021057,
1.859222,2.375927,1.844324,1.552542,2.388506,2.024465,
1.859674,2.376327,1.844079,1.55939,2.394412,2.027709,
1.860081,2.376935,1.844397,1.565521,2.399589,2.030968,
1.860559,2.377375,1.844599,1.571283,2.40439,2.033876,
1.8611,2.37783,1.845215,1.577245,2.40937,2.036467,
1.861677,2.378342,1.846437,1.583458,2.414512,2.038942,
1.862361,2.378911,1.846877,1.588972,2.41916,2.041368,
1.863275,2.379488,1.847179,1.593541,2.422517,2.042338,
1.864353,2.380206,1.847547,1.599189,2.427269,2.044717,
1.865461,2.380669,1.847535,1.603459,2.430165,2.045557,
1.867021,2.381435,1.847745,1.608713,2.434099,2.04739,
1.868534,2.382175,1.84764,1.613775,2.438138,2.049108,
1.870004,2.382618,1.84701,1.617926,2.440916,2.049594,
1.871697,2.38315,1.846062,1.621281,2.442885,2.049305,
1.873419,2.383689,1.845318,1.625389,2.445892,2.049993,
1.875014,2.383911,1.84407,1.62879,2.447924,2.049631,
1.876927,2.384431,1.843327,1.630975,2.44894,2.048877,
1.878938,2.38502,1.842385,1.633894,2.450662,2.048592,
1.880554,2.385263,1.841376,1.636133,2.45159,2.047964,
1.882201,2.385298,1.840022,1.63733,2.451403,2.046443,
1.883804,2.385576,1.839169,1.638843,2.45177,2.045447,
1.885215,2.385508,1.837761,1.640508,2.452267,2.044481,
1.886472,2.385402,1.83692,1.640041,2.450608,2.042235,
1.887976,2.385483,1.835977,1.64063,2.44991,2.04055,
1.889293,2.385319,1.834854,1.639779,2.447925,2.038127,
1.890757,2.38537,1.833466,1.63913,2.446259,2.035553,
1.892302,2.385319,1.832256,1.638127,2.444183,2.033232,
1.893635,2.385031,1.830885,1.637057,2.442035,2.030648,
1.895442,2.385206,1.829693,1.63465,2.438553,2.026878,
1.897192,2.38529,1.828475,1.633104,2.436159,2.023963,
1.898764,2.385053,1.827223,1.631111,2.433081,2.020628,
1.900615,2.384984,1.826442,1.628678,2.429543,2.01781,
1.902244,2.384688,1.825215,1.626562,2.42641,2.014885,
1.903858,2.384427,1.824306,1.624647,2.423374,2.012264,
1.905287,2.384115,1.823162,1.62224,2.420265,2.009385,
1.906434,2.38342,1.821756,1.619775,2.417124,2.006478,
