user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.03956033,1.662201,-3.876983,2.05678,0,0,0,0,
-0.03956033,1.662201,-3.876983,2.05678,0,0,0,0,
-0.03959511,1.662234,-2.014552,0.844149,0.4410356,0.5378268,-1.440741,1.204944,
0.01308761,1.713047,-2.015265,0.8438473,0.441085,0.5377898,-1.916248,0.9431323,
-0.00420339,1.712477,-2.015098,0.8437544,0.4410595,0.5377431,-1.917983,0.9386779,
-0.004648337,1.712495,-2.01511,0.8437322,0.4409534,0.5377233,-1.919047,0.936286,
-0.005127747,1.712408,-2.015238,0.8438225,0.4409336,0.5377243,-1.919625,0.9343761,
-0.006364249,1.712189,-2.015244,0.8436198,0.4409329,0.5377791,-1.920538,0.9294326,
-0.006784605,1.712188,-2.014827,0.8436596,0.4408296,0.5378892,-1.918348,0.9262905,
-0.006705938,1.712135,-2.014828,0.8436524,0.440928,0.5378358,-1.918791,0.9260328,
-0.007080238,1.712047,-2.015277,0.8432773,0.4408643,0.5381217,-1.911208,0.9367033,
-0.009982161,1.709887,-2.015289,0.8432366,0.4408721,0.5381463,-1.910604,0.938864,
-0.01013914,1.70975,-2.015198,0.8431728,0.4408466,0.5382493,-1.909887,0.9411051,
-0.01030739,1.709714,-2.015202,0.8431098,0.4408729,0.5382106,-1.908929,0.9433358,
-0.01058411,1.709682,-2.015198,0.8430389,0.4408795,0.5382288,-1.907992,0.9452755,
-0.01077768,1.709672,-2.015409,0.8430451,0.4408616,0.53829,-1.907152,0.947695,
-0.01102171,1.709644,-2.015433,0.8429883,0.4408669,0.5381465,-1.906139,0.9501921,
-0.01128054,1.709496,-2.015502,0.8429744,0.4408636,0.538142,-1.904954,0.9525089,
-0.01150496,1.709592,-2.015529,0.8433816,0.4408537,0.5382473,-1.90364,0.9555326,
-0.01177077,1.709461,-2.015554,0.8433716,0.4409126,0.5381682,-1.902068,0.9583353,
-0.01209882,1.709302,-2.015588,0.8433551,0.4409104,0.5381696,-1.900499,0.9610611,
-0.01241757,1.709295,-2.015622,0.8436681,0.4408917,0.5382571,-1.898591,0.9630955,
-0.01273597,1.709162,-2.015656,0.8436683,0.4408706,0.5381937,-1.896683,0.9652259,
-0.01298,1.708934,-2.0156,0.8437345,0.4408587,0.5381887,-1.894889,0.9668114,
-0.01334892,1.708694,-2.015578,0.8438044,0.4407862,0.5383306,-1.8936,0.9684432,
-0.0137301,1.708307,-2.015606,0.8438027,0.4408774,0.5382154,-1.892392,0.9702178,
-0.01418775,1.707922,-2.015639,0.8438165,0.4408752,0.5382397,-1.891537,0.9720074,
-0.01468356,1.707507,-2.015515,0.8435055,0.4408522,0.5382593,-1.890716,0.9730926,
-0.01513343,1.707193,-2.015535,0.8434732,0.4408473,0.5381508,-1.889638,0.974548,
-0.01562724,1.706789,-2.015557,0.8434476,0.4408422,0.5381513,-1.8883,0.9756185,
-0.01615353,1.706309,-2.015585,0.8433882,0.4407966,0.5382771,-1.887447,0.9764633,
-0.01670004,1.705723,-2.015614,0.8433648,0.4408431,0.5382836,-1.885917,0.9769888,
-0.01720685,1.705113,-2.015637,0.8433346,0.4408363,0.5382934,-1.885036,0.9778745,
