chair to collider angle,table to collider angle,audience to collider angle,


115.406,49.01892,115.406,
115.406,49.01892,115.406,
115.4446,48.54146,115.4446,
128.8257,41.92228,128.8257,
128.1397,41.64861,128.1397,
128.0343,41.51576,128.0343,
128.0678,41.43125,128.0678,
128.2956,41.22328,128.2956,
128.4674,41.09686,128.4674,
128.4185,41.10979,128.4185,
127.7753,40.48988,127.7753,
127.7604,40.42611,127.7604,
127.7526,40.35579,127.7526,
127.7461,40.28347,127.7461,
127.7344,40.21693,127.7344,
127.7113,40.146,127.7113,
127.6924,40.07476,127.6924,
127.6656,40.00147,127.6656,
127.5942,39.93286,127.5942,
127.5177,39.85344,127.5177,
127.4366,39.78283,127.4366,
127.3472,39.71927,127.3472,
127.2636,39.66327,127.2636,
127.2003,39.60099,127.2003,
127.1443,39.53976,127.1443,
127.0943,39.484,127.0943,
127.0455,39.44615,127.0455,
127.005,39.38065,127.005,
126.9855,39.35229,126.9855,
126.9506,39.32034,126.9506,
126.9414,39.2939,126.9414,
126.9204,39.26679,126.9204,
126.907,39.25928,126.907,
126.8942,39.25057,126.8942,
126.8825,39.24253,126.8825,
126.8697,39.25689,126.8697,
126.8747,39.26886,126.8747,
126.8743,39.26616,126.8743,
126.8781,39.28767,126.8781,
126.8977,39.29759,126.8977,
126.8991,39.30805,126.8991,
126.8951,39.34227,126.8951,
126.879,39.35958,126.879,
126.8638,39.39075,126.8638,
126.8589,39.42049,126.8589,
126.8385,39.44658,126.8385,
126.8299,39.468,126.8299,
126.8398,39.49821,126.8398,
126.8481,39.5271,126.8481,
126.8623,39.55852,126.8623,
126.8724,39.60878,126.8724,
126.8706,39.63663,126.8706,
126.8727,39.68987,126.8727,
126.8818,39.7274,126.8818,
126.891,39.77122,126.891,
126.9089,39.81906,126.9089,
126.9225,39.85802,126.9225,
126.9423,39.90938,126.9423,
126.9622,39.97187,126.9622,
126.9536,40.0435,126.9536,
126.9357,40.10733,126.9357,
126.9109,40.19257,126.9109,
126.8746,40.27581,126.8746,
126.8269,40.3619,126.8269,
126.7927,40.45486,126.7927,
126.7671,40.54127,126.7671,
126.7331,40.62344,126.7331,
126.7234,40.70845,126.7234,
126.7009,40.81668,126.7009,
126.6978,40.91426,126.6978,
126.6949,40.99984,126.6949,
126.6937,41.08599,126.6937,
126.6812,41.17067,126.6812,
126.6535,41.23882,126.6535,
126.6164,41.31339,126.6164,
126.5768,41.38667,126.5768,
126.5284,41.48645,126.5284,
126.4853,41.57432,126.4853,
126.4512,41.65945,126.4512,
126.4262,41.74368,126.4262,
126.4274,41.84742,126.4274,
126.4672,41.94117,126.4672,
126.4882,42.03808,126.4882,
126.4851,42.14722,126.4851,
126.4805,42.27638,126.4805,
126.4557,42.41971,126.4557,
126.467,42.56694,126.467,
126.4743,42.72683,126.4743,
126.4609,42.89761,126.4609,
126.4457,43.05047,126.4457,
126.4592,43.21992,126.4592,
126.5055,43.39045,126.5055,
126.5475,43.55257,126.5475,
126.5907,43.70147,126.5907,
126.612,43.85097,126.612,
126.6196,43.98407,126.6196,
126.6076,44.12882,126.6076,
126.6145,44.28608,126.6145,
126.6547,44.40267,126.6547,
126.7162,44.51131,126.7162,
