chair to collider angle,table to collider angle,audience to collider angle,


103.681,62.76001,103.681,
103.681,62.76001,103.681,
114.7873,147.0675,103.7439,
139.9894,125.3276,111.8078,
142.7023,122.0659,112.2012,
142.9825,121.6476,112.1859,
143.3091,121.1839,112.1843,
143.6861,120.6671,112.1972,
144.082,120.079,112.1841,
144.4757,119.4813,112.1661,
144.8289,118.8971,112.1176,
145.1826,118.2968,112.0629,
145.5195,117.6743,111.9793,
150.3359,110.2333,112.0156,
150.4162,109.9213,111.9004,
150.4218,109.7703,111.8154,
150.4144,109.6058,111.7097,
150.3876,109.0955,111.3979,
150.337,109.0973,111.3497,
150.2833,108.9195,111.1998,
150.2307,108.7179,111.0403,
150.2049,108.5272,110.9141,
150.2431,108.3307,110.8413,
150.2827,108.1327,110.7749,
150.3292,107.9351,110.7132,
150.3773,107.7129,110.6369,
150.4265,107.5235,110.5809,
150.5024,107.3768,110.5694,
150.6119,107.1925,110.568,
150.6647,106.9861,110.5072,
150.7077,106.7951,110.4441,
150.7742,106.6244,110.4136,
150.8274,106.4968,110.391,
150.8776,106.3591,110.3624,
150.9205,106.2037,110.3167,
150.961,106.0346,110.2639,
150.9752,105.8635,110.1887,
151.0102,105.7012,110.1341,
151.0528,105.5466,110.0862,
151.1066,105.3884,110.0551,
151.1851,105.2418,110.0476,
151.2564,105.1047,110.0401,
151.2958,105.0008,110.0174,
151.3501,104.8915,110.0071,
151.4072,104.7896,109.9981,
151.4579,104.6837,109.9855,
151.5315,104.5797,109.9883,
151.5952,104.4818,109.9859,
151.6448,104.3846,109.9747,
151.6931,104.2617,109.956,
151.7327,104.1348,109.9289,
151.7702,104.0013,109.8923,
151.8268,103.8612,109.8775,
151.8599,103.707,109.8334,
151.8787,103.532,109.7664,
151.9281,103.3748,109.7327,
151.9731,103.1845,109.6879,
152.0227,102.9876,109.6455,
152.101,102.782,109.6245,
152.1665,102.5569,109.5853,
152.2287,102.3304,109.5467,
152.293,102.0822,109.4987,
152.3291,101.8443,109.4313,
152.3854,101.6165,109.3871,
152.42,101.3693,109.3197,
152.4431,101.1122,109.2318,
152.4659,100.8547,109.1523,
152.4906,100.5757,109.0779,
152.4917,100.3248,108.9866,
152.5005,100.0713,108.9018,
152.48,99.84691,108.7966,
152.4695,99.6057,108.6985,
152.4495,99.37123,108.5991,
152.4834,99.1264,108.5415,
152.5147,98.83198,108.4776,
152.5404,98.54436,108.4128,
152.563,98.19393,108.3291,
152.5483,97.83368,108.2145,
152.554,97.47864,108.1201,
152.5402,97.10512,108.0091,
152.4889,96.73309,107.8651,
152.4164,96.31597,107.699,
152.3372,95.90389,107.5282,
152.1941,95.4294,107.294,
152.0585,94.95403,107.0689,
151.92,94.48685,106.8536,
151.7561,93.99454,106.6093,
151.6141,93.53643,106.3994,
151.4428,93.06919,106.169,
151.2742,92.59247,105.9406,
151.0833,92.13306,105.6979,
150.8706,91.66532,105.4328,
150.6443,91.18739,105.1655,
150.4327,90.74577,104.9187,
150.2335,90.30621,104.6892,
150.0161,89.85089,104.4449,
149.7878,89.39857,104.1938,
149.5518,88.94473,103.93,
149.2922,88.47218,103.6545,
149.0183,87.999,103.3692,
