user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.09843434,1.531055,-3.876983,2.05678,0,0,0,0,
-0.09843434,1.531055,-3.876983,2.05678,0,0,0,0,
-0.09843117,1.531167,1.99876,0.8324423,-0.6238427,0.4527998,0,0,
-0.07054385,1.533323,1.999037,0.8324838,-0.6232374,0.4526834,0,0,
-0.08262323,1.53363,1.999142,0.8329935,-0.623122,0.4529123,0,0,
-0.08381145,1.533621,1.999211,0.8329973,-0.6232541,0.4531364,0,0,
-0.08495871,1.533683,1.999533,0.8329253,-0.6232471,0.4531789,0,0,
-0.08608745,1.533556,1.9993,0.8334503,-0.6232135,0.4531965,0,0,
-0.08727484,1.533418,1.999377,0.8334938,-0.6231172,0.4531143,0,0,
-0.08873399,1.533172,1.998798,0.8330855,-0.623399,0.4529374,0,0,
-0.09019918,1.533192,1.998836,0.8331012,-0.6233964,0.4529517,0,0,
-0.09153233,1.533133,1.998873,0.8331047,-0.6234055,0.4529493,0,0,
-0.09311818,1.533053,1.998622,0.8325648,-0.6235244,0.4527774,0,0,
-0.1293902,1.540487,1.998442,0.832659,-0.6236045,0.452863,0,0,
-0.1341272,1.54091,1.998454,0.8326449,-0.6237593,0.4530599,0,0,
-0.1366057,1.54094,1.998672,0.832541,-0.6237173,0.4530649,0,0,
-0.1388497,1.541004,1.998745,0.8328912,-0.623697,0.4530768,0,0,
-0.145774,1.541322,1.998909,0.8329558,-0.6234422,0.4528179,0,0,
-0.1456978,1.541161,1.998492,0.8329902,-0.6234415,0.4528317,0,0,
-0.1479748,1.541148,1.998505,0.8330252,-0.6233928,0.4527762,0,0,
-0.1502994,1.541139,1.998161,0.8331732,-0.6232984,0.4527347,0,0,
-0.1524337,1.541154,1.998051,0.8333125,-0.6233597,0.4527209,0,0,
-0.1546007,1.541207,1.998071,0.8333201,-0.6233995,0.4527681,0,0,
-0.1568617,1.541216,1.998117,0.8333148,-0.6234159,0.4526534,0,0,
-0.1590717,1.54134,1.998009,0.8331214,-0.6234314,0.4526432,0,0,
-0.1611713,1.541342,1.998005,0.8331075,-0.6234992,0.452734,0,0,
-0.1632186,1.54143,1.997708,0.8331151,-0.6234636,0.4527075,0,0,
-0.1656071,1.541692,1.997702,0.8330817,-0.6234505,0.452692,0,0,
-0.1677355,1.541665,1.997695,0.8330617,-0.6235044,0.452781,0,0,
-0.1698423,1.541685,1.997654,0.8330975,-0.623445,0.4528046,0,0,
-0.1720248,1.541776,1.997651,0.8330691,-0.6233981,0.452806,0,0,
-0.17411,1.541805,1.997643,0.8330402,-0.6233683,0.452796,0,0,
-0.1760717,1.541918,1.997722,0.8329701,-0.623333,0.4527538,0,0,
-0.1780499,1.541981,1.997394,0.8331488,-0.6233473,0.4527845,0,0,
-0.1799977,1.542019,1.997393,0.8331338,-0.6233511,0.4527812,0,0,
-0.181898,1.542083,1.997382,0.8331119,-0.6233439,0.452775,0,0,
-0.1837009,1.542074,1.99712,0.8333191,-0.6233547,0.4527857,0,0,
-0.1855606,1.542063,1.997119,0.8333104,-0.6234388,0.4529054,0,0,
-0.1875485,1.541985,1.997156,0.8332555,-0.6234231,0.4529278,0,0,
