pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.72953,3.54086,1.72953,0,4.507173,0,
1.72953,3.54086,1.72953,0,4.507173,0,
2.258609,2.546751,1.707666,1.703515,2.100561,2.436803,
2.188384,2.656778,1.516557,1.871538,2.455615,1.605344,
2.244518,2.640488,1.514507,1.875218,2.457735,1.594931,
2.249097,2.639832,1.511191,1.876518,2.459308,1.590088,
2.252447,2.639366,1.504202,1.878987,2.459973,1.582707,
2.257322,2.637691,1.492829,1.88408,2.464534,1.567326,
2.260475,2.637273,1.482361,1.889772,2.46826,1.553839,
2.258138,2.637437,1.409995,1.939157,2.506927,1.461284,
2.280599,2.630336,1.418644,1.939982,2.5087,1.459592,
2.28052,2.62951,1.418523,1.941038,2.510663,1.457329,
2.2814,2.628547,1.417399,1.942756,2.512354,1.454397,
2.280273,2.627848,1.417713,1.941605,2.513747,1.453487,
2.280063,2.62746,1.41847,1.941361,2.515701,1.45286,
2.280963,2.626907,1.416474,1.941802,2.517242,1.450021,
2.279978,2.626213,1.416262,1.940792,2.519004,1.448776,
2.279222,2.625681,1.415417,1.939566,2.520912,1.447341,
2.27877,2.625027,1.412888,1.939282,2.522544,1.444382,
2.277499,2.624726,1.412002,1.937304,2.524149,1.442696,
2.277591,2.625884,1.412331,1.935925,2.526038,1.441692,
2.2788,2.627488,1.408086,1.935177,2.527713,1.436883,
2.277677,2.62748,1.407251,1.933887,2.529529,1.43447,
2.276492,2.627431,1.405696,1.932156,2.531016,1.431636,
2.275856,2.627421,1.40283,1.9317,2.532597,1.427848,
2.273978,2.626979,1.402359,1.929887,2.534637,1.42616,
2.269074,2.625921,1.402194,1.925284,2.536146,1.424737,
2.267978,2.625171,1.39938,1.92473,2.537452,1.421402,
2.265906,2.624865,1.398894,1.92319,2.538097,1.421238,
2.261294,2.624266,1.398416,1.918595,2.53846,1.4209,
2.260656,2.623798,1.395113,1.918187,2.537686,1.418677,
2.259003,2.623322,1.394137,1.917114,2.536788,1.418468,
2.25537,2.623,1.39372,1.913771,2.535442,1.419635,
2.254873,2.622371,1.39024,1.913316,2.534144,1.417246,
2.253727,2.621933,1.389161,1.911377,2.532683,1.417378,
2.251566,2.621183,1.388678,1.908818,2.530829,1.418195,
2.252064,2.62096,1.386121,1.907919,2.52996,1.416579,
2.251817,2.620602,1.385139,1.905262,2.529218,1.416415,
2.251178,2.619878,1.385896,1.902194,2.528505,1.417652,
2.252174,2.619867,1.383906,1.899816,2.52914,1.416009,
2.252293,2.619323,1.384312,1.896798,2.529833,1.416282,
2.251931,2.618528,1.382818,1.89238,2.531328,1.414178,
2.253561,2.618575,1.379273,1.890039,2.533046,1.410433,
2.254165,2.617819,1.378126,1.886927,2.534985,1.408397,
2.2544,2.61666,1.379243,1.883214,2.536636,1.408376,
2.256281,2.615715,1.377367,1.881488,2.537911,1.406126,
2.256345,2.614517,1.376258,1.878586,2.538731,1.404599,
2.256784,2.613199,1.375726,1.876619,2.539629,1.40316,
2.258246,2.611794,1.37463,1.876568,2.539742,1.401522,
2.258482,2.610002,1.373609,1.875532,2.540414,1.399288,
