user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.4019623,1.598283,-3.876983,2.05678,0,0,0,0,
-0.4019623,1.598283,-3.876983,2.05678,0,0,0,0,
-0.4048053,1.597745,-0.191965,0.8608446,1.560616,0.4856873,-0.8255307,0.9974099,
-0.3524621,1.532616,-0.1917058,0.861141,1.560911,0.4856241,-0.8654119,0.9696903,
-0.4120826,1.543059,-0.1917146,0.8611431,1.561386,0.4848595,-0.8683966,0.974545,
-0.4169146,1.543897,-0.1916868,0.8611071,1.561407,0.4848115,-0.8696656,0.9765571,
-0.4193438,1.544231,-0.191701,0.8614812,1.562251,0.4838836,-0.8706337,0.9799608,
-0.4252288,1.544434,-0.1915932,0.8614953,1.562138,0.4842064,-0.8742495,0.9874686,
-0.4275217,1.545058,-0.1915648,0.861563,1.562874,0.4835343,-0.8769067,0.9933642,
-0.4268307,1.545454,-0.1919183,0.8611643,1.56102,0.484679,-0.8963932,1.038936,
-0.4462747,1.558521,-0.1919241,0.8611693,1.561035,0.484683,-0.8973626,1.039893,
-0.4462735,1.559085,-0.1920753,0.8611689,1.560908,0.4850447,-0.8982549,1.040989,
-0.4460481,1.559467,-0.1921003,0.861228,1.561642,0.484271,-0.8986762,1.042178,
-0.4457372,1.559786,-0.1921163,0.8612204,1.560941,0.4851356,-0.8993145,1.042597,
-0.4453243,1.560124,-0.1914295,0.8612998,1.560963,0.4850786,-0.9000397,1.042794,
-0.4450031,1.560271,-0.1913807,0.861321,1.561846,0.4841313,-0.9006281,1.04378,
-0.4445088,1.560083,-0.1913312,0.861325,1.561582,0.4845853,-0.9015947,1.044171,
-0.443917,1.559584,-0.1912217,0.8614204,1.56161,0.4845581,-0.9027084,1.04483,
-0.4431061,1.558871,-0.1911659,0.8614647,1.561941,0.4837062,-0.9042491,1.045865,
-0.4418756,1.559193,-0.1911125,0.861469,1.561784,0.4840991,-0.905601,1.046414,
-0.4403424,1.562221,-0.1915199,0.8613269,1.561779,0.4840796,-0.9068693,1.047337,
-0.4387986,1.565078,-0.191505,0.8612571,1.562782,0.4834034,-0.9074582,1.049082,
-0.4369596,1.566102,-0.191485,0.8612671,1.562835,0.4834595,-0.9085425,1.049822,
-0.4349855,1.567173,-0.1916346,0.8613815,1.562756,0.4832683,-0.9094324,1.050722,
-0.4327331,1.567355,-0.1916343,0.8613751,1.563743,0.4823091,-0.9095622,1.05198,
-0.4306638,1.56724,-0.1915781,0.8613186,1.563798,0.4823763,-0.9102054,1.052334,
-0.4288069,1.566927,-0.1915864,0.8616889,1.561267,0.4847543,-0.9109302,1.052577,
-0.426747,1.566217,-0.191584,0.8616962,1.562065,0.4838219,-0.9111724,1.053438,
-0.4248163,1.565477,-0.1913731,0.861553,1.562091,0.4838684,-0.9118059,1.053447,
-0.4229219,1.564868,-0.1913634,0.861335,1.560023,0.4860716,-0.9124854,1.05339,
-0.4210558,1.564471,-0.1913417,0.8613071,1.560905,0.485003,-0.912874,1.054565,
-0.4194281,1.564065,-0.1913165,0.8612971,1.56091,0.4850473,-0.9135736,1.054927,
-0.4178055,1.56363,-0.1914349,0.8616331,1.559471,0.4868681,-0.9143217,1.05524,
