pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.644687,3.583407,1.644687,0,4.507173,0,
1.644687,3.583407,1.644687,0,4.507173,0,
1.6445,2.551347,2.479662,0,2.126061,2.877108,
1.622437,2.501106,2.222996,3.083047,4.906477,0.5583192,
1.619419,2.493164,2.211885,3.083005,4.906401,0.5771137,
1.619322,2.493168,2.202304,3.082923,4.90642,0.5899496,
1.619321,2.493005,2.192073,3.082848,4.906479,0.6032096,
1.618957,2.492594,2.156273,3.082836,4.906272,0.6482065,
1.619117,2.492223,2.141749,3.082664,4.906009,0.6671416,
1.619184,2.492293,2.146466,3.082675,4.906001,0.6633651,
1.619276,2.493406,2.065328,3.082394,4.906966,0.8128834,
1.617572,2.492388,2.061676,3.082532,4.906647,0.818118,
1.617419,2.492366,2.057194,3.082587,4.906647,0.8253044,
1.617285,2.492823,2.053232,3.082634,4.907199,0.8319895,
1.617141,2.492667,2.051979,3.082755,4.907179,0.8354253,
1.616972,2.492607,2.046626,3.082724,4.907193,0.8432509,
1.616779,2.492963,2.042282,3.082716,4.907585,0.8500045,
1.616637,2.49277,2.042192,3.08276,4.907492,0.8577265,
1.616481,2.492682,2.043664,3.082798,4.90753,0.8628748,
1.616423,2.492757,2.042783,3.082705,4.907691,0.8685971,
1.616444,2.4927,2.040756,3.082688,4.907492,0.874897,
1.616307,2.492569,2.038922,3.08264,4.9075,0.8816309,
1.616156,2.492795,2.037118,3.082708,4.907887,0.8896829,
1.616175,2.492789,2.03476,3.082712,4.907797,0.8965603,
1.61603,2.492659,2.031738,3.082717,4.907819,0.9036471,
1.615859,2.49281,2.030219,3.082739,4.908045,0.9103237,
1.615697,2.492511,2.030134,3.082739,4.907887,0.9150711,
1.615557,2.492396,2.03125,3.082727,4.907925,0.917926,
1.615445,2.492046,2.03167,3.082634,4.907705,0.9221277,
1.615141,2.491813,2.031873,3.082614,4.907686,0.9280028,
1.614975,2.491642,2.031689,3.082619,4.907684,0.9353023,
1.614903,2.491935,2.028292,3.082547,4.907908,0.9456538,
1.614745,2.491634,2.027721,3.082533,4.907942,0.9521204,
1.614646,2.491486,2.02707,3.08243,4.907944,0.9581299,
1.614608,2.491402,2.028238,3.082274,4.907899,0.9623133,
1.614471,2.490864,2.029452,3.082229,4.907528,0.9657614,
1.614385,2.490735,2.031341,3.082199,4.907509,0.9697806,
1.614327,2.490902,2.034095,3.08234,4.908001,0.9731538,
1.614332,2.490583,2.038156,3.082302,4.907707,0.9746859,
1.614276,2.490444,2.040914,3.082353,4.907728,0.9765518,
1.614178,2.490056,2.044285,3.0824,4.907526,0.9772916,
1.613989,2.48977,2.045707,3.082644,4.907781,0.9796758,
1.613889,2.489521,2.046616,3.082666,4.907829,0.9826181,
1.613748,2.489566,2.047652,3.082508,4.907852,0.9846231,
1.613773,2.489227,2.048281,3.082513,4.907403,0.9872878,
1.613592,2.488958,2.050743,3.082598,4.90743,0.9883511,
1.613357,2.488942,2.054323,3.08265,4.907632,0.9879717,
1.613127,2.488638,2.057462,3.082654,4.907638,0.9886526,
1.612873,2.488346,2.062411,3.082634,4.907626,0.987269,
