chair to collider angle,table to collider angle,audience to collider angle,


90.3124,91.22591,90.3124,
90.3124,91.22591,90.3124,
90.20063,51.99127,155.1956,
79.85545,27.07964,171.8779,
79.71436,23.6948,171.7516,
79.68065,23.60133,171.8666,
79.65889,23.50969,171.9521,
79.62398,23.29971,172.2841,
79.63741,23.23462,172.4059,
79.67699,23.29582,172.4566,
79.70709,23.28649,173.1975,
79.88414,23.23876,173.4714,
79.80732,23.16632,173.3258,
79.71791,23.08174,173.0677,
79.63351,23.00667,172.7898,
79.54937,22.93394,172.5425,
79.45683,22.85112,172.4823,
79.35603,22.7642,172.4458,
79.27106,22.68581,172.3294,
79.17925,22.59614,172.1559,
79.10463,22.52378,172.0275,
79.03394,22.45078,171.9545,
78.95162,22.36559,171.8363,
78.88082,22.29208,171.7064,
78.81124,22.22018,171.5819,
78.74185,22.14785,171.4521,
78.67841,22.0778,171.3252,
78.62357,22.01723,171.2189,
78.5518,21.9376,171.0927,
78.48745,21.8674,170.9603,
78.41367,21.79829,170.7906,
78.35239,21.74376,170.6149,
78.30054,21.68862,170.4472,
78.26926,21.66118,170.3176,
78.22924,21.62556,170.1512,
78.20164,21.607,169.9861,
78.16066,21.58103,169.8268,
78.11106,21.54936,169.6441,
78.0834,21.54576,169.4783,
78.06174,21.54256,169.3492,
78.02941,21.53012,169.1632,
78.00425,21.51361,168.9877,
77.97152,21.49061,168.8228,
77.92581,21.45866,168.637,
77.89058,21.44916,168.4707,
77.83809,21.41139,168.3222,
77.74734,21.33434,168.1561,
77.64944,21.25347,167.9512,
77.52351,21.14079,167.7771,
77.38435,20.99865,167.5872,
77.23757,20.85349,167.3678,
77.11496,20.7301,167.21,
77.00221,20.60137,167.0763,
76.91232,20.4939,166.9694,
76.82848,20.37982,166.8699,
76.72754,20.25433,166.771,
76.64536,20.1419,166.7024,
76.55862,20.02506,166.618,
76.45392,19.88549,166.5404,
76.35168,19.75225,166.4859,
76.23914,19.60388,166.4223,
76.09034,19.42482,166.3421,
75.95271,19.25694,166.2755,
75.80981,19.07635,166.2032,
75.66012,18.87947,166.1129,
75.50069,18.69137,166.0104,
75.33553,18.49453,165.9212,
75.1659,18.29379,165.8382,
74.98837,18.08199,165.7729,
74.82827,17.88428,165.7215,
74.65133,17.67312,165.6631,
74.49293,17.46167,165.6326,
74.32012,17.2475,165.5766,
74.15115,17.04393,165.5174,
73.97962,16.82383,165.4465,
73.82206,16.61214,165.4144,
73.63271,16.38125,165.362,
73.45684,16.15672,165.3062,
73.25772,15.91045,165.2331,
73.05015,15.65279,165.1066,
72.85529,15.40708,165.0074,
72.64817,15.15198,164.9301,
72.44728,14.90435,164.9008,
72.21432,14.62837,164.781,
72.00164,14.38028,164.6605,
71.78255,14.11781,164.5255,
71.58565,13.88794,164.4439,
71.41133,13.678,164.3505,
71.23227,13.46545,164.2502,
71.08865,13.29801,164.1966,
70.91296,13.09697,164.1025,
70.65649,12.82163,163.9415,
70.36601,12.50764,163.7572,
70.06525,12.17064,163.5818,
69.84281,11.8842,163.4544,
69.77274,11.75633,163.4905,
69.79584,11.71704,163.6387,
69.79501,11.66072,163.7627,
69.76677,11.584,163.8423,
