user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.3958821,1.560573,-3.876983,2.05678,0,0,0,0,
-0.3958821,1.560573,-3.876983,2.05678,0,0,0,0,
-0.3958935,1.560458,1.073175,0.8511112,0,0,-1.013721,0.7344162,
-0.37001,1.552415,1.07402,0.8513041,0,0,-1.137625,1.091366,
-0.3527412,1.552825,1.074072,0.8513172,0,0,-1.142786,1.099451,
-0.3521315,1.552777,1.074121,0.8513193,0,0,-1.147578,1.105137,
-0.3513485,1.552935,1.074378,0.8513157,0,0,-1.152952,1.109433,
-0.3496127,1.552759,1.074535,0.8514066,0,0,-1.171046,1.12023,
-0.3484824,1.553097,1.073929,0.8513169,0,0,-1.180445,1.122399,
-0.3486593,1.553137,1.073923,0.8513031,0,0,-1.182573,1.121062,
-0.3481918,1.553317,1.073949,0.8510172,0,0,-1.28982,1.139765,
-0.343511,1.551984,1.073868,0.8509543,0,0,-1.293602,1.137794,
-0.3434262,1.551828,1.073884,0.850944,0,0,-1.297799,1.136993,
-0.3433465,1.551707,1.074069,0.8507414,0,0,-1.30282,1.133053,
-0.3434162,1.551535,1.07403,0.8508744,0,0,-1.307335,1.127441,
-0.3433263,1.551376,1.074048,0.850852,0,0,-1.311329,1.124487,
-0.3432484,1.551183,1.074215,0.850698,0,0,-1.313628,1.12758,
-0.3431454,1.551058,1.07421,0.8505225,0,0,-1.322302,1.132441,
-0.343096,1.550917,1.074229,0.8504808,0,0,-1.330491,1.133471,
-0.3430211,1.55091,1.074246,0.850338,0,0,-1.336695,1.133302,
-0.3429961,1.550905,1.0742,0.8504269,0,0,-1.342043,1.133722,
-0.3428947,1.550799,1.074214,0.8504059,0,0,-1.347311,1.136262,
-0.3427935,1.550667,1.074352,0.8502846,0,0,-1.354293,1.138269,
-0.3427623,1.550664,1.074319,0.8503563,0,0,-1.359727,1.13887,
-0.3426225,1.550554,1.074332,0.8503268,0,0,-1.364148,1.140084,
-0.3425212,1.550399,1.074754,0.8503268,0,0,-1.370103,1.14099,
-0.3424472,1.550257,1.074733,0.8504889,0,0,-1.375548,1.141022,
-0.3423931,1.550146,1.074775,0.8504755,0,0,-1.380196,1.140608,
-0.342329,1.550071,1.074411,0.8504922,0,0,-1.385607,1.140897,
-0.3423561,1.549794,1.074424,0.850497,0,0,-1.392305,1.141578,
-0.3422445,1.549666,1.074432,0.8504791,0,0,-1.400033,1.142937,
-0.3424218,1.549574,1.074439,0.8503368,0,0,-1.407275,1.144909,
-0.3423814,1.54946,1.074403,0.8506515,0,0,-1.413598,1.145446,
-0.3423157,1.549399,1.074404,0.8506663,0,0,-1.419098,1.1465,
-0.3422929,1.549407,1.074351,0.8506377,0,0,-1.425102,1.145931,
-0.3422328,1.549314,1.074246,0.8507144,0,0,-1.43032,1.144694,
-0.3422644,1.549254,1.074246,0.8507113,0,0,-1.436635,1.14492,
-0.3422691,1.549234,1.074265,0.850553,0,0,-1.44325,1.144637,
-0.3422233,1.549266,1.074183,0.8506169,0,0,-1.449434,1.143593,
-0.3422693,1.54924,1.074175,0.8506284,0,0,-1.454342,1.143385,
-0.34226,1.549165,1.074047,0.8507071,0,0,-1.459234,1.140673,
