chair to collider angle,table to collider angle,audience to collider angle,


106.8785,38.42234,106.8785,
106.8785,38.42234,106.8785,
97.76277,164.3706,18.44596,
29.23973,100.1578,91.71835,
27.15492,97.35677,94.38888,
26.89811,97.02303,94.69356,
26.77612,96.84392,94.8522,
26.47021,96.36095,95.32424,
26.35419,96.08821,95.62855,
26.31664,95.89066,95.98258,
27.03158,95.72129,96.5951,
27.07266,95.67779,96.65569,
27.10703,95.61368,96.72101,
27.11138,95.52606,96.82413,
27.0861,95.41902,96.91358,
27.06964,95.27856,97.02646,
27.04383,95.13705,97.1445,
27.02494,94.9828,97.278,
26.99485,94.82084,97.41255,
26.97831,94.63275,97.59578,
26.95583,94.45367,97.75982,
26.93158,94.28899,97.91084,
26.89417,94.10332,98.07858,
26.85262,93.92881,98.22446,
26.80847,93.74421,98.37085,
26.72794,93.55677,98.51511,
26.63304,93.36871,98.64656,
26.53933,93.17863,98.78033,
26.47185,93.00545,98.92201,
26.41505,92.84408,99.04687,
26.39546,92.68449,99.19642,
26.40386,92.52875,99.35648,
26.42929,92.40676,99.48741,
26.4737,92.28012,99.62735,
26.52285,92.16062,99.79408,
26.56714,92.04649,99.91217,
26.60079,91.93069,100.035,
26.62174,91.81244,100.1525,
26.61808,91.68134,100.2642,
26.59509,91.52824,100.3846,
26.56382,91.39368,100.4868,
26.49871,91.23316,100.5995,
26.431,91.06598,100.7167,
26.31308,90.9015,100.811,
26.19045,90.73982,100.8956,
26.05172,90.57374,100.9585,
25.8504,90.40489,101.0044,
25.64846,90.26051,101.015,
25.45154,90.12607,101.0296,
25.28503,89.98892,101.0574,
25.1685,89.85262,101.1196,
25.06972,89.70955,101.1919,
24.95631,89.5668,101.2786,
24.84623,89.41885,101.3656,
24.70838,89.27449,101.4378,
24.553,89.12785,101.4966,
24.39888,88.98276,101.5676,
24.21308,88.81677,101.64,
24.02604,88.6531,101.7143,
23.81964,88.48167,101.7801,
23.58928,88.29237,101.8494,
23.37407,88.11058,101.9379,
23.17062,87.92946,102.0218,
23.00956,87.7538,102.1238,
22.83763,87.56999,102.2365,
22.6468,87.36569,102.3549,
22.42061,87.16558,102.4365,
22.18357,86.9527,102.5328,
21.96449,86.74852,102.6222,
21.76822,86.53748,102.7419,
21.59178,86.33656,102.8776,
21.41299,86.11024,103.0264,
21.25495,85.8896,103.1757,
21.13179,85.69968,103.3075,
20.98471,85.52319,103.4246,
20.83361,85.34517,103.5398,
20.69857,85.19014,103.6369,
20.584,85.00833,103.7801,
20.50397,84.82407,103.9468,
20.39518,84.62255,104.1153,
20.23793,84.39948,104.2765,
20.05639,84.20352,104.3971,
19.8203,83.99875,104.4961,
19.59775,83.81879,104.5679,
19.40904,83.63865,104.6438,
19.21779,83.46365,104.7393,
19.0374,83.29292,104.824,
18.8375,83.1083,104.9017,
18.58708,82.91412,104.9719,
18.30889,82.71214,105.0158,
18.07634,82.51507,105.0828,
17.87073,82.32447,105.1665,
17.64182,82.10567,105.237,
17.42124,81.89215,105.3303,
17.2013,81.67787,105.4145,
16.97747,81.44662,105.5014,
16.76319,81.22479,105.6006,
16.58662,80.94131,105.7601,
16.40393,80.65659,105.9196,
