pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.605298,3.673267,1.605298,0,4.507173,0,
1.605298,3.673267,1.605298,0,4.507173,0,
1.961855,3.673427,2.103104,1.487649,4.507173,2.212878,
1.994769,3.695307,2.044511,1.78164,3.851083,2.067055,
2.007179,3.703618,2.028528,1.784326,3.852936,2.06436,
2.009688,3.706153,2.024451,1.785603,3.854018,2.062724,
2.011325,3.707589,2.022126,1.786937,3.855604,2.060808,
2.014877,3.711764,2.016055,1.790401,3.858987,2.056218,
2.017643,3.714594,2.012244,1.79212,3.861858,2.053604,
2.016642,3.714938,2.011336,1.80773,3.876638,2.031349,
2.038367,3.734402,1.982303,1.809304,3.87773,2.029778,
2.040278,3.736402,1.979895,1.810331,3.877994,2.029052,
2.041449,3.73742,1.978724,1.811146,3.878505,2.028409,
2.044199,3.740699,1.975514,1.814102,3.878834,2.027188,
2.046399,3.74284,1.973103,1.815602,3.878922,2.026618,
2.046235,3.74297,1.973197,1.815449,3.87863,2.026937,
2.047219,3.743965,1.972635,1.815923,3.879169,2.026883,
2.048464,3.7451,1.970658,1.816722,3.879079,2.025998,
2.049109,3.746222,1.969784,1.817556,3.878235,2.026564,
2.049543,3.747285,1.968969,1.817664,3.878113,2.026851,
2.049821,3.748423,1.967613,1.817349,3.878364,2.026521,
2.050082,3.74951,1.966963,1.817644,3.877982,2.027021,
2.0503,3.750604,1.966298,1.817528,3.877863,2.027517,
2.050323,3.751523,1.965661,1.817262,3.877985,2.027761,
2.050143,3.752783,1.96503,1.817726,3.877049,2.028563,
2.050167,3.753846,1.965114,1.817779,3.876924,2.029408,
2.049964,3.754792,1.964765,1.817893,3.876799,2.029728,
2.049606,3.75595,1.964074,1.818103,3.876668,2.029943,
2.049606,3.75681,1.964343,1.818349,3.877108,2.030111,
2.04909,3.75764,1.963286,1.81869,3.876981,2.029264,
2.048566,3.758612,1.963051,1.819845,3.876229,2.029311,
2.048719,3.759309,1.96316,1.821478,3.876078,2.029146,
2.048328,3.760108,1.963073,1.822806,3.875363,2.029091,
2.047849,3.760798,1.963059,1.824148,3.8751,2.028555,
2.04755,3.76135,1.963842,1.825852,3.874733,2.02865,
2.046962,3.762034,1.963141,1.827395,3.874458,2.027432,
2.046465,3.7626,1.963161,1.829457,3.873501,2.02705,
2.045707,3.763342,1.963001,1.830876,3.873118,2.026414,
2.045115,3.763953,1.962652,1.833051,3.872616,2.02535,
2.044402,3.76474,1.962539,1.834673,3.872361,2.024625,
2.043892,3.765221,1.963397,1.836439,3.871578,2.024904,
2.043199,3.765868,1.962464,1.838048,3.87112,2.023485,
2.042371,3.766599,1.962375,1.839962,3.869989,2.023206,
2.041502,3.76731,1.963224,1.841477,3.869205,2.023621,
2.040606,3.767902,1.962734,1.842771,3.868741,2.022846,
2.039746,3.768466,1.962926,1.843938,3.868344,2.022522,
2.038939,3.769029,1.96382,1.845088,3.86751,2.023198,
2.038134,3.769565,1.963079,1.846014,3.867086,2.022272,
2.037313,3.770004,1.963346,1.846899,3.866351,2.022397,
2.036622,3.770453,1.964237,1.847884,3.865426,2.023225,
