pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.654357,2.093802,2.654357,0,4.507173,0,
2.654357,2.093802,2.654357,0,4.507173,0,
2.654312,2.092987,2.654312,0,4.507173,0,
2.681234,2.051579,2.681234,1.211912,3.484686,1.211912,
2.679218,2.055809,2.679218,1.211873,3.484724,1.211873,
2.678694,2.056958,2.678694,1.211816,3.48478,1.211816,
2.678517,2.057398,2.678517,1.211969,3.484666,1.211969,
2.678198,2.058749,2.678198,1.212321,3.484345,1.212321,
2.67809,2.059666,2.67809,1.212461,3.48419,1.212461,
2.67809,2.059664,2.67809,1.212511,3.484286,1.212511,
2.677894,2.060282,2.677894,1.212071,3.48494,1.212071,
2.676629,2.066467,2.676629,1.21244,3.484658,1.21244,
2.676439,2.066691,2.676439,1.212236,3.484806,1.212236,
2.676456,2.066686,2.676456,1.212214,3.484813,1.212214,
2.676461,2.066768,2.676461,1.212494,3.48461,1.212494,
2.676442,2.066838,2.676442,1.212314,3.484749,1.212314,
2.676493,2.066802,2.676493,1.212324,3.484694,1.212324,
2.676521,2.06677,2.676521,1.212446,3.484644,1.212446,
2.676585,2.066758,2.676585,1.212322,3.484739,1.212322,
2.676565,2.066806,2.676565,1.212309,3.484819,1.212309,
2.676616,2.066781,2.676616,1.212288,3.484867,1.212288,
2.676731,2.066675,2.676731,1.2123,3.484917,1.2123,
2.676831,2.06651,2.676831,1.212294,3.484891,1.212294,
2.676867,2.066488,2.676867,1.212524,3.484699,1.212524,
2.676847,2.066447,2.676847,1.212389,3.48482,1.212389,
2.676824,2.066411,2.676824,1.21238,3.484829,1.21238,
2.676843,2.066395,2.676843,1.212412,3.484816,1.212412,
2.676763,2.066384,2.676763,1.212121,3.48504,1.212121,
2.676818,2.066244,2.676818,1.212113,3.485015,1.212113,
2.676823,2.066349,2.676823,1.212229,3.484804,1.212229,
2.676933,2.066205,2.676933,1.212231,3.484829,1.212231,
2.676839,2.06625,2.676839,1.212206,3.484734,1.212206,
2.676766,2.066153,2.676766,1.21205,3.484872,1.21205,
2.676601,2.066178,2.676601,1.211981,3.485018,1.211981,
2.676551,2.066122,2.676551,1.211917,3.484926,1.211917,
2.676495,2.066014,2.676495,1.211736,3.485096,1.211736,
2.676431,2.065912,2.676431,1.211809,3.485052,1.211809,
2.676426,2.065729,2.676426,1.211774,3.485112,1.211774,
2.67638,2.065744,2.67638,1.211838,3.485078,1.211838,
2.676365,2.065615,2.676365,1.211832,3.48501,1.211832,
2.676349,2.06547,2.676349,1.211786,3.484876,1.211786,
2.676255,2.065284,2.676255,1.211794,3.484934,1.211794,
2.676378,2.065031,2.676378,1.211864,3.48489,1.211864,
2.676314,2.064896,2.676314,1.211835,3.484915,1.211835,
2.676221,2.064819,2.676221,1.211977,3.484807,1.211977,
2.676106,2.064835,2.676106,1.21196,3.48482,1.21196,
2.675881,2.065082,2.675881,1.211962,3.484884,1.211962,
2.675779,2.06525,2.675779,1.211704,3.485038,1.211704,
2.675735,2.065319,2.675735,1.211699,3.485049,1.211699,
2.675673,2.065411,2.675673,1.211667,3.485091,1.211667,
