chair to collider angle,table to collider angle,audience to collider angle,


21.71449,162.191,21.71449,
21.71449,162.191,21.71449,
21.40417,161.4824,21.40417,
39.18139,133.0753,39.18139,
36.96829,136.8591,36.96829,
36.41355,137.9446,36.41355,
36.13353,138.478,36.13353,
35.42455,140.0641,35.42455,
35.02552,141.1076,35.02552,
35.05552,141.0722,35.05552,
34.86287,141.5632,34.86287,
33.12077,147.5497,33.12077,
33.10381,147.6069,33.10381,
33.11356,147.6056,33.11356,
33.12277,147.5575,33.12277,
33.14239,147.5184,33.14239,
33.20433,147.4084,33.20433,
33.27689,147.2939,33.27689,
33.3453,147.1667,33.3453,
33.43541,147.0231,33.43541,
33.51567,146.8762,33.51567,
33.60453,146.7021,33.60453,
33.67872,146.5391,33.67872,
33.75043,146.36,33.75043,
33.81261,146.1725,33.81261,
33.88005,145.9785,33.88005,
33.95668,145.774,33.95668,
34.04553,145.5662,34.04553,
34.1283,145.366,34.1283,
34.24622,145.1381,34.24622,
34.34579,144.915,34.34579,
34.44014,144.6985,34.44014,
34.51817,144.4866,34.51817,
34.56382,144.2661,34.56382,
34.63302,144.0241,34.63302,
34.69702,143.7527,34.69702,
34.7827,143.4645,34.7827,
34.86122,143.175,34.86122,
34.94135,142.9113,34.94135,
34.99527,142.6622,34.99527,
35.07175,142.4041,35.07175,
35.11891,142.1545,35.11891,
35.1819,141.896,35.1819,
35.23654,141.655,35.23654,
35.30698,141.4283,35.30698,
35.38297,141.2494,35.38297,
35.43782,141.1171,35.43782,
35.49009,141.0119,35.49009,
35.51424,140.9599,35.51424,
35.51257,140.9611,35.51257,
35.49819,140.9692,35.49819,
35.4655,141.0148,35.4655,
35.41292,141.1099,35.41292,
35.35968,141.2096,35.35968,
35.29395,141.3302,35.29395,
35.19582,141.4702,35.19582,
35.10638,141.6171,35.10638,
35.01562,141.7615,35.01562,
34.93801,141.8854,34.93801,
34.86595,141.9845,34.86595,
34.81876,142.0982,34.81876,
34.78139,142.1743,34.78139,
34.75813,142.254,34.75813,
34.72812,142.3326,34.72812,
34.69152,142.4009,34.69152,
34.67969,142.4089,34.67969,
34.71923,142.3725,34.71923,
34.76973,142.2841,34.76973,
34.82409,142.1784,34.82409,
34.89121,142.0553,34.89121,
34.94089,141.9021,34.94089,
35.00087,141.7559,35.00087,
35.03724,141.6064,35.03724,
35.12385,141.4246,35.12385,
35.19466,141.2274,35.19466,
35.28133,141.0351,35.28133,
35.37174,140.8533,35.37174,
35.44855,140.6906,35.44855,
35.52546,140.5341,35.52546,
35.59903,140.3744,35.59903,
35.65325,140.2328,35.65325,
35.73924,140.0728,35.73924,
35.80534,139.9394,35.80534,
35.88153,139.809,35.88153,
35.93344,139.7141,35.93344,
35.9955,139.5931,35.9955,
36.04308,139.5127,36.04308,
36.10699,139.4007,36.10699,
36.15481,139.2962,36.15481,
36.19766,139.1887,36.19766,
36.23707,139.0823,36.23707,
36.27242,138.9942,36.27242,
36.31334,138.9182,36.31334,
36.35785,138.8522,36.35785,
36.3821,138.7992,36.3821,
36.40707,138.7547,36.40707,
36.43659,138.7161,36.43659,
36.4549,138.6936,36.4549,
36.45004,138.6807,36.45004,
