pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.158728,3.02372,2.158728,0,4.507173,0,
2.158728,3.02372,2.158728,0,4.507173,0,
2.109858,1.54959,3.461443,0.6379654,2.644953,3.660756,
2.036759,1.53373,3.405021,1.636473,1.523587,3.404667,
2.037002,1.533908,3.403895,1.637031,1.523263,3.403057,
2.036832,1.533761,3.402253,1.637069,1.52298,3.400928,
2.036988,1.533747,3.40077,1.637585,1.522491,3.399055,
2.037156,1.533949,3.399575,1.637883,1.522281,3.397497,
2.037693,1.533963,3.398349,1.638742,1.521817,3.395885,
2.037819,1.534137,3.396984,1.639216,1.521218,3.394411,
2.037879,1.534465,3.39531,1.639406,1.52077,3.392488,
2.038584,1.534621,3.393261,1.640247,1.520381,3.390645,
2.037186,1.534289,3.24085,1.641869,1.515162,3.247819,
2.037672,1.536528,3.209976,1.641898,1.51492,3.220107,
2.038244,1.537167,3.195324,1.642002,1.514941,3.206332,
2.038574,1.537843,3.179867,1.642162,1.515244,3.191586,
2.039563,1.538758,3.134051,1.642456,1.515218,3.14843,
2.040448,1.539714,3.102931,1.64229,1.515513,3.118916,
2.040441,1.539766,3.102835,1.642329,1.51562,3.118602,
2.041031,1.540408,3.08727,1.642137,1.515934,3.103339,
2.042307,1.541028,3.072283,1.643159,1.515883,3.088663,
2.042968,1.541558,3.057551,1.64329,1.515823,3.07458,
2.043963,1.542093,3.042997,1.64375,1.515942,3.060538,
2.043998,1.542665,3.02878,1.643363,1.516138,3.046918,
2.04478,1.543526,3.014903,1.643852,1.516519,3.033407,
2.04605,1.54426,3.00127,1.644727,1.516831,3.020484,
2.046243,1.545014,2.987684,1.644435,1.517228,3.007122,
2.047326,1.545993,2.974516,1.644653,1.517759,2.994181,
2.048813,1.546724,2.962188,1.645526,1.518128,2.982754,
2.049366,1.547799,2.95107,1.645642,1.518262,2.971893,
2.050547,1.54865,2.939983,1.646188,1.518584,2.961179,
2.051995,1.549532,2.931526,1.646717,1.518984,2.952835,
2.053484,1.549903,2.922416,1.647475,1.51934,2.944133,
2.054803,1.550482,2.914544,1.647965,1.519766,2.936614,
2.056212,1.551101,2.906415,1.648399,1.520495,2.928844,
2.057041,1.551557,2.899756,1.648343,1.520932,2.922626,
2.058534,1.551889,2.89251,1.648847,1.521388,2.915829,
2.060087,1.551943,2.885347,1.649627,1.521838,2.909346,
2.061388,1.551897,2.878444,1.649897,1.522253,2.903184,
2.062848,1.551805,2.871596,1.650571,1.522545,2.89708,
2.064754,1.551745,2.865139,1.651268,1.523147,2.891091,
2.066436,1.551635,2.859425,1.652004,1.523671,2.885888,
2.06778,1.551382,2.853884,1.652286,1.524178,2.88106,
2.069329,1.551115,2.848404,1.652967,1.524604,2.876206,
2.069945,1.550815,2.842812,1.652671,1.525229,2.871266,
2.070971,1.550566,2.838349,1.652956,1.525792,2.867435,
2.072453,1.550256,2.83373,1.653955,1.526074,2.863222,
2.072642,1.55013,2.830182,1.653782,1.526562,2.860297,
2.073428,1.550162,2.826779,1.654337,1.527123,2.857047,
2.074513,1.550395,2.824807,1.655405,1.527979,2.855611,
