pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.707093,4.311107,1.707093,0,4.507173,0,
1.707093,4.311107,1.707093,0,4.507173,0,
1.677587,2.815418,3.49625,1.004039,2.645344,3.323458,
1.686041,2.824841,3.496475,1.46617,2.918344,3.711365,
1.687489,2.825671,3.494585,1.466348,2.918587,3.709099,
1.688251,2.825715,3.493942,1.466526,2.918621,3.708662,
1.688583,2.825869,3.493575,1.466548,2.918817,3.708342,
1.688936,2.826042,3.492295,1.467263,2.919447,3.707643,
1.690088,2.826302,3.493829,1.467726,2.919943,3.709591,
1.690681,2.82632,3.494694,1.467629,2.919889,3.710275,
1.688293,2.826018,3.543191,1.470133,2.921669,3.760896,
1.690644,2.827883,3.553362,1.47038,2.921923,3.767674,
1.691707,2.828108,3.557518,1.470576,2.922252,3.771044,
1.691958,2.828118,3.560691,1.470625,2.922327,3.77384,
1.69213,2.828232,3.563842,1.470716,2.922526,3.776246,
1.691112,2.828706,3.57306,1.471553,2.923109,3.783907,
1.691152,2.828736,3.572694,1.471865,2.923407,3.783695,
1.691885,2.828833,3.575239,1.47209,2.923607,3.786037,
1.692251,2.828879,3.578172,1.472162,2.923845,3.788263,
1.69236,2.828818,3.58168,1.472386,2.924031,3.791145,
1.693731,2.829233,3.590906,1.472629,2.924521,3.797884,
1.694735,2.829302,3.596405,1.472902,2.92476,3.801058,
1.692978,2.829568,3.601665,1.473472,2.92517,3.803466,
1.693619,2.829541,3.601652,1.473377,2.925316,3.803212,
1.693744,2.829296,3.60445,1.473202,2.924992,3.804637,
1.693846,2.82923,3.607719,1.473269,2.925126,3.806504,
1.694708,2.829461,3.610597,1.473314,2.92532,3.808097,
1.695385,2.829722,3.619695,1.47353,2.925864,3.813545,
1.696594,2.829515,3.625767,1.473838,2.926203,3.817858,
1.697235,2.829335,3.631015,1.473576,2.926142,3.821641,
1.695045,2.829238,3.629931,1.473905,2.926045,3.820997,
1.695186,2.829157,3.631763,1.473783,2.926118,3.822239,
1.694062,2.828671,3.6346,1.47363,2.926088,3.823609,
1.694844,2.828045,3.633983,1.473501,2.926249,3.82256,
1.69471,2.827236,3.633159,1.473066,2.926298,3.821337,
1.69545,2.826874,3.632565,1.473176,2.926356,3.820894,
1.695628,2.826486,3.632402,1.473132,2.926517,3.820618,
1.695489,2.825612,3.631899,1.473182,2.926545,3.820311,
1.696089,2.825029,3.631461,1.473193,2.926634,3.819905,
1.696077,2.823189,3.62986,1.473069,2.926897,3.818188,
1.696652,2.821655,3.627953,1.473024,2.927051,3.816378,
1.697033,2.820171,3.625065,1.472891,2.927007,3.813241,
1.694929,2.820171,3.623969,1.473502,2.927151,3.812395,
1.694815,2.819432,3.621643,1.473493,2.927021,3.809999,
1.695279,2.818624,3.619413,1.473486,2.926924,3.807839,
1.69548,2.817977,3.616431,1.473433,2.926892,3.804523,
1.695431,2.81725,3.612777,1.473405,2.92672,3.800903,
1.693879,2.816538,3.609141,1.47366,2.926603,3.797209,
1.693821,2.814396,3.596995,1.473486,2.926268,3.784744,
1.692181,2.813089,3.589336,1.473266,2.926003,3.776806,
