chair to collider angle,table to collider angle,audience to collider angle,


61.02274,69.80675,61.02274,
61.02274,69.80675,61.02274,
61.73532,90.76778,38.50951,
61.27628,90.30909,38.34529,
61.31752,90.24374,38.4127,
61.3431,90.21281,38.45778,
61.35984,90.19079,38.51,
61.37382,90.18764,38.6803,
61.43621,90.16087,38.74803,
61.4791,90.15717,38.73195,
61.2573,90.13469,38.64001,
61.08974,89.83112,38.24134,
61.12139,89.78191,38.15218,
61.13309,89.75843,38.09143,
61.11794,89.73193,38.0344,
60.90065,89.6514,37.85294,
60.89933,89.64391,37.83951,
60.93859,89.6209,37.78674,
60.93949,89.57594,37.69966,
60.90802,89.53217,37.61483,
60.91465,89.40701,37.35256,
60.89593,89.29977,37.14897,
60.58817,89.14467,36.86286,
60.63686,89.12888,36.82351,
60.61392,89.04637,36.66798,
60.5644,88.96074,36.50826,
60.57323,88.87614,36.34469,
60.41648,88.57692,35.85113,
60.36326,88.36235,35.5213,
60.23893,88.09035,35.13432,
59.96309,88.01727,35.07086,
59.83589,87.81235,34.80689,
59.26116,87.10376,33.89711,
58.87327,86.40215,33.00679,
58.37259,85.54196,31.94462,
58.32517,85.37186,31.74005,
58.04269,84.85986,31.10544,
57.69905,84.29716,30.4102,
57.43876,83.76749,29.75289,
56.51844,82.17996,27.80799,
55.83694,80.97482,26.39739,
55.11438,79.72433,24.92027,
54.8617,79.68058,24.85542,
54.47723,79.04855,24.10419,
54.14689,78.40181,23.33877,
53.83118,77.78952,22.60855,
53.48498,77.16849,21.86107,
52.9795,76.53793,21.09701,
51.99485,74.63147,18.82618,
51.22535,73.33365,17.28303,
50.78019,72.05711,15.75491,
50.6115,72.02419,15.70643,
50.34081,71.34866,14.9109,
50.15616,70.68962,14.14052,
49.26297,68.86777,12.00113,
48.98282,67.78224,10.73563,
48.66441,66.70161,9.458332,
48.69453,66.71508,9.472909,
48.50229,66.17194,8.846512,
48.37613,65.62211,8.221297,
48.19342,65.06281,7.597087,
47.64586,63.43135,5.813824,
46.91793,62.29848,4.642791,
46.57899,61.13846,3.505931,
46.2877,59.9959,2.594123,
46.0343,58.92549,2.236334,
46.15327,59.00124,2.266413,
46.06886,58.55276,2.313253,
46.01229,58.19528,2.485301,
45.68248,57.20587,3.258405,
45.88688,56.91121,3.744497,
45.96239,57.07976,3.657787,
46.03988,56.99452,3.873127,
45.96553,56.92236,4.058158,
46.23167,56.93108,4.448802,
46.71207,57.31049,4.571961,
46.84759,57.53598,4.528656,
46.93552,57.74663,4.633922,
47.18027,58.03381,4.725676,
47.38329,58.30957,4.7924,
47.63261,58.55071,4.8568,
47.55832,58.75821,4.882948,
47.66759,58.96627,4.909835,
47.84071,59.10357,4.923343,
48.09575,59.5011,5.08419,
48.28694,59.54951,5.19652,
48.40899,59.3943,5.325609,
48.32978,59.26666,5.293686,
48.25977,59.14402,5.280901,
48.22854,58.98775,5.223222,
48.09723,58.83014,5.160727,
48.01528,58.66178,5.092854,
47.70348,58.17727,5.02921,
47.88725,58.03786,5.303006,
47.89959,58.17476,5.542594,
48.1362,58.23759,5.817834,
48.27384,58.20292,5.908998,
48.21602,58.16304,5.864211,
48.24436,58.17277,5.894682,
