user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2403273,1.67885,-3.876983,2.05678,0,0,0,0,
0.2403273,1.67885,-3.876983,2.05678,0,0,0,0,
0.2402102,1.678852,-2.340433,0.8193111,-0.8914082,0.4610441,-2.226729,1.092138,
0.2527002,1.68073,-2.340676,0.8191462,-0.8905376,0.4661114,-2.237028,1.074367,
0.2536862,1.680848,-2.340674,0.8195064,-0.8909248,0.4650288,-2.240944,1.07462,
0.2537938,1.680705,-2.34078,0.8196621,-0.8911996,0.4638739,-2.243291,1.074705,
0.2539857,1.680707,-2.340775,0.8194144,-0.8912623,0.463505,-2.245743,1.075092,
0.2543074,1.68079,-2.340756,0.819514,-0.8912724,0.4634023,-2.252263,1.075341,
0.2545633,1.680851,-2.340789,0.8193929,-0.8914635,0.4618554,-2.257168,1.075799,
0.2545954,1.680869,-2.340787,0.8194089,-0.8915192,0.4608817,-2.257332,1.075352,
0.2546427,1.680878,-2.340321,0.8192618,-0.891026,0.4649923,-2.288323,1.073611,
0.256984,1.681224,-2.340289,0.8190875,-0.8910562,0.4644966,-2.290784,1.070893,
0.257262,1.681364,-2.340511,0.8192708,-0.8912599,0.4633925,-2.291953,1.069672,
0.2573702,1.681416,-2.340474,0.8195212,-0.8912876,0.4630721,-2.292953,1.068369,
0.2574954,1.681558,-2.340456,0.8195403,-0.8912705,0.4630752,-2.293945,1.066534,
0.2578836,1.681623,-2.340703,0.8193469,-0.8910546,0.4659114,-2.296701,1.062116,
0.2578698,1.681713,-2.340706,0.8193445,-0.8910585,0.4659257,-2.296466,1.061732,
0.258139,1.681614,-2.340571,0.8193722,-0.8911202,0.4647856,-2.296954,1.060582,
0.2582731,1.681664,-2.340543,0.8192809,-0.8911623,0.4643877,-2.297496,1.058774,
0.2582526,1.681755,-2.340542,0.8192701,-0.8911678,0.464365,-2.298605,1.056101,
0.2585865,1.681811,-2.3408,0.8192122,-0.8914431,0.4627082,-2.300368,1.048237,
0.2587725,1.68195,-2.340851,0.8192537,-0.8915693,0.4615264,-2.300956,1.0401,
0.2590494,1.682172,-2.340917,0.8193529,-0.891187,0.4654207,-2.300746,1.030849,
0.2590179,1.68225,-2.340915,0.8193378,-0.8911443,0.4642351,-2.300307,1.03001,
0.2590711,1.682359,-2.34056,0.8192992,-0.8911659,0.4640872,-2.30031,1.025492,
0.2590306,1.682508,-2.34056,0.8193004,-0.8911665,0.4641109,-2.300783,1.020765,
0.2591181,1.682528,-2.340787,0.8193235,-0.8914034,0.4629464,-2.300534,1.016666,
0.259456,1.682736,-2.340879,0.8191934,-0.8914627,0.4625638,-2.301192,1.005038,
0.259671,1.682934,-2.340706,0.8194666,-0.8915732,0.4610639,-2.302387,0.9997152,
0.2598327,1.683152,-2.340316,0.8192785,-0.8914087,0.4602821,-2.30411,0.9967793,
0.2597991,1.683186,-2.340287,0.8193119,-0.8909682,0.464314,-2.304356,0.9987506,
0.2597362,1.683403,-2.340262,0.8193092,-0.8909456,0.4643137,-2.304969,0.998665,
0.2593542,1.68389,-2.340247,0.8193617,-0.8907237,0.466805,-2.304817,0.9974558,
