chair to collider angle,table to collider angle,audience to collider angle,


81.93097,35.18255,81.93097,
81.93097,35.18255,81.93097,
81.89583,56.3323,22.45815,
62.66921,78.00747,10.75459,
61.69272,76.90978,11.61023,
61.44485,76.84919,11.84119,
61.19035,76.79841,12.07369,
60.90754,76.78297,12.33782,
60.61677,76.77016,12.60636,
60.33288,76.73815,12.87095,
60.06574,76.69978,13.11517,
59.84339,76.64417,13.32279,
59.67894,76.58849,13.47403,
59.60582,76.53137,13.53251,
59.79249,76.4845,13.28858,
59.93303,76.43719,13.13149,
60.04314,76.37318,13.00912,
60.34201,76.12174,12.68526,
60.69659,75.91276,12.33133,
60.76761,75.87507,12.27109,
60.92197,75.72681,12.12379,
61.07132,75.58331,11.9814,
61.2102,75.42982,11.85707,
61.33006,75.30547,11.74918,
61.44793,75.18995,11.63747,
61.54739,75.08058,11.55028,
61.64284,74.98975,11.46401,
61.72647,74.87966,11.39717,
61.79702,74.80358,11.3352,
61.84917,74.72918,11.28997,
61.92153,74.66574,11.22095,
61.98892,74.61886,11.15325,
62.04978,74.59764,11.08742,
62.14707,74.58854,10.98638,
62.23886,74.5845,10.88539,
62.32932,74.58358,10.77689,
62.42162,74.60333,10.67094,
62.48705,74.61926,10.58863,
62.54891,74.63052,10.51436,
62.59564,74.65236,10.4515,
62.64072,74.68359,10.38575,
62.67403,74.74133,10.32219,
62.71053,74.8129,10.25856,
62.7212,74.90119,10.21288,
62.71992,74.9656,10.1769,
62.70771,75.09028,10.15222,
62.67539,75.21924,10.14051,
62.63887,75.36514,10.13782,
62.59842,75.54366,10.1298,
62.54943,75.72865,10.13465,
62.49799,75.92792,10.14311,
62.43773,76.14507,10.16827,
62.38652,76.34158,10.18891,
62.32349,76.54681,10.23034,
62.25661,76.73575,10.27776,
62.16816,76.91946,10.35307,
62.06219,77.07227,10.45402,
61.95908,77.22928,10.55396,
61.88337,77.38942,10.62379,
61.82964,77.50237,10.67533,
61.78052,77.61629,10.7264,
61.73339,77.69608,10.77057,
61.68392,77.77725,10.81627,
61.65988,77.84064,10.84248,
61.62278,77.88035,10.88065,
61.59109,77.89347,10.90965,
61.58299,77.88531,10.91683,
61.6093,77.87642,10.89085,
61.6642,77.8224,10.83879,
61.70538,77.7764,10.79645,
61.78904,77.72791,10.71186,
61.86191,77.65637,10.63954,
61.94507,77.56379,10.55561,
62.02474,77.44667,10.47518,
62.08729,77.30222,10.41212,
62.13269,77.16894,10.36673,
62.16833,77.02838,10.33116,
62.20095,76.89087,10.30735,
62.21627,76.74598,10.29713,
62.21312,76.60375,10.30794,
62.22064,76.45381,10.31336,
62.19684,76.27923,10.35357,
62.15977,76.09647,10.41206,
62.07225,75.868,10.53024,
61.9114,75.60834,10.73568,
61.65183,75.29501,11.0611,
61.32873,74.94062,11.47119,
60.96825,74.56096,11.93992,
60.51059,74.11028,12.54874,
60.07898,73.64666,13.14812,
59.67403,73.19877,13.73413,
59.37625,72.78846,14.21414,
59.13506,72.43889,14.6192,
58.94624,72.13567,14.96236,
58.7732,71.87853,15.2776,
58.56607,71.6114,15.61544,
58.33088,71.35977,15.99247,
58.06981,71.11145,16.39928,
57.79626,70.84268,16.82208,
