user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.35097,1.654348,-3.876983,2.05678,0,0,0,0,
-1.35097,1.654348,-3.876983,2.05678,0,0,0,0,
-1.350893,1.654328,-2.340607,0.8189785,0,0,-2.457753,0.6721332,
-1.306358,1.665818,-2.340908,0.8191199,0,0,-2.458589,0.6721654,
-1.311316,1.66361,-2.340977,0.8193235,0,0,-2.458674,0.672159,
-1.3119,1.663422,-2.340986,0.8193417,0,0,-2.458764,0.6721566,
-1.312323,1.6632,-2.34089,0.8194392,0,0,-2.458838,0.6721575,
-1.312864,1.662901,-2.340943,0.8191774,0,0,-2.458914,0.6721537,
-1.313426,1.662664,-2.340955,0.8191755,0,0,-2.458992,0.6721578,
-1.313952,1.662429,-2.340866,0.8191626,0,0,-2.459064,0.6721411,
-1.314569,1.662329,-2.340958,0.8191125,0,0,-2.459148,0.6721451,
-1.315249,1.662104,-2.340957,0.819129,0,0,-2.459231,0.6721451,
-1.31592,1.66195,-2.340956,0.8191278,0,0,-2.459312,0.6721647,
-1.316962,1.661877,-2.340909,0.8191211,0,0,-2.459565,0.6721661,
-1.319439,1.662284,-2.340896,0.8190498,0,0,-2.459645,0.672179,
-1.320315,1.662462,-2.340903,0.8190536,0,0,-2.459737,0.6721683,
-1.321241,1.662641,-2.3409,0.8190327,0,0,-2.459831,0.6721771,
-1.323792,1.663066,-2.340938,0.8190489,0,0,-2.460093,0.6721959,
-1.325724,1.663462,-2.340889,0.8189781,0,0,-2.460262,0.6721857,
-1.325754,1.663473,-2.340882,0.8189716,0,0,-2.460266,0.6721914,
-1.326574,1.663615,-2.340848,0.8190291,0,0,-2.460355,0.6721756,
-1.327419,1.663853,-2.34094,0.8189805,0,0,-2.460439,0.6721811,
-1.328238,1.663867,-2.340937,0.8189871,0,0,-2.46053,0.6721911,
-1.329016,1.663947,-2.340858,0.8189497,0,0,-2.460598,0.6722176,
-1.329695,1.664212,-2.34085,0.8193643,0,0,-2.460678,0.672215,
-1.33038,1.664302,-2.340837,0.8194053,0,0,-2.460767,0.6722107,
-1.331038,1.664398,-2.340827,0.8194215,0,0,-2.460849,0.6722047,
-1.331688,1.664375,-2.3409,0.8191404,0,0,-2.460944,0.6722078,
-1.332219,1.664508,-2.340898,0.8191378,0,0,-2.461038,0.6722083,
-1.332671,1.664671,-2.340895,0.8191414,0,0,-2.461127,0.6722205,
-1.333118,1.664813,-2.34078,0.8191099,0,0,-2.461224,0.672226,
-1.333546,1.664956,-2.340784,0.8191073,0,0,-2.461313,0.6722353,
-1.333759,1.665186,-2.340457,0.8189373,0,0,-2.461405,0.6722336,
-1.334123,1.665285,-2.340423,0.8187854,0,0,-2.461497,0.6722472,
-1.334457,1.665527,-2.340388,0.8187659,0,0,-2.461592,0.6722729,
-1.335042,1.665892,-2.340763,0.8188632,0,0,-2.461687,0.6722908,
-1.33533,1.666135,-2.340805,0.8189347,0,0,-2.461771,0.6722875,
-1.335617,1.666344,-2.340802,0.8189301,0,0,-2.461852,0.6722972,
-1.335716,1.666503,-2.340835,0.8190405,0,0,-2.461938,0.6723123,
-1.335854,1.666727,-2.340873,0.8189232,0,0,-2.462022,0.6723199,
