pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.129249,3.199434,2.129249,0,4.507173,0,
2.129249,3.199434,2.129249,0,4.507173,0,
2.151248,1.559635,2.58018,0.790198,2.665892,2.57009,
2.155448,1.540436,2.575355,1.875502,1.486004,2.571432,
2.156993,1.539786,2.568755,1.875795,1.485637,2.565284,
2.157914,1.539301,2.557076,1.876045,1.484932,2.552055,
2.158344,1.539162,2.550799,1.876402,1.484793,2.545587,
2.159413,1.538402,2.532711,1.876142,1.484131,2.525393,
2.160002,1.537632,2.520633,1.875418,1.483992,2.511807,
2.159704,1.53698,2.425493,1.877972,1.480496,2.40379,
2.162898,1.537654,2.414507,1.878402,1.480319,2.398447,
2.163412,1.537841,2.404755,1.8788,1.479822,2.387896,
2.164714,1.538285,2.399812,1.878945,1.479538,2.382926,
2.165213,1.538504,2.395522,1.878796,1.479287,2.377982,
2.165751,1.538657,2.391344,1.878638,1.479035,2.373084,
2.167457,1.539293,2.380102,1.877818,1.47839,2.35883,
2.167839,1.539176,2.380561,1.877651,1.478531,2.359128,
2.168613,1.539574,2.377763,1.877569,1.478649,2.355137,
2.169461,1.539391,2.374547,1.877006,1.478657,2.350595,
2.170226,1.53934,2.371693,1.876401,1.478636,2.345901,
2.171136,1.538861,2.369067,1.875588,1.478261,2.341153,
2.171914,1.538816,2.366641,1.874694,1.478348,2.336398,
2.173616,1.538514,2.359315,1.872401,1.478221,2.322442,
2.174905,1.537644,2.355389,1.870548,1.47844,2.312583,
2.175786,1.536462,2.351619,1.868818,1.478463,2.302628,
2.176045,1.535879,2.351842,1.868845,1.478348,2.302426,
2.176149,1.53544,2.349651,1.868024,1.478325,2.29751,
2.176463,1.535214,2.347961,1.867134,1.478591,2.292669,
2.176375,1.534829,2.346018,1.86615,1.478418,2.287891,
2.176055,1.534324,2.343878,1.865019,1.478254,2.282761,
2.175863,1.534245,2.342293,1.863565,1.478389,2.277597,
2.175951,1.533791,2.340469,1.862491,1.478003,2.27221,
2.175767,1.533548,2.338888,1.861213,1.477721,2.267012,
2.1756,1.532983,2.337635,1.859791,1.477163,2.262084,
2.175423,1.532629,2.336114,1.858248,1.476307,2.25657,
2.175101,1.532133,2.334711,1.856395,1.475265,2.251199,
2.17471,1.531849,2.333641,1.854712,1.474343,2.246405,
2.173844,1.531667,2.329828,1.849723,1.4714,2.230917,
2.172478,1.532039,2.326625,1.845398,1.469008,2.22047,
2.170952,1.532503,2.321904,1.84134,1.465933,2.210258,
2.170881,1.532593,2.32071,1.841386,1.465664,2.209932,
2.170019,1.532985,2.317691,1.84005,1.463786,2.205257,
2.168814,1.533123,2.314915,1.838552,1.461604,2.200846,
2.167928,1.533393,2.311057,1.837717,1.459176,2.195938,
2.167086,1.533653,2.307471,1.83681,1.456932,2.191128,
2.163729,1.534338,2.295379,1.835077,1.450483,2.177432,
2.161141,1.533524,2.287542,1.835373,1.445539,2.170885,
2.158724,1.532986,2.281095,1.836482,1.441047,2.165946,
2.158708,1.532817,2.281744,1.837292,1.440935,2.167035,
2.15756,1.53267,2.279503,1.837893,1.439093,2.164937,
